"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-04-01 18:",3504,6,12.4,0,4,32,0,0,49,153.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1068.9886,551.8105,687.069,864.6757,907.4638,799.2524,1028.2553,877.2384,895.6184,774.6362,677.1756,575.2144,425.288,883.899,1086.5063,577.5199,850.2498,1103.4846,1038.7053,950.9013,1169.6713,1051.7942,992.2348,1011.8873,1061.1402,784.057,604.2098,1244.7824,7862.4097,564,0,6377,6099,3463,3502,3540,3266
"2022-04-07 16:",3564,0,14.2,0,5.5,33,0,0,70,201.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1635.2937,1382.4332,1316.8853,905.445,862.6882,828.9555,1062.2831,1145.1603,1327.9781,1120.183,1136.3281,835.6198,712.6876,1441.1502,1878.1496,1573.2399,1350.5725,1005.3858,943.99,916.7917,1437.4661,1753.2246,1978.5724,1394.204,1394.2148,1133.9616,762.905,1870.4762,7963.0054,303,743,6377,6099,3463,3502,3540,3266
"2022-06-14 20:",548,12,20.6,0,5.2,53,0,9,8,424.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,959.4196,448.8303,400.3582,588.9507,766.1894,846.9229,920.1154,888.2421,986.563,758.5913,679.0064,605.1536,441.6608,853.1246,832.7404,361.72,484.3599,672.9766,904.5271,775.0569,1048.7794,862.6861,828.0756,734.2005,863.3924,792.3291,566.7565,1236.8556,6523.5184,230,0,6377,6099,3463,3502,3540,3266
"2022-05-08 16:",3516,6,17.7,0,3,40,0,10,17,313.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1267.9405,1071.882,1230.5904,783.1695,752.0384,800.6026,1062.7858,1305.0583,1671.6897,1428.2663,1108.7255,827.2506,636.0918,1198.6991,1452.9451,1217.0654,1324.5854,1190.5404,977.8566,1054.6714,1368.4604,1684.8436,1908.8771,1336.9903,1293.9217,1001.6258,656.4714,1742.0659,7990.1251,213,665,6377,6099,3463,3502,3540,3266
"2022-09-06 09:",590,8,17.6,0,4.7,94,0,8,41.5,309.76,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.9286,209.0436,1148.3651,3685.4333,2919.7858,1690.1959,1500.915,1125.5739,1230.3404,1126.2329,1105.7717,644.072,511.8138,930.0246,403.5635,187.4138,1378.0934,5533.1863,3214.861,1762.4309,1446.8647,1075.0129,1152.3815,1069.1243,825.0122,793.3391,616.426,1338.6568,21753.6729,587,2866,6377,6099,3463,3502,3540,3266
"2022-09-05 15:",543,0,18.7,6.4,3.7,95,0,10,25.5,349.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1010.0374,549.3516,480.7091,750.3504,982.7352,990.9884,1312.7366,1233.3322,1296.6377,1241.3789,991.8526,896.3283,605.8696,1092.0502,1270.5937,664.1232,544.7387,868.8291,1110.4547,1141.7012,1350.3531,1275.2929,1469.3714,1235.4052,1260.0343,1087.2033,849.0782,1676.0939,8508.1487,351,1078,6377,6099,3463,3502,3540,3266
"2022-03-12 06:",501,0,6.7,0,1.9,78,0,0,60,44.89,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,992.2424,512.1939,707.0653,828.8787,923.9883,833.3244,1202.2802,979.5099,972.6601,898.3846,829.143,656.9166,455.7627,869.1859,918.3486,488.1378,667.2093,980.4681,965.8254,974.8283,1127.176,1010.8202,933.6897,942.2766,1095.4273,811.5196,635.5916,1324.116,7836.7694,61,0,6377,6099,3463,3502,3540,3266
"2022-10-04 10:",574,2,17.1,0,2.7,88,0,10,12,292.41,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747.1603,249.0534,402.932,1021.3494,885.0863,652.1304,683.3533,606.3829,662.9039,516.0217,527.9911,365.6544,266.9074,532.635,1367.2688,488.8551,819.0504,1138.8209,892.9224,746.9393,828.2215,616.211,597.1161,540.7647,629.0963,534.9561,418.1227,948.6763,6848.8235,284,1727,6377,6099,3463,3502,3540,3266
"2022-05-04 04:",515,0,10.7,0,1.8,53,0,0,21,114.49,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900.6593,421.3417,456.7219,595.9189,880.39,970.2059,997.7317,870.9305,960.6921,686.6913,753.5073,638.6273,465.9937,891.007,745.511,323.8298,496.1951,711.5518,984.6563,971.9826,1111.0108,940.5677,994.3708,786.9073,967.6515,839.9852,624.6066,1288.8317,7223.448,141,0,6377,6099,3463,3502,3540,3266
"2022-11-11 20:",571,2,16.3,0,0.8,59,0,0,69,265.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,471.8545,197.4856,406.5405,1262.9495,1434.1899,1193.3481,1115.2388,745.3523,872.8054,592.2048,734.7836,493.9363,322.6009,630.9161,368.1037,180.3508,374.7077,1679.3904,1500.3075,1132.9796,940.9363,738.0753,650.6069,555.4836,675.3459,563.7576,358.0357,1025.983,10259.3401,392,0,6377,6099,3463,3502,3540,3266
