"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-04-17 17:",3863,3,19.7,0,4.1,27,0,5,41,388.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,473.5014,198.1747,466.9495,1251.1297,1480.7526,1154.3969,1064.1281,678.9576,706.3997,605.9307,652.5134,459.5666,346.3527,616.499,424.8485,208.1528,460.4661,1492.4663,1265.3782,998.4383,920.4003,589.2861,617.0896,580.4389,597.8816,485.9595,394.1363,959.7602,9627.0904,390,0,6377,6099,3463,3502,3540,3266
"2022-12-29 15:",3882,2,1.7,0,2.9,39,0,4,30,2.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,913.4039,427.3037,432.8712,511.719,539.2214,656.8888,750.7608,774.6873,809.197,672.8144,710.0407,564.4135,423.9752,919.7327,864.2054,375.3872,488.7769,554.5697,591.9348,696.2947,830.7693,690.5299,846.8445,636.813,711.5039,678.0066,459.342,1223.1601,5132.1585,362,0,6377,6099,3463,3502,3540,3266
"2022-05-20 02:",3542,2,17.3,0,1.5,59,0,8,37,299.29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675.3146,373.3266,757.3161,598.6264,760.9754,812.7701,922.2421,942.913,954.5043,734.2414,873.83,680.9292,459.9311,940.8668,867.4387,503.5809,747.6311,754.6859,978.3181,947.4295,945.5289,1028.537,1204.0419,923.6376,981.0467,903.3902,685.8027,1548.1438,6720.5764,8,0,6377,6099,3463,3502,3540,3266
"2022-03-09 23:",544,0,5.8,0,1.2,71,0,0,39,33.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1759.7123,1487.6136,1708.0145,956.4883,871.354,757.424,1066.2733,1605.1685,1916.7998,1570.6829,1220.0532,840.2847,655.201,1114.4995,1969.0282,1649.3654,1671.5862,1203.7878,998.9549,871.1329,1535.3361,2053.69,2261.1782,1558.4014,1322.0918,863.7028,690.9833,1528.5144,8260.7513,32,43,6377,6099,3463,3502,3540,3266
"2022-09-14 23:",3582,5,22.9,0,4.9,62,0,8,26,524.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,330.8921,152.7194,1047.9061,4337.233,3837.1228,1988.5469,1450.0356,1019.0255,1075.5448,897.331,785.7325,545.7095,424.7691,803.0315,402.7542,187.0376,1382.373,6594.657,4072.3251,1984.5827,1361.4718,762.0392,815.1453,770.2631,659.3638,598.032,532.6044,1160.6031,25625.9749,420,1625,6377,6099,3463,3502,3540,3266
"2022-09-11 03:",3501,2,22,0,2.6,67,0,9,17,484,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420.2383,256.2881,648.9029,817.4339,917.6311,974.458,939.1509,845.1393,999.674,792.1316,813.5904,668.914,413.3201,750.6278,401.0286,231.9678,463.9565,919.5301,1107.2831,888.151,896.812,855.1114,854.6812,753.8568,953.5786,805.0749,573.5296,1253.415,7460.4501,2,0,6377,6099,3463,3502,3540,3266
"2022-09-07 13:",3588,4,26.6,0,3.2,42,0,0,29,707.56,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,215.9536,90.3831,783.4506,2604.2985,1530.649,916.2921,926.9826,677.8074,898.6375,689.4314,630.8416,445.5544,337.646,632.2733,263.8802,129.287,940.4488,2751.5613,1293.1427,805.6265,865.9708,678.6675,801.0535,601.305,572.5187,536.8324,398.3931,943.5571,11694.5235,551,0,6377,6099,3463,3502,3540,3266
"2022-03-05 03:",553,0,2.7,0,4.1,55,0,0,104,7.29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,485.7603,240.2022,301.2698,454.8341,682.8158,689.5546,762.3658,667.3968,608.6627,575.2425,662.0579,543.2755,313.7882,774.7254,466.2551,226.2571,261.8893,486.4272,659.3336,735.074,647.1754,587.0599,750.4382,658.9396,810.2694,589.137,490.4633,1092.1473,5117.5805,1,0,6377,6099,3463,3502,3540,3266
"2022-10-01 08:",3509,9,15.9,0,1,86,0,0,35,252.81,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,407.8571,170.7007,575.8873,1347.4867,1381.3865,1042.0884,931.9575,595.7599,662.9686,562.4754,546.7366,448.8061,312.4232,524.5118,329.8619,161.6147,750.7995,1732.1209,1388.3175,991.5904,795.4407,634.9572,570.6344,544.4092,513.0389,465.2321,392.3859,881.8009,9610.3886,385,0,6377,6099,3463,3502,3540,3266
"2022-08-22 07:",3501,4,25.7,0,2.5,84,0,9,23,660.49,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508.995,310.4178,598.3459,1034.8987,1245.1375,1185.4323,981.848,936.7716,957.5782,816.4282,789.235,611.2105,461.59,663.1571,488.694,282.6763,492.3062,1190.7388,1612.0008,1258.1469,1094.8818,1022.6263,908.239,893.249,1084.8697,801.1015,564.7772,1315.1172,9603.0848,689,0,6377,6099,3463,3502,3540,3266
