"y","temp","rain","wind","wet","snow","cloud","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m0","m5","m20","m25","m30","m35","m40","m45","m50","m55","m65","f0","f10","f15","f20","f25","f35","f40","f50","f65","f70","sub_passenger"
0,-1.9,0.3,1.4,82,0.4,8,3.61,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,457.7015,518.2788,2399.9479,2847.3887,1660.2613,1219.8663,834.134,880.3636,685.5117,776.3128,456.9606,373.4072,173.4091,589.3282,3916.1752,2790.5682,1116.403,719.6571,730.6254,534.122,1159.131,1035
1,-0.8,0,0.7,81,0.3,7,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493.107,575.6963,2348.6809,2849.6423,1654.5955,1245.1284,853.3559,971.919,739.2145,794.1095,469.9947,387.6929,180.0431,632.6776,3896.1996,2789.9729,1119.7084,752.7486,793.803,529.7216,1192.8083,980
0,0,0,3.3,80,0.2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,565.0802,637.0834,2428.9893,2874.238,1704.4265,1312.0558,943.8775,1014.5956,776.9283,785.4998,427.9908,359.1147,166.7717,704.0107,3902.4411,2823.5763,1237.3767,803.0257,808.333,532.8006,1304.3411,1083
0,1.4,0,2.4,74,0,6,1.96,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,569.5927,774.3842,2553.8709,3096.9322,1808.7333,1358.0544,973.1295,1052.0858,842.0146,805.2971,428.0588,536.9017,249.3356,848.3786,4098.2867,3010.0309,1245.0799,881.6837,803.6848,541.7407,1288.6323,1307
0,1.4,0,3.6,67,0,3,1.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,815.6734,808.9133,2719.6056,3235.9751,1888.7752,1387.0997,1029.1762,1044.7225,869.0742,808.177,408.0048,818.0814,379.9147,983.88,4258.0445,3205.7348,1306.1918,952.7356,821.4102,533.556,1370.8558,1489
0,2.4,0,3.5,55,0,1,5.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,817.1264,1002.3004,2882.892,3349.7157,1954.7321,1497.7037,1062.4139,1137.1555,883.5678,804.7556,408.1565,878.6592,408.0468,1331.7228,4481.4933,3361.0543,1320.17,992.1802,846.7926,603.1208,1245.7425,1618
0,2.5,0,3.3,46,0,0,6.25,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,864.6418,1297.0896,3120.7859,3486.664,2063.8073,1445.9994,1109.1937,1091.4846,853.4059,807.2075,428.9827,939.6766,436.3829,1688.3151,4712.0271,3529.1173,1303.2258,994.0372,846.7644,596.9327,1216.4534,2054
1,2.5,0,3,45,0,0,6.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,777.8725,1600.7282,3374.3148,3669.4364,2082.8798,1451.9756,1039.4907,1119.0707,863.2513,853.5617,385.5774,1007.2311,467.7551,2171.2288,5063.1589,3639.9819,1317.1841,973.9869,899.8927,562.35,1290.0584,2230
1,1.2,0,2.7,45,0,0,1.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,741.337,1846.4531,3887.7327,3893.5444,2206.5296,1526.3762,1053.9673,1098.6465,863.1784,859.1337,408.6593,830.7737,385.8087,2424.7573,5532.0384,3886.1084,1307.3212,903.5491,860.2495,538.1844,1274.2889,2283
0,-0.5,0,2.9,40,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,650.3535,2041.3181,4151.5567,4015.2045,2201.5787,1517.6441,1041.9536,1046.2956,889.1927,811.1428,423.7561,637.631,296.1139,2460.2036,5673.6481,4022.5551,1222.7737,920.1534,852.6026,577.2871,1177.0982,2227
2,-1.6,0,2,41,0,0,2.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,648.1827,1931.3085,4383.8353,4121.813,2198.7499,1547.3232,1012.3337,1060.9019,871.3076,823.536,427.686,546.9288,253.9922,2455.9861,5723.259,3991.8154,1315.8114,870.9679,810.5095,559.4414,1223.7716,2152
0,-2.6,0,1.6,46,0,0,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,580.0914,1639.9636,3990.1439,3996.4277,2047.8595,1432.3184,964.321,1073.7328,803.9074,808.785,408.2072,416.575,193.4563,1915.152,5350.0875,3893.08,1295.8298,809.7796,785.26,551.7985,1219.6571,3853
0,-2.9,0,2.7,48,0,0,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,558.5282,906.2387,3147.1985,3656.7708,1917.7334,1363.413,942.9685,1028.2462,841.3478,811.96,427.58,419.1941,194.6726,1058.0538,4760.5238,3619.6258,1194.3992,783.3676,799.0475,551.3256,1175.6434,4295
0,-3.8,0,2.1,49,0,0,14.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,576.0977,642.8577,2838.5561,3555.0641,1884.5123,1342.2597,895.4819,1039.9894,800.7484,763.2258,434.2469,392.1807,182.1272,767.9079,4706.2114,3542.5483,1203.7896,795.783,799.6374,564.4722,1165.0347,1183
0,-4.4,0,2.9,48,0,0,19.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,454.4504,412.8902,2702.1775,3454.4892,1756.178,1322.5,892.449,983.0021,746.819,704.2859,409.5073,302.5978,140.5256,635.5786,4753.8475,3512.6591,1167.7962,711.2368,693.2796,500.2525,1144.6911,296
0,-5.2,0,1.6,51,0,1,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.1789,429.0108,2739.8139,3483.7838,1746.7593,1301.7749,898.57,991.3523,731.7209,702.5412,412.3134,298.2608,138.5116,630.3021,4745.3337,3556.0776,1180.2811,689.1734,685.142,494.7284,1090.2994,0
0,-5.8,0,2.1,52,0,0,33.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.7634,434.1726,2757.503,3502.4904,1760.4701,1298.267,884.6295,953.1996,748.8319,699.2396,402.6155,288.5762,134.014,650.0474,4775.0704,3567.5378,1171.9583,663.4489,681.5611,496.2779,1091.5168,0
0,-6.4,0,1.7,56,0,5,40.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.014,417.6675,2772.7609,3491.2571,1754.8118,1314.0017,901.255,957.8903,757.3202,683.5991,407.4006,285.7222,132.6885,671.1149,4815.8483,3579.102,1184.0139,662.989,681.0465,502.6214,1121.5832,0
0,-7,0,1.6,59,0,2,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.9173,438.2313,2780.6139,3487.9432,1754.4657,1299.2547,904.8807,965.8599,749.408,719.0592,390.0664,302.9079,140.6699,687.2134,4798.7789,3579.6345,1176.7656,675.5828,687.0972,504.5646,1092.3598,0
0,-7.2,0,1.3,61,0,3,51.84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.3804,446.1406,2803.1913,3518.3709,1779.2022,1301.6667,894.8631,970.6791,742.6971,708.5429,397.9289,307.4638,142.7852,678.9458,4752.0265,3579.2221,1212.531,685.3887,698.4787,478.4149,1133.1607,10
0,-7.4,0,0.3,59,0,2,54.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.032,440.6551,2795.1302,3487.6214,1789.8582,1292.5421,915.6993,1008.9347,762.1957,727.9901,409.5458,291.5509,135.3952,675.2878,4772.6754,3560.5171,1226.4843,683.1681,712.693,483.2726,1113.8521,565
1,-7.8,0,2.1,55,0,1,60.84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.1583,459.447,2756.9281,3454.61,1791.7569,1361.1127,926.5137,996.9741,789.6308,774.9457,434.1096,301.4263,139.9815,674.2249,4694.4118,3569.0227,1238.8622,683.3059,696.985,523.1746,1165.0858,892
1,-7.7,0,2,54,0,0,59.29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.1381,430.9352,2652.1441,3324.0483,1801.4965,1453.0328,1025.6266,1149.7792,895.0344,844.6391,484.3968,352.3485,163.6295,658.9151,4636.7636,3455.4277,1310.0714,743.9412,772.7932,534.9,1267.5847,2435
3,-7.6,0,1.6,55,0,1,57.76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.3641,644.902,2519.3405,2847.9055,1648.7732,1426.351,1119.5196,1208.1979,1018.9741,913.6478,517.2983,375.8258,174.5323,743.7441,4270.768,3084.5751,1263.8432,925.8083,936.5414,533.7396,1304.7471,4472
