"y","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X7_8","X8_9","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m5","m25","m45","m50","m55","m65","m70","f10","f20","f30","f35","f40","f50","bus_passenger","sub_passenger"
0,1.4,0,3.6,67,3,59,1.96,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,808.9133,3235.9751,1044.7225,869.0742,808.177,408.0048,755.5868,379.9147,4258.0445,1715.4634,1306.1918,952.7356,821.4102,343,1489
1,2.4,0,3.5,55,1,62,5.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1002.3004,3349.7157,1137.1555,883.5678,804.7556,408.1565,756.9006,408.0468,4481.4933,1794.8592,1320.17,992.1802,846.7926,367,1618
1,2.5,0,3.3,46,0,46,6.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1297.0896,3486.664,1091.4846,853.4059,807.2075,428.9827,773.9112,436.3829,4712.0271,1830.8999,1303.2258,994.0372,846.7644,388,2054
0,2.5,0,3,45,0,37,6.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1600.7282,3669.4364,1119.0707,863.2513,853.5617,385.5774,799.1847,467.7551,5063.1589,1920.2308,1317.1841,973.9869,899.8927,465,2230
3,1.2,0,2.7,45,0,35,1.44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1846.4531,3893.5444,1098.6465,863.1784,859.1337,408.6593,815.0186,385.8087,5532.0384,1925.9611,1307.3212,903.5491,860.2495,464,2283
0,-0.5,0,2.9,40,0,34,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2041.3181,4015.2045,1046.2956,889.1927,811.1428,423.7561,833.3295,296.1139,5673.6481,1985.6483,1222.7737,920.1534,852.6026,406,2227
2,-1.6,0,2,41,0,28,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1931.3085,4121.813,1060.9019,871.3076,823.536,427.686,829.5648,253.9922,5723.259,1914.8314,1315.8114,870.9679,810.5095,371,2152
1,-2.6,0,1.6,46,0,27,6.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1639.9636,3996.4277,1073.7328,803.9074,808.785,408.2072,788.7672,193.4563,5350.0875,1875.5813,1295.8298,809.7796,785.26,469,3853
1,-2.9,0,2.7,48,0,20,8.41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,906.2387,3656.7708,1028.2462,841.3478,811.96,427.58,778.7249,194.6726,4760.5238,1843.4158,1194.3992,783.3676,799.0475,642,4295
0,-3.8,0,2.1,49,0,33,14.44,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,642.8577,3555.0641,1039.9894,800.7484,763.2258,434.2469,793.1548,182.1272,4706.2114,1842.3086,1203.7896,795.783,799.6374,290,1183
0,-4.4,0,2.9,48,0,26,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,412.8902,3454.4892,983.0021,746.819,704.2859,409.5073,750.5164,140.5256,4753.8475,1853.8448,1167.7962,711.2368,693.2796,116,296
0,-5.2,0,1.6,51,1,27,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.0108,3483.7838,991.3523,731.7209,702.5412,412.3134,760.0452,138.5116,4745.3337,1867.0894,1180.2811,689.1734,685.142,54,0
0,-5.8,0,2.1,52,0,29,33.64,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.1726,3502.4904,953.1996,748.8319,699.2396,402.6155,768.6048,134.014,4775.0704,1899.451,1171.9583,663.4489,681.5611,28,0
0,-6.4,0,1.7,56,5,25,40.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.6675,3491.2571,957.8903,757.3202,683.5991,407.4006,754.1195,132.6885,4815.8483,1887.8221,1184.0139,662.989,681.0465,21,0
