"y","past_return","bus_passenger","temp","sub_passenger","f45","m40","wet","cloud","m25","f55","rain","m30","m50","f15","m45","m35","f70","m60","f30","m70","m0","f35","f20","dust","sunny","m20","m65","f0","wind","X18_19","m55","m5","f50","f60","f65","f25","most_use","f40","semester","X9_10","X8_9","X7_8","temp.sqr"
0,1,19,-2.6,0,754.7675,817.9012,57,8,3066.2662,589.0645,0,1675.8869,744.1317,588.4983,875.2236,1256.0014,1126.2161,496.8338,1641.1874,745.4565,492.5551,1060.8378,4273.9491,51,0,2538.5105,406.412,344.1256,1.9,0,726.8703,524.8589,689.4129,622.665,484.6168,3008.6295,18521.2688,660.4695,0,0,0,0,6.76
0,1,8,-2.1,0,739.2058,803.6301,56,9,3082.9688,595.6035,0,1698.6529,750.5879,605.8067,904.0857,1213.0688,1136.0043,500.0517,1675.377,737.3836,445.0988,1080.4464,4276.3212,38,0,2514.5834,417.9578,355.3955,2.5,0,716.3295,526.9761,697.1884,619.0804,487.8129,3002.3673,18543.7858,659.0926,0,0,0,0,4.41
0,0,12,-1.9,5,754.1053,796.9997,55,8,3061.9827,581.9424,0,1704.6129,728.445,637.0526,899.1318,1205.585,1123.3199,501.2277,1678.664,748.4007,434.6023,1103.7989,4266.5884,41,0,2554.3603,414.0992,338.3259,2,0,714.0956,544.9547,679.593,635.7418,482.6152,2968.2033,18543.7955,660.6537,0,0,0,0,3.61
0,0,37,-1.9,161,731.9394,821.4094,56,9,3049.3064,595.7291,0,1695.6564,731.1179,665.0012,906.7302,1224.7163,1157.4969,510.728,1659.9689,747.7826,412.9007,1075.489,4218.3895,43,0,2545.7365,426.0584,324.6109,2.3,0,713.7302,548.4396,675.7104,635.9868,511.8701,2984.2089,18453.4719,647.9535,0,0,0,0,3.61
0,0,56,-1.9,246,746.2945,799.429,66,9,3031.7595,601.7095,0,1690.2626,746.232,639.7209,925.2835,1212.6061,1164.5989,517.5398,1668.6876,759.6752,420.7984,1073.0664,4248.1746,43,0,2542.303,431.7673,324.349,2.5,0,713.4863,574.8667,680.5979,658.7549,538.8868,2973.5895,18440.4493,661.6567,0,0,0,0,3.61
0,0,85,-2.2,416,735.9822,824.9195,81,9,3039.5463,620.8738,0,1655.5987,698.9761,619.3514,907.0188,1199.5701,1183.6856,517.8935,1639.6134,754.8039,414.7436,1086.8994,4174.7932,52,0,2469.1511,438.3799,314.2971,2,0,734.231,549.6872,680.5075,629.731,534.7857,2932.8963,18198.0685,666.1195,0,0,0,1,4.84
0,0,171,-2.2,789,738.8499,872.3767,83,8,2979.8742,641.7601,0,1677.396,687.7629,582.732,891.3126,1186.7689,1176.5494,530.9345,1686.3704,734.9286,449.7321,1089.1511,4060.9573,54,0,2445.8786,445.4824,317.0563,2,0,772.8655,566.1793,691.9868,650.1473,537.8985,2869.5038,17995.9003,683.126,0,0,1,0,4.84
0,0,188,-1.9,1035,762.4441,834.134,82,8,2847.3887,678.2829,0.3,1660.2613,685.5117,589.3282,880.3636,1219.8663,1159.131,516.6764,1644.2672,686.8144,457.7015,1116.403,3916.1752,38,0,2399.9479,456.9606,373.4072,1.4,0,776.3128,518.2788,730.6254,630.4952,534.122,2790.5682,17594.8778,719.6571,0,1,0,0,3.61
1,0,186,-0.8,980,785.2918,853.3559,81,7,2849.6423,708.6192,0,1654.5955,739.2145,632.6776,971.919,1245.1284,1192.8083,530.3676,1647.9914,732.5448,493.107,1119.7084,3896.1996,46,0,2348.6809,469.9947,387.6929,0.7,0,794.1095,575.6963,793.803,686.5591,529.7216,2789.9729,17551.9194,752.7486,0,0,0,0,0.64
0,1,220,0,1083,816.1618,943.8775,80,8,2874.238,764.3561,0,1704.4265,776.9283,704.0107,1014.5956,1312.0558,1304.3411,536.7211,1610.8288,742.5658,565.0802,1237.3767,3902.4411,52,0,2428.9893,427.9908,359.1147,3.3,0,785.4998,637.0834,808.333,649.8822,532.8006,2823.5763,17893.9325,803.0257,0,0,0,0,0
