"y","past_return","bus_passenger","sub_passenger","temp","X8_9","m50","wet","rain","m30","sunny","f25","m45","m25","m40","f45","f20","m35","X7_8","m20","m5","f55","m65","f70","wind","m70","f65","f0","f15","f30","m0","m55","m60","f35","f40","dust","f50","cloud","most_use","weekend","f60","semester","X17_18","temp.sqr","X9_10","X18_19"
1,1,188,1035,-1.9,0,685.5117,82,0.3,1660.2613,0,2790.5682,880.3636,2847.3887,834.134,762.4441,3916.1752,1219.8663,0,2399.9479,518.2788,678.2829,456.9606,1159.131,1.4,686.8144,534.122,373.4072,589.3282,1644.2672,457.7015,776.3128,516.6764,1116.403,719.6571,38,730.6254,8,17594.8778,1,630.4952,0,0,3.61,1,0
0,0,186,980,-0.8,0,739.2145,81,0,1654.5955,0,2789.9729,971.919,2849.6423,853.3559,785.2918,3896.1996,1245.1284,0,2348.6809,575.6963,708.6192,469.9947,1192.8083,0.7,732.5448,529.7216,387.6929,632.6776,1647.9914,493.107,794.1095,530.3676,1119.7084,752.7486,46,793.803,7,17551.9194,1,686.5591,0,0,0.64,0,0
2,1,220,1083,0,0,776.9283,80,0,1704.4265,0,2823.5763,1014.5956,2874.238,943.8775,816.1618,3902.4411,1312.0558,0,2428.9893,637.0834,764.3561,427.9908,1304.3411,3.3,742.5658,532.8006,359.1147,704.0107,1610.8288,565.0802,785.4998,536.7211,1237.3767,803.0257,52,808.333,8,17893.9325,1,649.8822,0,0,0,0,0
1,0,251,1307,1.4,0,842.0146,74,0,1808.7333,1,3010.0309,1052.0858,3096.9322,973.1295,866.4332,4098.2867,1358.0544,0,2553.8709,774.3842,743.7875,428.0588,1288.6323,2.4,693.9417,541.7407,536.9017,848.3786,1666.6389,569.5927,805.2971,529.9763,1245.0799,881.6837,65,803.6848,6,18837.6272,1,646.2579,0,0,1.96,0,0
4,4,343,1489,1.4,0,869.0742,67,0,1888.7752,1,3205.7348,1044.7225,3235.9751,1029.1762,935.6483,4258.0445,1387.0997,0,2719.6056,808.9133,777.4661,408.0048,1370.8558,3.6,755.5868,533.556,818.0814,983.88,1715.4634,815.6734,808.177,532.6915,1306.1918,952.7356,59,821.4102,3,19716.8901,1,658.2622,0,0,1.96,0,0
5,4,367,1618,2.4,0,883.5678,55,0,1954.7321,1,3361.0543,1137.1555,3349.7157,1062.4139,968.025,4481.4933,1497.7037,0,2882.892,1002.3004,833.2126,408.1565,1245.7425,3.5,756.9006,603.1208,878.6592,1331.7228,1794.8592,817.1264,804.7556,521.6277,1320.17,992.1802,62,846.7926,1,20642.6203,1,654.9396,0,0,5.76,0,0
3,1,388,2054,2.5,0,853.4059,46,0,2063.8073,1,3529.1173,1091.4846,3486.664,1109.1937,954.9945,4712.0271,1445.9994,0,3120.7859,1297.0896,823.7659,428.9827,1216.4534,3.3,773.9112,596.9327,939.6766,1688.3151,1830.8999,864.6418,807.2075,519.9179,1303.2258,994.0372,46,846.7644,0,21492.5267,1,629.5059,0,0,6.25,0,0
5,3,465,2230,2.5,0,863.2513,45,0,2082.8798,1,3639.9819,1119.0707,3669.4364,1039.4907,956.3247,5063.1589,1451.9756,0,3374.3148,1600.7282,864.8622,385.5774,1290.0584,3,799.1847,562.35,1007.2311,2171.2288,1920.2308,777.8725,853.5617,554.4749,1317.1841,973.9869,37,899.8927,0,22519.1623,1,651.7925,0,0,6.25,0,0
3,0,464,2283,1.2,0,863.1784,45,0,2206.5296,1,3886.1084,1098.6465,3893.5444,1053.9673,984.5096,5532.0384,1526.3762,0,3887.7327,1846.4531,836.6289,408.6593,1274.2889,2.7,815.0186,538.1844,830.7737,2424.7573,1925.9611,741.337,859.1337,585.6299,1307.3212,903.5491,35,860.2495,0,24165.612,1,648.4771,0,1,1.44,0,0
0,3,406,2227,-0.5,0,889.1927,40,0,2201.5787,0,4022.5551,1046.2956,4015.2045,1041.9536,958.3552,5673.6481,1517.6441,0,4151.5567,2041.3181,788.0574,423.7561,1177.0982,2.9,833.3295,577.2871,637.631,2460.2036,1985.6483,650.3535,811.1428,574.8783,1222.7737,920.1534,34,852.6026,0,24790.6092,1,676.5605,0,0,0.25,0,1
0,0,371,2152,-1.6,0,871.3076,41,0,2198.7499,0,3991.8154,1060.9019,4121.813,1012.3337,902.1259,5723.259,1547.3232,0,4383.8353,1931.3085,775.9222,427.686,1223.7716,2,829.5648,559.4414,546.9288,2455.9861,1914.8314,648.1827,823.536,552.3845,1315.8114,870.9679,28,810.5095,0,25197.4386,1,648.6117,0,0,2.56,0,0
0,1,469,3853,-2.6,0,803.9074,46,0,2047.8595,0,3893.08,1073.7328,3996.4277,964.321,898.2168,5350.0875,1432.3184,0,3990.1439,1639.9636,800.1316,408.2072,1219.6571,1.6,788.7672,551.7985,416.575,1915.152,1875.5813,580.0914,808.785,540.6714,1295.8298,809.7796,27,785.26,0,23881.3281,1,691.6397,0,0,6.76,0,0
3,2,642,4295,-2.9,0,841.3478,48,0,1917.7334,0,3619.6258,1028.2462,3656.7708,942.9685,847.5671,4760.5238,1363.413,0,3147.1985,906.2387,765.0819,427.58,1175.6434,2.7,778.7249,551.3256,419.1941,1058.0538,1843.4158,558.5282,811.96,547.0492,1194.3992,783.3676,20,799.0475,0,21503.0803,1,666.741,0,0,8.41,0,0
