"y","past_return","bus_passenger","temp","sub_passenger","m5","m70","m45","m65","wet","m20","f15","f35","f50","f55","m60","f0","m35","f70","m0","f40","dust","f65","m50","m55","m30","m40","m25","wind","sunny","f45","f20","f60","f30","f25","most_use","X8_9","cloud","rain","semester","temp.sqr"
0,0,8,-2.1,0,526.9761,737.3836,904.0857,417.9578,56,2514.5834,605.8067,1080.4464,697.1884,595.6035,500.0517,355.3955,1213.0688,1136.0043,445.0988,659.0926,38,487.8129,750.5879,716.3295,1698.6529,803.6301,3082.9688,2.5,0,739.2058,4276.3212,619.0804,1675.377,3002.3673,18543.7858,0,9,0,0,4.41
0,0,12,-1.9,5,544.9547,748.4007,899.1318,414.0992,55,2554.3603,637.0526,1103.7989,679.593,581.9424,501.2277,338.3259,1205.585,1123.3199,434.6023,660.6537,41,482.6152,728.445,714.0956,1704.6129,796.9997,3061.9827,2,0,754.1053,4266.5884,635.7418,1678.664,2968.2033,18543.7955,0,8,0,0,3.61
0,0,37,-1.9,161,548.4396,747.7826,906.7302,426.0584,56,2545.7365,665.0012,1075.489,675.7104,595.7291,510.728,324.6109,1224.7163,1157.4969,412.9007,647.9535,43,511.8701,731.1179,713.7302,1695.6564,821.4094,3049.3064,2.3,0,731.9394,4218.3895,635.9868,1659.9689,2984.2089,18453.4719,0,9,0,0,3.61
0,0,56,-1.9,246,574.8667,759.6752,925.2835,431.7673,66,2542.303,639.7209,1073.0664,680.5979,601.7095,517.5398,324.349,1212.6061,1164.5989,420.7984,661.6567,43,538.8868,746.232,713.4863,1690.2626,799.429,3031.7595,2.5,0,746.2945,4248.1746,658.7549,1668.6876,2973.5895,18440.4493,0,9,0,0,3.61
0,0,85,-2.2,416,549.6872,754.8039,907.0188,438.3799,81,2469.1511,619.3514,1086.8994,680.5075,620.8738,517.8935,314.2971,1199.5701,1183.6856,414.7436,666.1195,52,534.7857,698.9761,734.231,1655.5987,824.9195,3039.5463,2,0,735.9822,4174.7932,629.731,1639.6134,2932.8963,18198.0685,0,9,0,0,4.84
0,0,171,-2.2,789,566.1793,734.9286,891.3126,445.4824,83,2445.8786,582.732,1089.1511,691.9868,641.7601,530.9345,317.0563,1186.7689,1176.5494,449.7321,683.126,54,537.8985,687.7629,772.8655,1677.396,872.3767,2979.8742,2,0,738.8499,4060.9573,650.1473,1686.3704,2869.5038,17995.9003,1,8,0,0,4.84
0,0,188,-1.9,1035,518.2788,686.8144,880.3636,456.9606,82,2399.9479,589.3282,1116.403,730.6254,678.2829,516.6764,373.4072,1219.8663,1159.131,457.7015,719.6571,38,534.122,685.5117,776.3128,1660.2613,834.134,2847.3887,1.4,0,762.4441,3916.1752,630.4952,1644.2672,2790.5682,17594.8778,0,8,0.3,0,3.61
0,0,186,-0.8,980,575.6963,732.5448,971.919,469.9947,81,2348.6809,632.6776,1119.7084,793.803,708.6192,530.3676,387.6929,1245.1284,1192.8083,493.107,752.7486,46,529.7216,739.2145,794.1095,1654.5955,853.3559,2849.6423,0.7,0,785.2918,3896.1996,686.5591,1647.9914,2789.9729,17551.9194,0,7,0,0,0.64
0,0,220,0,1083,637.0834,742.5658,1014.5956,427.9908,80,2428.9893,704.0107,1237.3767,808.333,764.3561,536.7211,359.1147,1312.0558,1304.3411,565.0802,803.0257,52,532.8006,776.9283,785.4998,1704.4265,943.8775,2874.238,3.3,0,816.1618,3902.4411,649.8822,1610.8288,2823.5763,17893.9325,0,8,0,0,0
0,0,251,1.4,1307,774.3842,693.9417,1052.0858,428.0588,74,2553.8709,848.3786,1245.0799,803.6848,743.7875,529.9763,536.9017,1358.0544,1288.6323,569.5927,881.6837,65,541.7407,842.0146,805.2971,1808.7333,973.1295,3096.9322,2.4,1,866.4332,4098.2867,646.2579,1666.6389,3010.0309,18837.6272,0,6,0,0,1.96
