"y","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m0","m10","m5","m20","m30","m45","m65","f15","f20","f25","f35","f50","f55","f65","bus_passenger","sub_passenger"
3,-0.4,0,2.4,77,0,30,0.16,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.0187,211.3926,439.4328,2766.1461,1736.8592,972.9738,417.1738,612.6588,4990.509,3660.8975,1229.7883,703.6787,651.9989,506.6489,19,0
0,-1.6,0,2,78,0,27,2.56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.7315,208.0297,445.6092,2801.692,1753.8279,963.7398,408.4671,605.7831,5009.4618,3645.3716,1233.1164,692.8638,655.9734,506.116,13,0
0,-2.2,0,2.5,76,0,40,4.84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.1981,205.9374,433.3701,2779.9815,1744.4878,1006.9669,417.227,584.2396,5006.1417,3644.9303,1208.7816,704.1759,669.6746,492.5156,37,12
0,-2.9,0,3.3,74,0,30,8.41,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.893,205.7962,436.69,2804.2118,1755.528,1001.119,443.7448,608.1986,4987.1576,3658.787,1209.1864,697.6113,664.3869,517.363,73,533
1,-3.6,0,2.6,73,0,33,12.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462.159,213.3039,457.1604,2743.7162,1757.5362,1011.561,455.1808,581.5113,4950.9677,3614.7621,1277.9817,718.2116,691.5141,531.4881,165,879
1,-4,0,2.5,76,0,37,16,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497.5077,229.6184,489.7856,2700.5523,1771.1274,1171.3598,471.0293,621.6162,4735.728,3485.6262,1283.4648,801.5529,786.05,567.9657,409,2390
8,-4.6,0,1.9,75,0,42,21.16,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.8143,198.3755,708.9889,2567.7235,1673.442,1247.1875,528.4385,755.4508,4435.8508,3148.3347,1373.5342,911.8173,817.9676,569.5154,703,4454
3,-4.3,0,3.8,73,0,41,18.49,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476.2704,219.8168,802.3288,2525.5709,1657.2913,1271.5629,507.5462,742.958,4089.8537,2878.7932,1351.6933,933.4412,901.2309,623.2557,563,2763
4,-3.5,0,2.8,66,0,43,12.25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,564.9719,260.7562,745.1764,2566.0131,1662.6421,1334.0195,535.5387,707.7921,4018.2643,2853.2876,1417.7404,988.5911,975.3952,602.1127,339,1469
1,-1.9,0,3.2,55,0,42,3.61,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,565.6571,261.072,871.9803,2691.9563,1649.5387,1308.7639,506.5349,769.4529,4008.8564,2936.7126,1472.2093,969.2849,928.1541,563.289,308,1379
3,-0.6,0,2.5,45,0,43,0.36,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,433.2093,199.9426,870.0727,2795.5505,1658.6124,1313.2655,493.4305,1064.8502,4202.652,2971.0811,1468.1053,967.2959,930.3996,586.3449,370,1599
2,-0.5,0,2.9,43,0,43,0.25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,429.6683,198.308,989.5104,2844.3175,1656.7619,1326.4952,518.293,1102.9943,4289.9368,3010.1518,1465.6131,993.7276,1014.2967,632.3722,467,1782
