"y","station_dist","station_type","temp","rain","wet","cloud","temp.sqr","semester","past_return","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m5","m25","m30","m40","m50","m55","m65","m70","f10","f25","f35","f55","f70","bus_passenger","m0","f65"
3,52,0,21.2,0,54,0,449.44,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1592.9903,998.7839,856.3022,1428.4907,1479.074,1139.2676,620.8316,1451.9399,1408.4873,1215.2158,1611.956,1325.8769,1646.2792,227,1403.1005,742.2876
0,82,0,1.9,0,78,9,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1814.6316,878.6969,744.1083,1642.8621,1629.3742,1286.6589,664.1106,1149.3883,1703.3277,983.9948,1690.7377,1373.4105,1571.2129,5,1707.8468,699.1049
1,41,0,7.1,0,62,10,50.41,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1394.5964,829.8676,715.6698,1112.4523,1045.688,974.9143,574.0787,1304.9994,2084.4109,879.1803,1391.2894,1384.597,1649.0879,168,2052.3193,792.9325
0,246,0,13,0,77,1,169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1761.3493,862.4173,767.4645,1462.3611,1615.8559,1255.1928,656.4476,1278.5324,1586.4149,988.9626,1449.7283,1349.1795,1472.286,10,1568.454,728.8305
1,118,0,24.1,0,83,9,580.81,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1074.3963,1046.1895,1052.5982,1145.6462,1295.9502,1187.1001,558.8657,972.4396,638.7211,1234.6178,1203.025,1209.4117,1557.783,236,959.4069,672.4814
0,128,0,10,0,70,10,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877.0134,3554.6816,1833.1262,912.314,749.1655,726.8026,397.5921,826.5285,168.855,3853.5194,1317.9148,676.0375,1281.2504,31,466.3468,566.6804
19,118,0,22.8,0,42,1,519.84,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.5553,1377.5245,1078.3176,747.4494,701.2398,712.6978,329.1676,588.7249,182.8757,1305.0189,904.7605,609.3018,1072.0762,769,464.978,368.0495
2,71,0,-4.5,0,56,1,20.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,512.8895,751.1591,623.4403,730.5757,656.5914,640.2779,478.7614,805.6509,499.9265,810.1375,1010.0635,1017.9125,1326.0997,635,1053.183,612.2034
5,76,1,-0.7,0,71,8,0.49,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,682.8951,1421.0568,1185.0295,1175.6464,1161.2433,1145.594,610.7097,955.0512,226.8618,1862.306,1312.7411,1106.4617,1572.2286,240,505.8394,611.502
1,88,0,19.9,0,84,9,396.01,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,859.5931,852.3674,772.5061,801.4474,870.367,1080.7974,615.7272,1329.2148,422.8787,909.3383,1041.231,1290.7423,2143.2877,125,709.1728,871.1761
2,70,1,26.8,0,82,10,718.24,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,605.3852,882.2593,754.308,1004.8748,830.6179,777.6523,464.4929,912.1983,473.3774,999.7668,1227.7209,1012.4407,1378.0283,308,1035.1541,623.1435
0,21,1,17.4,2.6,98,10,302.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.2944,739.8124,831.0673,517.9198,437.1573,422.9926,186.0236,382.3164,128.6488,981.1301,762.2639,483.0579,700.1385,165,426.8006,350.9972
2,428,0,11.5,0,59,10,132.25,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,725.9381,1651.5125,893.7144,766.6574,632.0137,650.8908,314.6982,649.9367,151.0414,1379.5142,1007.7575,638.1232,941.0243,484,299.3321,421.0385
6,100,0,25.9,0,82,7,670.81,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,634.4169,1301.0673,1282.1254,1040.5078,911.5503,864.1706,477.4965,913.8477,295.1866,1468.2379,1295.3832,1061.6485,1342.6255,420,741.1565,636.3344
8,58,0,24.2,0,79,9,585.64,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,349.0172,708.574,706.6932,674.617,608.8999,616.7661,362.2216,599.7072,275.7202,837.2829,856.9036,650.7968,1041.1978,236,526.4754,408.6711
0,41,0,19.2,0,93,9,368.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561.3922,1055.0492,1010.2734,837.8892,967.8741,1141.0626,668.882,1290.3212,365.6574,1102.3391,1130.7063,1357.7232,2110.1901,15,702.8709,884.0146
5,83,0,14.2,0,89,10,201.64,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016.3014,4934.6045,2513.5219,1222.562,962.7043,911.0854,452.9087,884.3469,203.1464,5048.9027,1453.3096,893.5775,1270.1596,602,517.1932,654.3257
3,83,0,25.9,0,82,7,670.81,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,697.6903,2828.3096,1638.3894,1172.7864,1035.8538,950.8742,456.5954,918.9675,274.4376,2997.9822,1396.4207,927.1058,1298.3971,381,536.2912,655.5729
5,118,0,23.1,0,39,0,533.61,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,683.5892,1486.914,958.6847,709.6316,715.9681,663.7368,310.9607,697.3022,214.5431,1202.5981,934.5101,590.1641,1031.5025,445,312.6105,395.4023
1,34,0,-4.5,0,36,2,20.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,338.0791,1353.2314,945.5737,699.5813,646.1134,658.8961,428.318,645.3953,144.2268,1216.0374,808.3133,636.4128,1036.751,413,429.0052,361.2507
7,82,0,25.5,0,42,7,650.25,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1282.3481,784.7911,719.2271,1015.7763,1201.0321,1068.0736,634.7814,1303.5465,783.8994,842.0945,1233.9848,1171.2447,1552.1963,113,858.9144,678.3419
8,52,0,5,0,71,0,25,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.6405,728.2653,775.667,655.864,558.7849,575.9538,331.2957,545.8923,186.8239,914.4802,740.7049,563.5974,827.2938,414,467.9201,395.2469
1,428,0,22,0,64,8,484,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,678.8911,1603.8314,970.9991,742.2566,660.4824,688.2813,382.3424,684.7483,183.0606,1299.5923,929.7861,621.2079,995.5601,465,449.6334,369.9093
1,127,0,-0.1,0,48,0,0.01,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,978.3113,1042.0255,1173.5024,1397.2282,1290.2497,1040.8111,642.102,1236.4271,775.2887,1208.2575,1351.6801,1201.5361,1683.5161,315,1052.7632,738.3721
0,405,0,-7.4,0,59,2,54.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.0994,948.3785,959.6971,865.6601,834.2924,806.2674,530.9992,897.5508,301.7108,1031.0002,1207.8897,1017.2294,1454.5054,180,741.0155,643.5855
4,57,0,12,0,68,0,144,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,748.1888,1281.4858,1185.5003,842.2068,797.2499,863.9822,426.003,777.2469,241.252,1525.5137,1115.7296,1046.3542,1314.5823,31,542.3376,573.3421
0,52,0,26.7,0,93,9,712.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1847.4924,799.0302,725.5842,1619.4181,1548.5922,1275.3164,646.9452,1142.0374,1647.7614,1008.2354,1492.62,1415.8865,1625.1857,8,1697.5536,726.6815
0,428,0,23.6,0,90,10,556.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,434.5749,1492.5586,1171.6605,657.1181,603.6363,626.8501,325.3344,642.9811,175.8637,1718.1523,945.3186,558.8803,1055.5986,378,431.9343,409.8758
10,90,0,24.7,0,43,0,610.09,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,933.7991,1084.3289,938.4746,882.4501,808.3159,783.37,433.7554,801.7633,219.7575,1203.3642,1123.1393,1013.1943,1343.3455,280,688.5206,538.6022
3,17,1,24,0,41,4,576,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1296.0386,3683.2133,2201.2318,1169.0191,928.6617,967.5959,414.8562,817.2345,493.4177,3956.4333,1698.8786,868.5419,1282.0233,738,831.1225,552.5244
1,221,0,13.2,0,56,0,174.24,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,194.1933,732.8156,813.1399,629.2494,570.0076,616.5304,341.8554,603.7272,160.6794,984.7446,813.0461,680.6756,882.0613,108,432.909,406.9246
13,88,0,11.3,0,68,0,127.69,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,292.2005,807.7328,741.4717,638.9745,548.8339,502.1955,235.9587,552.6677,450.8562,992.4659,848.4416,535.8929,832.3005,841,456.4024,352.2874
1,221,0,-3.3,0,53,8,10.89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,211.6959,536.4689,611.8643,563.9516,582.8603,668.6059,325.0133,637.1134,165.3705,645.3571,605.6091,636.4148,852.6861,186,646.3866,374.1517
2,554,0,29.7,0,76,10,882.09,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1237.5033,2917.3682,1623.1787,1256.8164,1266.4645,1053.3222,497.6578,1009.6336,156.1038,3120.3504,1401.3872,1042.9012,1360.0149,602,435.2799,602.0396
7,29,1,27.7,0,70,10,767.29,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,240.2172,663.2967,691.5076,579.0199,562.4303,597.7228,342.3634,578.233,179.1781,713.263,636.3241,640.0612,919.7341,215,504.5417,378.115
5,88,0,17.2,0,37,1,295.84,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,737.5184,794.9667,762.1866,663.3105,794.0637,988.1854,566.2226,1254.1041,464.8501,850.7924,932.7213,1174.6949,2012.4023,202,806.4388,875.4047
