"y","past_return","sub_passenger","station_dist","bus_passenger","temp","m50","m25","m30","m35","f60","m20","m5","station_type","f50","f30","f70","f0","f15","f45","m40","m55","m45","f20","m0","m70","m60","wind","f55","f40","f65","f25","wet","f35","dust","m65","most_use","cloud","sunny","X16_17","temp.sqr","X8_9","X7_8","rain","semester","X19_20","X12_13"
0,0,2645,113,514,3.3,1091.1365,2913.3577,1732.7927,1580.0524,789.0181,3329.2052,1134.7127,0,1097.9767,1712.9585,1375.8452,513.2566,1592.2693,1140.6079,1118.7424,1007.6947,1268.6647,4826.5348,519.4739,929.2331,691.895,3.3,943.0032,1104.3826,640.6538,3200.3921,41,1393.8696,45,518.9631,20689.163,0,1,1,10.89,0,0,0,0,0,0
2,0,1935,113,452,28.3,1152.7748,2757.8127,1667.4508,1423.2163,736.4162,3274.3492,808.2657,0,1054.9817,1673.4837,1376.3504,619.7903,1359.5126,1224.9992,1166.4846,1103.7364,1206.0663,4610.1815,615.4096,945.9005,721.2154,3.6,1013.821,1175.2399,561.2586,3076.3946,80,1440.8707,24,519.1425,19923.7595,10,1,0,800.89,0,0,0,0,0,0
3,4,0,611,92,15.8,842.466,4002.0918,1947.2516,1447.2297,668.1158,4505.4227,1138.0694,0,820.7783,1945.4224,1210.329,437.9598,1497.8217,782.8209,942.1941,891.1224,1028.7607,6349.2906,484.953,875.3886,574.7556,0,753.2398,848.346,585.2037,4057.3178,72,1319.1701,28,440.0165,25573.1967,0,0,0,249.64,0,0,0,1,0,0
0,1,1642,17,416,31.3,1059.6027,2764.4843,1600.2841,1548.0735,798.1418,3093.4234,691.3157,1,1019.9158,1660.1584,1383.0451,422.153,891.2319,1055.3607,1168.2486,997.2997,1091.4181,4506.6521,548.3012,852.0375,709.1064,3.6,932.4422,1073.4822,594.2294,2982.134,65,1388.5198,29,569.506,19543.7296,5,1,0,979.69,0,0,0,0,0,0
1,0,0,83,75,-2.4,802.2049,3891.7546,1921.6719,1384.1302,610.1471,4073.9169,798.4016,0,745.6475,2029.866,1258.3425,362.5735,1112.939,779.6724,937.5976,866.4893,1061.005,6511.8028,407.1019,795.8266,530.7529,4.8,657.2905,728.69,501.5944,4173.9571,48,1384.3372,8,393.2247,25371.4367,2,0,0,5.76,0,0,0,1,0,0
7,8,2390,37,540,20.6,1095.1078,2907.4631,1757.888,1537.2706,752.1998,3994.4308,1260.8784,0,1026.6262,1810.8207,1300.3021,364.9849,1367.8156,1228.4872,1239.3795,1067.8114,1232.5315,5937.2309,342.4165,933.3242,735.8118,2.3,1017.6486,1139.3724,619.9922,2963.8099,34,1440.0092,44,464.0943,22348.9232,2,1,0,424.36,0,0,0,1,0,0
0,1,4129,546,756,-7.9,852.751,3129.1386,1652.2024,1387.5596,704.3108,3344.0536,851.3242,0,875.3452,1783.6641,1314.4549,475.7435,879.2019,965.5011,1033.4879,889.1972,1171.7227,5170.6814,479.2506,830.0343,563.8095,2.4,772.753,882.21,562.7515,3304.434,85,1345.4451,48,428.8008,21117.1788,2,0,0,62.41,1,0,0,0,0,0
1,3,2558,17,595,1.8,1065.9966,3151.8717,1606.2862,1472.5649,889.9485,4739.5799,1528.2924,1,1028.4899,1833.3871,1207.6261,324.9221,1677.4073,1226.6619,1163.6048,1073.7695,1333.8084,6267.4568,453.5017,957.794,708.7271,3.1,1076.0287,1214.0272,678.2729,3127.3926,26,1479.9132,56,497.7863,23678.4524,0,1,0,3.24,0,0,0,1,0,0
0,0,0,232,51,23.6,792.7009,3745.9008,1876.6605,1398.3632,658.4187,3536.3926,716.5344,0,775.266,1957.7013,1221.4464,431.2784,1009.2058,761.8506,897.9682,799.6854,901.1156,5593.0904,437.0838,752.6252,563.48,2.5,683.7415,782.5861,490.5876,4029.3251,92,1338.8478,24,387.7831,23476.2817,10,0,0,556.96,0,0,0.5,0,0,0
0,1,2021,232,558,25.4,1126.5872,2648.0435,1631.3949,1531.4141,745.5729,3456.4855,887.2151,0,1116.6556,1672.0661,1374.9823,570.5656,1485.5287,1114.2493,1245.839,1010.4414,1220.914,4865.781,670.2238,1018.5321,702.9655,1.8,1019.7613,1080.1946,609.8417,3003.802,94,1344.3843,31,526.9328,20153.3714,10,0,0,645.16,0,0,1.3,0,0,0
