"y","f45","m20","past_return","f25","temp","f50","wet","m30","f20","X17_18","f30","m45","f0","most_use","m5","bus_passenger","m50","m25","f15","m55","f65","sub_passenger","f35","f70","m0","m35","f40","wind","m65","f55","m60","f60","m70","dust","m40","X15_16","semester","X14_15","X12_13","cloud","sunny","X16_17","X11_12","X18_19","rain","X9_10","temp.sqr"
0,902.1259,4383.8353,0,3991.8154,-1.6,810.5095,41,2198.7499,5723.259,0,1914.8314,1060.9019,546.9288,25197.4386,1931.3085,371,871.3076,4121.813,2455.9861,823.536,559.4414,2152,1315.8114,1223.7716,648.1827,1547.3232,870.9679,2,427.686,775.9222,552.3845,648.6117,829.5648,28,1012.3337,0,0,0,0,0,0,0,0,0,0,0,2.56
0,898.2168,3990.1439,0,3893.08,-2.6,785.26,46,2047.8595,5350.0875,0,1875.5813,1073.7328,416.575,23881.3281,1639.9636,469,803.9074,3996.4277,1915.152,808.785,551.7985,3853,1295.8298,1219.6571,580.0914,1432.3184,809.7796,1.6,408.2072,800.1316,540.6714,691.6397,788.7672,27,964.321,0,0,0,0,0,0,0,0,0,0,0,6.76
0,847.5671,3147.1985,0,3619.6258,-2.9,799.0475,48,1917.7334,4760.5238,0,1843.4158,1028.2462,419.1941,21503.0803,906.2387,642,841.3478,3656.7708,1058.0538,811.96,551.3256,4295,1194.3992,1175.6434,558.5282,1363.413,783.3676,2.7,427.58,765.0819,547.0492,666.741,778.7249,20,942.9685,0,0,0,0,0,0,0,0,0,0,0,8.41
0,827.7268,2838.5561,0,3542.5483,-3.8,799.6374,49,1884.5123,4706.2114,0,1842.3086,1039.9894,392.1807,20915.2501,642.8577,290,800.7484,3555.0641,767.9079,763.2258,564.4722,1183,1203.7896,1165.0347,576.0977,1342.2597,795.783,2.1,434.2469,737.9257,558.7961,683.2331,793.1548,33,895.4819,0,0,0,0,0,0,0,0,0,0,0,14.44
0,705.2005,2702.1775,0,3512.6591,-4.4,693.2796,48,1756.178,4753.8475,0,1853.8448,983.0021,302.5978,20523.4923,412.8902,116,746.819,3454.4892,635.5786,704.2859,500.2525,296,1167.7962,1144.6911,454.4504,1322.5,711.2368,2.9,409.5073,641.8205,527.5285,613.1592,750.5164,26,892.449,0,0,0,0,0,0,0,0,0,0,0,19.36
0,710.2858,2739.8139,0,3556.0776,-5.2,685.142,51,1746.7593,4745.3337,0,1867.0894,991.3523,298.2608,20620.9137,429.0108,54,731.7209,3483.7838,630.3021,702.5412,494.7284,0,1180.2811,1090.2994,470.1789,1301.7749,689.1734,1.6,412.3134,640.3266,527.1577,623.4963,760.0452,27,898.57,0,0,0,0,1,0,0,0,0,0,0,27.04
0,723.9464,2757.503,1,3567.5378,-5.8,681.5611,52,1760.4701,4775.0704,0,1899.451,953.1996,288.5762,20732.748,434.1726,28,748.8319,3502.4904,650.0474,699.2396,496.2779,0,1171.9583,1091.5168,451.7634,1298.267,663.4489,2.1,402.6155,647.3592,519.202,636.0671,768.6048,29,884.6295,0,0,0,0,0,0,0,0,0,0,0,33.64
0,722.0812,2772.7609,0,3579.102,-6.4,681.0465,56,1754.8118,4815.8483,0,1887.8221,957.8903,285.7222,20799.6178,417.6675,21,757.3202,3491.2571,671.1149,683.5991,502.6214,0,1184.0139,1121.5832,464.014,1314.0017,662.989,1.7,407.4006,640.2234,507.8375,631.7989,754.1195,25,901.255,0,0,0,0,5,0,0,0,0,0,0,40.96
0,724.244,2780.6139,0,3579.6345,-7,687.0972,59,1754.4657,4798.7789,0,1884.7284,965.8599,302.9079,20762.1849,438.2313,9,749.408,3487.9432,687.2134,719.0592,504.5646,0,1176.7656,1092.3598,494.9173,1299.2547,675.5828,1.6,390.0664,632.5592,493.8672,633.0392,759.2225,21,904.8807,0,0,0,0,2,0,0,0,0,0,0,49
0,723.0045,2803.1913,0,3579.2221,-7.2,698.4787,61,1779.2022,4752.0265,0,1880.5437,970.6791,307.4638,20826.7544,446.1406,35,742.6971,3518.3709,678.9458,708.5429,478.4149,10,1212.531,1133.1607,507.3804,1301.6667,685.3887,1.3,397.9289,656.7043,502.8778,631.4011,770.3506,30,894.8631,0,0,0,0,3,0,0,0,0,0,0,51.84
0,709.2058,2795.1302,0,3560.5171,-7.4,712.693,59,1789.8582,4772.6754,0,1910.9327,1008.9347,291.5509,20835.7614,440.6551,64,762.1957,3487.6214,675.2878,727.9901,483.2726,565,1226.4843,1113.8521,445.032,1292.5421,683.1681,0.3,409.5458,666.4392,530.6742,659.0093,793.6769,24,915.6993,0,0,0,0,2,0,0,0,0,0,0,54.76
0,731.2445,2756.9281,0,3569.0227,-7.8,696.985,55,1791.7569,4694.4118,0,1890.5477,996.9741,301.4263,20757.2521,459.447,173,789.6308,3454.61,674.2249,774.9457,523.1746,892,1238.8622,1165.0858,460.1583,1361.1127,683.3059,2.1,434.1096,722.7125,536.3459,642.1534,819.6501,22,926.5137,0,0,0,0,1,0,0,0,0,0,0,60.84
1,802.7161,2652.1441,0,3455.4277,-7.7,772.7932,54,1801.4965,4636.7636,0,1902.6712,1149.7792,352.3485,20535.6556,430.9352,344,895.0344,3324.0483,658.9151,844.6391,534.9,2435,1310.0714,1267.5847,487.1381,1453.0328,743.9412,2,484.3968,779.1232,598.5327,697.5645,858.7583,21,1025.6266,0,0,0,0,0,0,0,0,0,0,0,59.29
0,924.3551,2519.3405,0,3084.5751,-7.6,936.5414,55,1648.7732,4270.768,0,1705.8362,1208.1979,375.8258,18767.3927,644.902,712,1018.9741,2847.9055,743.7441,913.6478,533.7396,4472,1263.8432,1304.7471,436.3641,1426.351,925.8083,1.6,517.2983,843.9229,643.2286,728.622,869.331,25,1119.5196,0,0,0,0,1,0,0,0,0,0,0,57.76
0,1035.5256,2482.0831,1,2871.5283,-6.9,915.2747,55,1612.2712,3956.3774,0,1671.153,1250.4559,376.2878,17936.2537,672.8843,484,1103.368,2662.0406,686.4385,1001.3734,562.8275,2597,1285.0733,1391.9837,468.4626,1395.7268,940.7677,1.7,549.8313,895.3672,736.8433,767.7525,922.4688,23,1181.4821,0,0,0,0,1,0,0,0,0,0,1,47.61
0,1173.343,2511.324,0,2821.1083,-4,943.9601,55,1640.1081,3960.7385,0,1675.3203,1312.3121,362.6595,18079.1343,744.7539,332,1166.6949,2688.0373,754.2041,1056.6613,586.9194,1361,1342.5714,1392.7046,509.9497,1439.9264,1009.0316,1.2,514.519,910.2718,746.2477,765.2355,859.6573,20,1159.787,0,0,0,0,2,0,0,0,0,0,0,16
0,1104.404,2534.5863,2,2868.6999,-1.4,946.7855,44,1662.9091,4061.4116,0,1684.9537,1295.4737,430.8532,18323.4817,878.6157,306,1122.7146,2626.2692,863.6813,1081.0416,593.273,1430,1418.3272,1475.7007,517.4044,1466.3247,1043.2783,1.5,551.6107,919.8563,717.0376,776.9227,906.669,32,1156.4928,0,0,0,0,0,0,0,1,0,0,0,1.96
1,1121.1977,2710.3982,0,2922.4458,0.9,1008.2463,36,1720.4887,4233.7315,0,1625.2388,1293.3652,371.4619,18864.0709,857.3689,350,1154.8022,2693.7614,1014.0743,1075.5495,622.8533,1601,1447.0067,1309.883,458.3968,1510.9998,1013.2716,2.1,541.5435,921.7864,739.0346,798.234,926.741,38,1224.5282,0,0,0,1,2,0,0,0,0,0,0,0.81
0,1156.7422,2856.6664,0,2941.0495,1.7,1044.9356,43,1717.156,4305.2457,0,1699.0385,1311.0648,477.6398,19100.1617,776.4583,407,1217.4117,2721.8669,1117.9918,1066.5346,629.8864,1661,1398.3945,1360.3603,554.3713,1460.7442,1056.2872,2.8,542.9097,930.1997,759.8518,807.4246,956.0724,35,1210.1774,0,0,0,0,4,1,0,0,0,0,0,2.89
1,1176.4602,2913.5869,0,2947.6832,2,1042.1027,43,1716.8676,4551.2047,0,1718.2784,1334.6582,405.9336,19620.1456,774.643,409,1235.0978,2828.2211,1331.7675,1092.2724,617.1358,1746,1423.4154,1314.2719,451.932,1520.8883,1152.2567,2.4,541.6243,1000.6554,737.439,841.7481,924.2738,37,1277.6667,0,0,1,0,6,1,0,0,0,0,0,4
0,1213.4825,3048.8963,1,3001.5806,2.2,987.4939,48,1743.0036,4622.7266,0,1732.9643,1273.3366,421.9394,20033.1745,862.0225,475,1182.228,2861.655,1509.9943,1004.7152,633.3601,2078,1458.7331,1320.5806,518.499,1563.615,1115.5868,2.2,503.9378,964.4287,739.1344,844.4154,908.7911,33,1279.4113,1,0,0,0,6,1,0,0,0,0,0,4.84
2,1165.018,3128.9349,0,3014.8984,2.3,1036.4946,49,1758.573,4704.3098,0,1653.7936,1286.7302,401.7319,20077.6446,1113.7642,576,1200.9963,2945.7799,1773.7533,931.7262,575.3131,2675,1330.0928,1322.5985,527.9048,1541.2622,1060.8693,2.4,509.5979,913.6478,703.575,837.3723,924.7538,37,1264.2411,0,0,0,0,7,1,1,0,0,0,0,5.29
1,1125.9201,3566.9292,0,3165.3341,1.6,969.4632,56,1832.8592,5077.701,1,1699.6399,1265.1751,470.282,21374.8499,1462.203,626,1119.0981,3144.4974,2060.307,862.4286,591.3638,3455,1307.0461,1304.803,478.9472,1580.843,1050.205,3,528.022,912.9846,662.4177,794.8837,918.6571,38,1260.9816,0,0,0,0,8,1,0,0,0,0,0,2.56
0,1187.7941,4113.3908,1,3976.3613,1.3,969.3633,58,2164.098,5727.6594,0,2191.8572,1371.9742,458.8049,24922.9893,1744.4481,939,1149.0736,3613.3573,2215.459,922.902,613.0449,4126,1477.9913,1259.3332,486.4166,1658.274,1075.355,1.9,510.3344,952.0257,717.9191,790.7419,933.1072,31,1358.0766,0,0,0,0,9,1,0,0,1,0,0,1.69
0,1112.8779,4065.1125,0,4043.4377,1.3,904.3468,65,2131.5452,5850.444,0,2116.7063,1213.1551,461.8789,25018.0437,1583.4592,729,1018.1303,3726.0957,2102.8311,864.4499,628.8605,2725,1431.2488,1230.6667,477.2858,1653.4535,979.0794,2.6,491.4713,909.9748,650.9527,784.2587,876.745,21,1230.2638,0,0,0,0,9,1,0,0,0,0,0,1.69
0,1040.8249,3789.5552,0,3963.7459,1.2,849.9934,68,2130.5112,5604.409,0,2055.64,1167.5954,466.3662,24191.7665,1381.3895,627,952.5821,3683.61,1698.0712,816.706,628.7436,3443,1380.969,1215.3251,497.7466,1583.3262,899.9572,1.8,479.5888,842.1525,590.3687,732.2397,848.6156,22,1089.3896,0,0,0,0,9,1,0,0,0,0,0,1.44
