"y","sub_passenger","past_return","bus_passenger","temp","sunny","f0","f45","wet","f35","dust","m25","m0","m70","m55","f25","m45","m65","f40","m30","m35","m50","m40","f70","f65","m60","f50","f15","f60","wind","f55","m5","X18_19","m20","f30","cloud","f20","most_use","rain","weekend","temp.sqr","X7_8","X5_6","X8_9","X9_10","X12_13","X15_16","semester"
0,4295,0,642,-2.9,0,419.1941,847.5671,48,1194.3992,20,3656.7708,558.5282,778.7249,811.96,3619.6258,1028.2462,427.58,783.3676,1917.7334,1363.413,841.3478,942.9685,1175.6434,551.3256,547.0492,799.0475,1058.0538,666.741,2.7,765.0819,906.2387,0,3147.1985,1843.4158,0,4760.5238,21503.0803,0,1,8.41,0,0,0,0,0,0,0
0,1183,2,290,-3.8,0,392.1807,827.7268,49,1203.7896,33,3555.0641,576.0977,793.1548,763.2258,3542.5483,1039.9894,434.2469,795.783,1884.5123,1342.2597,800.7484,895.4819,1165.0347,564.4722,558.7961,799.6374,767.9079,683.2331,2.1,737.9257,642.8577,0,2838.5561,1842.3086,0,4706.2114,20915.2501,0,1,14.44,0,0,0,0,0,0,0
0,296,0,116,-4.4,0,302.5978,705.2005,48,1167.7962,26,3454.4892,454.4504,750.5164,704.2859,3512.6591,983.0021,409.5073,711.2368,1756.178,1322.5,746.819,892.449,1144.6911,500.2525,527.5285,693.2796,635.5786,613.1592,2.9,641.8205,412.8902,0,2702.1775,1853.8448,0,4753.8475,20523.4923,0,1,19.36,0,0,0,0,0,0,0
0,0,0,54,-5.2,0,298.2608,710.2858,51,1180.2811,27,3483.7838,470.1789,760.0452,702.5412,3556.0776,991.3523,412.3134,689.1734,1746.7593,1301.7749,731.7209,898.57,1090.2994,494.7284,527.1577,685.142,630.3021,623.4963,1.6,640.3266,429.0108,0,2739.8139,1867.0894,1,4745.3337,20620.9137,0,0,27.04,0,0,0,0,0,0,0
0,0,0,28,-5.8,0,288.5762,723.9464,52,1171.9583,29,3502.4904,451.7634,768.6048,699.2396,3567.5378,953.1996,402.6155,663.4489,1760.4701,1298.267,748.8319,884.6295,1091.5168,496.2779,519.202,681.5611,650.0474,636.0671,2.1,647.3592,434.1726,0,2757.503,1899.451,0,4775.0704,20732.748,0,0,33.64,0,0,0,0,0,0,0
1,0,0,21,-6.4,0,285.7222,722.0812,56,1184.0139,25,3491.2571,464.014,754.1195,683.5991,3579.102,957.8903,407.4006,662.989,1754.8118,1314.0017,757.3202,901.255,1121.5832,502.6214,507.8375,681.0465,671.1149,631.7989,1.7,640.2234,417.6675,0,2772.7609,1887.8221,5,4815.8483,20799.6178,0,0,40.96,0,0,0,0,0,0,0
0,0,1,9,-7,0,302.9079,724.244,59,1176.7656,21,3487.9432,494.9173,759.2225,719.0592,3579.6345,965.8599,390.0664,675.5828,1754.4657,1299.2547,749.408,904.8807,1092.3598,504.5646,493.8672,687.0972,687.2134,633.0392,1.6,632.5592,438.2313,0,2780.6139,1884.7284,2,4798.7789,20762.1849,0,0,49,0,0,0,0,0,0,0
0,10,0,35,-7.2,0,307.4638,723.0045,61,1212.531,30,3518.3709,507.3804,770.3506,708.5429,3579.2221,970.6791,397.9289,685.3887,1779.2022,1301.6667,742.6971,894.8631,1133.1607,478.4149,502.8778,698.4787,678.9458,631.4011,1.3,656.7043,446.1406,0,2803.1913,1880.5437,3,4752.0265,20826.7544,0,0,51.84,0,0,0,0,0,0,0
1,565,0,64,-7.4,0,291.5509,709.2058,59,1226.4843,24,3487.6214,445.032,793.6769,727.9901,3560.5171,1008.9347,409.5458,683.1681,1789.8582,1292.5421,762.1957,915.6993,1113.8521,483.2726,530.6742,712.693,675.2878,659.0093,0.3,666.4392,440.6551,0,2795.1302,1910.9327,2,4772.6754,20835.7614,0,0,54.76,0,1,0,0,0,0,0
0,892,0,173,-7.8,0,301.4263,731.2445,55,1238.8622,22,3454.61,460.1583,819.6501,774.9457,3569.0227,996.9741,434.1096,683.3059,1791.7569,1361.1127,789.6308,926.5137,1165.0858,523.1746,536.3459,696.985,674.2249,642.1534,2.1,722.7125,459.447,0,2756.9281,1890.5477,1,4694.4118,20757.2521,0,0,60.84,0,0,0,0,0,0,0
