"y","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m0","m5","m20","m25","m30","m35","m45","m65","m70","f0","f15","f25","f30","f35","f40","f50","f55","f60","sub_passenger"
0,0,3,45,0,0,37,6.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,777.8725,1600.7282,3374.3148,3669.4364,2082.8798,1451.9756,1119.0707,385.5774,799.1847,1007.2311,2171.2288,3639.9819,1920.2308,1317.1841,973.9869,899.8927,864.8622,651.7925,2230
0,0,2.7,45,0,0,35,1.44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,741.337,1846.4531,3887.7327,3893.5444,2206.5296,1526.3762,1098.6465,408.6593,815.0186,830.7737,2424.7573,3886.1084,1925.9611,1307.3212,903.5491,860.2495,836.6289,648.4771,2283
1,0,2.9,40,0,0,34,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,650.3535,2041.3181,4151.5567,4015.2045,2201.5787,1517.6441,1046.2956,423.7561,833.3295,637.631,2460.2036,4022.5551,1985.6483,1222.7737,920.1534,852.6026,788.0574,676.5605,2227
0,0,2,41,0,0,28,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,648.1827,1931.3085,4383.8353,4121.813,2198.7499,1547.3232,1060.9019,427.686,829.5648,546.9288,2455.9861,3991.8154,1914.8314,1315.8114,870.9679,810.5095,775.9222,648.6117,2152
0,0,1.6,46,0,0,27,6.76,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,580.0914,1639.9636,3990.1439,3996.4277,2047.8595,1432.3184,1073.7328,408.2072,788.7672,416.575,1915.152,3893.08,1875.5813,1295.8298,809.7796,785.26,800.1316,691.6397,3853
0,0,2.7,48,0,0,20,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,558.5282,906.2387,3147.1985,3656.7708,1917.7334,1363.413,1028.2462,427.58,778.7249,419.1941,1058.0538,3619.6258,1843.4158,1194.3992,783.3676,799.0475,765.0819,666.741,4295
1,0,2.1,49,0,0,33,14.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,576.0977,642.8577,2838.5561,3555.0641,1884.5123,1342.2597,1039.9894,434.2469,793.1548,392.1807,767.9079,3542.5483,1842.3086,1203.7896,795.783,799.6374,737.9257,683.2331,1183
0,0,2.9,48,0,0,26,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,454.4504,412.8902,2702.1775,3454.4892,1756.178,1322.5,983.0021,409.5073,750.5164,302.5978,635.5786,3512.6591,1853.8448,1167.7962,711.2368,693.2796,641.8205,613.1592,296
0,0,1.6,51,0,1,27,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.1789,429.0108,2739.8139,3483.7838,1746.7593,1301.7749,991.3523,412.3134,760.0452,298.2608,630.3021,3556.0776,1867.0894,1180.2811,689.1734,685.142,640.3266,623.4963,0
0,0,2.1,52,0,0,29,33.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.7634,434.1726,2757.503,3502.4904,1760.4701,1298.267,953.1996,402.6155,768.6048,288.5762,650.0474,3567.5378,1899.451,1171.9583,663.4489,681.5611,647.3592,636.0671,0
0,0,1.7,56,0,5,25,40.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.014,417.6675,2772.7609,3491.2571,1754.8118,1314.0017,957.8903,407.4006,754.1195,285.7222,671.1149,3579.102,1887.8221,1184.0139,662.989,681.0465,640.2234,631.7989,0
0,0,1.6,59,0,2,21,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.9173,438.2313,2780.6139,3487.9432,1754.4657,1299.2547,965.8599,390.0664,759.2225,302.9079,687.2134,3579.6345,1884.7284,1176.7656,675.5828,687.0972,632.5592,633.0392,0
0,0,1.3,61,0,3,30,51.84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.3804,446.1406,2803.1913,3518.3709,1779.2022,1301.6667,970.6791,397.9289,770.3506,307.4638,678.9458,3579.2221,1880.5437,1212.531,685.3887,698.4787,656.7043,631.4011,10
0,0,0.3,59,0,2,24,54.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.032,440.6551,2795.1302,3487.6214,1789.8582,1292.5421,1008.9347,409.5458,793.6769,291.5509,675.2878,3560.5171,1910.9327,1226.4843,683.1681,712.693,666.4392,659.0093,565
0,0,2.1,55,0,1,22,60.84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.1583,459.447,2756.9281,3454.61,1791.7569,1361.1127,996.9741,434.1096,819.6501,301.4263,674.2249,3569.0227,1890.5477,1238.8622,683.3059,696.985,722.7125,642.1534,892
0,0,2,54,0,0,21,59.29,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.1381,430.9352,2652.1441,3324.0483,1801.4965,1453.0328,1149.7792,484.3968,858.7583,352.3485,658.9151,3455.4277,1902.6712,1310.0714,743.9412,772.7932,779.1232,697.5645,2435
3,0,1.6,55,0,1,25,57.76,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.3641,644.902,2519.3405,2847.9055,1648.7732,1426.351,1208.1979,517.2983,869.331,375.8258,743.7441,3084.5751,1705.8362,1263.8432,925.8083,936.5414,843.9229,728.622,4472
2,0,1.7,55,0,1,23,47.61,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.4626,672.8843,2482.0831,2662.0406,1612.2712,1395.7268,1250.4559,549.8313,922.4688,376.2878,686.4385,2871.5283,1671.153,1285.0733,940.7677,915.2747,895.3672,767.7525,2597
1,0,1.2,55,0,2,20,16,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,509.9497,744.7539,2511.324,2688.0373,1640.1081,1439.9264,1312.3121,514.519,859.6573,362.6595,754.2041,2821.1083,1675.3203,1342.5714,1009.0316,943.9601,910.2718,765.2355,1361
0,0,1.5,44,0,0,32,1.96,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,517.4044,878.6157,2534.5863,2626.2692,1662.9091,1466.3247,1295.4737,551.6107,906.669,430.8532,863.6813,2868.6999,1684.9537,1418.3272,1043.2783,946.7855,919.8563,776.9227,1430
3,0,2.1,36,0,2,38,0.81,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,458.3968,857.3689,2710.3982,2693.7614,1720.4887,1510.9998,1293.3652,541.5435,926.741,371.4619,1014.0743,2922.4458,1625.2388,1447.0067,1013.2716,1008.2463,921.7864,798.234,1601
0,0,2.8,43,0,4,35,2.89,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,554.3713,776.4583,2856.6664,2721.8669,1717.156,1460.7442,1311.0648,542.9097,956.0724,477.6398,1117.9918,2941.0495,1699.0385,1398.3945,1056.2872,1044.9356,930.1997,807.4246,1661
2,0,2.4,43,0,6,37,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,451.932,774.643,2913.5869,2828.2211,1716.8676,1520.8883,1334.6582,541.6243,924.2738,405.9336,1331.7675,2947.6832,1718.2784,1423.4154,1152.2567,1042.1027,1000.6554,841.7481,1746
1,0,2.2,48,0,6,33,4.84,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,518.499,862.0225,3048.8963,2861.655,1743.0036,1563.615,1273.3366,503.9378,908.7911,421.9394,1509.9943,3001.5806,1732.9643,1458.7331,1115.5868,987.4939,964.4287,844.4154,2078
0,0,2.4,49,0,7,37,5.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,527.9048,1113.7642,3128.9349,2945.7799,1758.573,1541.2622,1286.7302,509.5979,924.7538,401.7319,1773.7533,3014.8984,1653.7936,1330.0928,1060.8693,1036.4946,913.6478,837.3723,2675
0,0,3,56,0,8,38,2.56,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,478.9472,1462.203,3566.9292,3144.4974,1832.8592,1580.843,1265.1751,528.022,918.6571,470.282,2060.307,3165.3341,1699.6399,1307.0461,1050.205,969.4632,912.9846,794.8837,3455
1,0,1.9,58,0,9,31,1.69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,486.4166,1744.4481,4113.3908,3613.3573,2164.098,1658.274,1371.9742,510.3344,933.1072,458.8049,2215.459,3976.3613,2191.8572,1477.9913,1075.355,969.3633,952.0257,790.7419,4126
2,0,2.6,65,0,9,21,1.69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,477.2858,1583.4592,4065.1125,3726.0957,2131.5452,1653.4535,1213.1551,491.4713,876.745,461.8789,2102.8311,4043.4377,2116.7063,1431.2488,979.0794,904.3468,909.9748,784.2587,2725
1,0,1.8,68,0,9,22,1.44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,497.7466,1381.3895,3789.5552,3683.61,2130.5112,1583.3262,1167.5954,479.5888,848.6156,466.3662,1698.0712,3963.7459,2055.64,1380.969,899.9572,849.9934,842.1525,732.2397,3443
3,0,2.8,74,0,9,29,1.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,531.9859,873.1528,3060.5916,3461.494,1987.1486,1515.8027,1045.0666,450.1245,876.2562,408.4166,1002.9422,3702.9449,1898.2962,1354.3022,788.8963,837.7435,787.7225,753.9444,3962
2,0,1.5,75,0,8,28,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,497.0972,609.4041,2813.8935,3518.1665,1926.8968,1424.2559,1037.7303,441.0624,871.3815,403.045,810.8642,3708.7899,1918.2531,1286.4655,740.4864,792.4223,753.3699,721.0197,1166
0,0,1.3,75,0,9,27,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,414.5938,470.2152,2724.7673,3416.9302,1768.6366,1333.3334,970.2347,424.8363,783.018,343.2253,624.7277,3580.1829,1884.8524,1181.4152,711.5363,717.6586,673.1856,635.2793,319
0,0,1.6,81,0,9,30,0.49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.6739,444.4648,2761.1498,3449.8626,1765.9561,1298.8684,963.4141,418.9969,782.3677,332.3311,605.8332,3637.2328,1887.471,1207.9439,698.8754,711.7672,662.4176,641.0496,1
0,0,1.3,81,0,9,31,0.49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.5134,428.2473,2788.5948,3456.5987,1747.6222,1292.2232,961.2036,414.6474,793.1148,345.1318,582.792,3665.298,1892.3083,1238.0208,727.4408,684.1675,666.8511,638.1279,0
0,0,2.4,77,0,0,30,0.16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.0187,439.4328,2766.1461,3478.9939,1736.8592,1299.4078,972.9738,417.1738,772.5876,340.5756,612.6588,3660.8975,1920.5468,1229.7883,710.2491,703.6787,651.9989,636.5435,0
0,0,2,78,0,0,27,2.56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.7315,445.6092,2801.692,3470.7597,1753.8279,1304.0884,963.7398,408.4671,795.8666,346.8314,605.7831,3645.3716,1906.5811,1233.1164,703.2089,692.8638,655.9734,633.1964,0
0,0,2.5,76,0,0,40,4.84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.1981,433.3701,2779.9815,3507.3218,1744.4878,1310.1349,1006.9669,417.227,775.9919,346.6203,584.2396,3644.9303,1913.1474,1208.7816,708.6911,704.1759,669.6746,630.0459,12
1,0,3.3,74,0,0,30,8.41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.893,436.69,2804.2118,3528.7522,1755.528,1302.2315,1001.119,443.7448,811.6538,346.2872,608.1986,3658.787,1936.3364,1209.1864,729.2817,697.6113,664.3869,652.5745,533
