"y","temp","rain","wind","wet","cloud","sunny","semester","past_return","X2_3","X3_4","X4_5","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m5","m20","m25","m30","m35","m45","m50","m65","m70","f10","f20","f30","f35","f45","f50","f60","f65","bus_passenger","sub_passenger"
3,-0.5,0,2.9,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2041.3181,4151.5567,4015.2045,2201.5787,1517.6441,1046.2956,889.1927,423.7561,833.3295,296.1139,5673.6481,1985.6483,1222.7737,958.3552,852.6026,676.5605,577.2871,406,2227
0,-1.6,0,2,41,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1931.3085,4383.8353,4121.813,2198.7499,1547.3232,1060.9019,871.3076,427.686,829.5648,253.9922,5723.259,1914.8314,1315.8114,902.1259,810.5095,648.6117,559.4414,371,2152
0,-2.6,0,1.6,46,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1639.9636,3990.1439,3996.4277,2047.8595,1432.3184,1073.7328,803.9074,408.2072,788.7672,193.4563,5350.0875,1875.5813,1295.8298,898.2168,785.26,691.6397,551.7985,469,3853
2,-2.9,0,2.7,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,906.2387,3147.1985,3656.7708,1917.7334,1363.413,1028.2462,841.3478,427.58,778.7249,194.6726,4760.5238,1843.4158,1194.3992,847.5671,799.0475,666.741,551.3256,642,4295
0,-3.8,0,2.1,49,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,642.8577,2838.5561,3555.0641,1884.5123,1342.2597,1039.9894,800.7484,434.2469,793.1548,182.1272,4706.2114,1842.3086,1203.7896,827.7268,799.6374,683.2331,564.4722,290,1183
0,-4.4,0,2.9,48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,412.8902,2702.1775,3454.4892,1756.178,1322.5,983.0021,746.819,409.5073,750.5164,140.5256,4753.8475,1853.8448,1167.7962,705.2005,693.2796,613.1592,500.2525,116,296
0,-5.2,0,1.6,51,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.0108,2739.8139,3483.7838,1746.7593,1301.7749,991.3523,731.7209,412.3134,760.0452,138.5116,4745.3337,1867.0894,1180.2811,710.2858,685.142,623.4963,494.7284,54,0
0,-5.8,0,2.1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.1726,2757.503,3502.4904,1760.4701,1298.267,953.1996,748.8319,402.6155,768.6048,134.014,4775.0704,1899.451,1171.9583,723.9464,681.5611,636.0671,496.2779,28,0
0,-6.4,0,1.7,56,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.6675,2772.7609,3491.2571,1754.8118,1314.0017,957.8903,757.3202,407.4006,754.1195,132.6885,4815.8483,1887.8221,1184.0139,722.0812,681.0465,631.7989,502.6214,21,0
0,-7,0,1.6,59,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.2313,2780.6139,3487.9432,1754.4657,1299.2547,965.8599,749.408,390.0664,759.2225,140.6699,4798.7789,1884.7284,1176.7656,724.244,687.0972,633.0392,504.5646,9,0
0,-7.2,0,1.3,61,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.1406,2803.1913,3518.3709,1779.2022,1301.6667,970.6791,742.6971,397.9289,770.3506,142.7852,4752.0265,1880.5437,1212.531,723.0045,698.4787,631.4011,478.4149,35,10
0,-7.4,0,0.3,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.6551,2795.1302,3487.6214,1789.8582,1292.5421,1008.9347,762.1957,409.5458,793.6769,135.3952,4772.6754,1910.9327,1226.4843,709.2058,712.693,659.0093,483.2726,64,565
1,-7.8,0,2.1,55,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.447,2756.9281,3454.61,1791.7569,1361.1127,996.9741,789.6308,434.1096,819.6501,139.9815,4694.4118,1890.5477,1238.8622,731.2445,696.985,642.1534,523.1746,173,892
5,-7.7,0,2,54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.9352,2652.1441,3324.0483,1801.4965,1453.0328,1149.7792,895.0344,484.3968,858.7583,163.6295,4636.7636,1902.6712,1310.0714,802.7161,772.7932,697.5645,534.9,344,2435
7,-7.6,0,1.6,55,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644.902,2519.3405,2847.9055,1648.7732,1426.351,1208.1979,1018.9741,517.2983,869.331,174.5323,4270.768,1705.8362,1263.8432,924.3551,936.5414,728.622,533.7396,712,4472
4,-6.9,0,1.7,55,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672.8843,2482.0831,2662.0406,1612.2712,1395.7268,1250.4559,1103.368,549.8313,922.4688,174.7467,3956.3774,1671.153,1285.0733,1035.5256,915.2747,767.7525,562.8275,484,2597
0,-4,0,1.2,55,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,744.7539,2511.324,2688.0373,1640.1081,1439.9264,1312.3121,1166.6949,514.519,859.6573,168.4183,3960.7385,1675.3203,1342.5714,1173.343,943.9601,765.2355,586.9194,332,1361
3,-1.4,0,1.5,44,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,878.6157,2534.5863,2626.2692,1662.9091,1466.3247,1295.4737,1122.7146,551.6107,906.669,200.087,4061.4116,1684.9537,1418.3272,1104.404,946.7855,776.9227,593.273,306,1430
4,0.9,0,2.1,36,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,857.3689,2710.3982,2693.7614,1720.4887,1510.9998,1293.3652,1154.8022,541.5435,926.741,172.5057,4233.7315,1625.2388,1447.0067,1121.1977,1008.2463,798.234,622.8533,350,1601
1,1.7,0,2.8,43,4,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,776.4583,2856.6664,2721.8669,1717.156,1460.7442,1311.0648,1217.4117,542.9097,956.0724,221.8147,4305.2457,1699.0385,1398.3945,1156.7422,1044.9356,807.4246,629.8864,407,1661
1,2,0,2.4,43,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,774.643,2913.5869,2828.2211,1716.8676,1520.8883,1334.6582,1235.0978,541.6243,924.2738,188.5142,4551.2047,1718.2784,1423.4154,1176.4602,1042.1027,841.7481,617.1358,409,1746
2,2.2,0,2.2,48,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,862.0225,3048.8963,2861.655,1743.0036,1563.615,1273.3366,1182.228,503.9378,908.7911,195.9476,4622.7266,1732.9643,1458.7331,1213.4825,987.4939,844.4154,633.3601,475,2078
4,2.3,0,2.4,49,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1113.7642,3128.9349,2945.7799,1758.573,1541.2622,1286.7302,1200.9963,509.5979,924.7538,186.5631,4704.3098,1653.7936,1330.0928,1165.018,1036.4946,837.3723,575.3131,576,2675
6,1.6,0,3,56,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1462.203,3566.9292,3144.4974,1832.8592,1580.843,1265.1751,1119.0981,528.022,918.6571,218.3977,5077.701,1699.6399,1307.0461,1125.9201,969.4632,794.8837,591.3638,626,3455
12,1.3,0,1.9,58,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1744.4481,4113.3908,3613.3573,2164.098,1658.274,1371.9742,1149.0736,510.3344,933.1072,213.0678,5727.6594,2191.8572,1477.9913,1187.7941,969.3633,790.7419,613.0449,939,4126
4,1.3,0,2.6,65,9,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1583.4592,4065.1125,3726.0957,2131.5452,1653.4535,1213.1551,1018.1303,491.4713,876.745,214.495,5850.444,2116.7063,1431.2488,1112.8779,904.3468,784.2587,628.8605,729,2725
3,1.2,0,1.8,68,9,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1381.3895,3789.5552,3683.61,2130.5112,1583.3262,1167.5954,952.5821,479.5888,848.6156,216.5793,5604.409,2055.64,1380.969,1040.8249,849.9934,732.2397,628.7436,627,3443
2,1.1,0,2.8,74,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,873.1528,3060.5916,3461.494,1987.1486,1515.8027,1045.0666,884.6691,450.1245,876.2562,189.6668,5014.7695,1898.2962,1354.3022,999.9461,837.7435,753.9444,618.7889,723,3962
1,0.9,0,1.5,75,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,609.4041,2813.8935,3518.1665,1926.8968,1424.2559,1037.7303,845.0835,441.0624,871.3815,187.1731,4899.2655,1918.2531,1286.4655,979.5203,792.4223,721.0197,598.7396,362,1166
0,0.6,0,1.3,75,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,470.2152,2724.7673,3416.9302,1768.6366,1333.3334,970.2347,749.8151,424.8363,783.018,159.3929,4984.0756,1884.8524,1181.4152,761.3617,717.6586,635.2793,505.2386,203,319
0,0.7,0,1.6,81,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.4648,2761.1498,3449.8626,1765.9561,1298.8684,963.4141,766.7922,418.9969,782.3677,154.3335,5007.5642,1887.471,1207.9439,775.1001,711.7672,641.0496,512.173,65,1
0,0.7,0,1.3,81,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.2473,2788.5948,3456.5987,1747.6222,1292.2232,961.2036,779.3861,414.6474,793.1148,160.2783,4980.5129,1892.3083,1238.0208,785.4322,684.1675,638.1279,519.4533,17,0
0,-0.4,0,2.4,77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.4328,2766.1461,3478.9939,1736.8592,1299.4078,972.9738,809.4018,417.1738,772.5876,158.1625,4990.509,1920.5468,1229.7883,775.7705,703.6787,636.5435,506.6489,19,0
0,-1.6,0,2,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.6092,2801.692,3470.7597,1753.8279,1304.0884,963.7398,799.5994,408.4671,795.8666,161.0678,5009.4618,1906.5811,1233.1164,781.8964,692.8638,633.1964,506.116,13,0
0,-2.2,0,2.5,76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.3701,2779.9815,3507.3218,1744.4878,1310.1349,1006.9669,795.2073,417.227,775.9919,160.9701,5006.1417,1913.1474,1208.7816,788.2734,704.1759,630.0459,492.5156,37,12
