"y","temp","rain","wet","cloud","temp.sqr","sunny","semester","past_return","X4_5","X5_6","X6_7","X7_8","X8_9","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m10","m25","m35","m45","m55","m65","m70","f20","f30","bus_passenger","sub_passenger"
1,1.2,0,45,0,1.44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.155,3893.5444,1526.3762,1098.6465,859.1337,408.6593,815.0186,5532.0384,1925.9611,464,2283
2,-0.5,0,40,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,300.1627,4015.2045,1517.6441,1046.2956,811.1428,423.7561,833.3295,5673.6481,1985.6483,406,2227
0,-1.6,0,41,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,299.1611,4121.813,1547.3232,1060.9019,823.536,427.686,829.5648,5723.259,1914.8314,371,2152
0,-2.6,0,46,0,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,267.7345,3996.4277,1432.3184,1073.7328,808.785,408.2072,788.7672,5350.0875,1875.5813,469,3853
0,-2.9,0,48,0,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,257.7822,3656.7708,1363.413,1028.2462,811.96,427.58,778.7249,4760.5238,1843.4158,642,4295
0,-3.8,0,49,0,14.44,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,265.8909,3555.0641,1342.2597,1039.9894,763.2258,434.2469,793.1548,4706.2114,1842.3086,290,1183
0,-4.4,0,48,0,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,209.7458,3454.4892,1322.5,983.0021,704.2859,409.5073,750.5164,4753.8475,1853.8448,116,296
0,-5.2,0,51,1,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.0054,3483.7838,1301.7749,991.3523,702.5412,412.3134,760.0452,4745.3337,1867.0894,54,0
0,-5.8,0,52,0,33.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.5059,3502.4904,1298.267,953.1996,699.2396,402.6155,768.6048,4775.0704,1899.451,28,0
1,-6.4,0,56,5,40.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.1603,3491.2571,1314.0017,957.8903,683.5991,407.4006,754.1195,4815.8483,1887.8221,21,0
0,-7,0,59,2,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.423,3487.9432,1299.2547,965.8599,719.0592,390.0664,759.2225,4798.7789,1884.7284,9,0
0,-7.2,0,61,3,51.84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.1749,3518.3709,1301.6667,970.6791,708.5429,397.9289,770.3506,4752.0265,1880.5437,35,10
1,-7.4,0,59,2,54.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.3992,3487.6214,1292.5421,1008.9347,727.9901,409.5458,793.6769,4772.6754,1910.9327,64,565
0,-7.8,0,55,1,60.84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.3803,3454.61,1361.1127,996.9741,774.9457,434.1096,819.6501,4694.4118,1890.5477,173,892
0,-7.7,0,54,0,59.29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.833,3324.0483,1453.0328,1149.7792,844.6391,484.3968,858.7583,4636.7636,1902.6712,344,2435
2,-7.6,0,55,1,57.76,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,201.3988,2847.9055,1426.351,1208.1979,913.6478,517.2983,869.331,4270.768,1705.8362,712,4472
2,-6.9,0,55,1,47.61,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.2132,2662.0406,1395.7268,1250.4559,1001.3734,549.8313,922.4688,3956.3774,1671.153,484,2597
0,-4,0,55,2,16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,235.361,2688.0373,1439.9264,1312.3121,1056.6613,514.519,859.6573,3960.7385,1675.3203,332,1361
0,-1.4,0,44,0,1.96,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,238.8017,2626.2692,1466.3247,1295.4737,1081.0416,551.6107,906.669,4061.4116,1684.9537,306,1430
0,0.9,0,36,2,0.81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,211.5678,2693.7614,1510.9998,1293.3652,1075.5495,541.5435,926.741,4233.7315,1625.2388,350,1601
0,1.7,0,43,4,2.89,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,255.8632,2721.8669,1460.7442,1311.0648,1066.5346,542.9097,956.0724,4305.2457,1699.0385,407,1661
1,2,0,43,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,208.5832,2828.2211,1520.8883,1334.6582,1092.2724,541.6243,924.2738,4551.2047,1718.2784,409,1746
0,2.2,0,48,6,4.84,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,239.3069,2861.655,1563.615,1273.3366,1004.7152,503.9378,908.7911,4622.7266,1732.9643,475,2078
5,2.3,0,49,7,5.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,243.6479,2945.7799,1541.2622,1286.7302,931.7262,509.5979,924.7538,4704.3098,1653.7936,576,2675
1,1.6,0,56,8,2.56,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.0525,3144.4974,1580.843,1265.1751,862.4286,528.022,918.6571,5077.701,1699.6399,626,3455
2,1.3,0,58,9,1.69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,224.4997,3613.3573,1658.274,1371.9742,922.902,510.3344,933.1072,5727.6594,2191.8572,939,4126
1,1.3,0,65,9,1.69,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,220.2854,3726.0957,1653.4535,1213.1551,864.4499,491.4713,876.745,5850.444,2116.7063,729,2725
0,1.2,0,68,9,1.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,229.7288,3683.61,1583.3262,1167.5954,816.706,479.5888,848.6156,5604.409,2055.64,627,3443
0,1.1,0,74,9,1.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,245.5316,3461.494,1515.8027,1045.0666,776.5617,450.1245,876.2562,5014.7695,1898.2962,723,3962
0,0.9,0,75,8,0.81,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,229.4291,3518.1665,1424.2559,1037.7303,744.7992,441.0624,871.3815,4899.2655,1918.2531,362,1166
0,0.6,0,75,9,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,191.3508,3416.9302,1333.3334,970.2347,743.2161,424.8363,783.018,4984.0756,1884.8524,203,319
0,0.7,0,81,9,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.9263,3449.8626,1298.8684,963.4141,709.9803,418.9969,782.3677,5007.5642,1887.471,65,1
0,0.7,0,81,9,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.775,3456.5987,1292.2232,961.2036,705.5771,414.6474,793.1148,4980.5129,1892.3083,17,0
1,-0.4,0,77,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.3926,3478.9939,1299.4078,972.9738,734.9129,417.1738,772.5876,4990.509,1920.5468,19,0
0,-1.6,0,78,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.0297,3470.7597,1304.0884,963.7398,700.7751,408.4671,795.8666,5009.4618,1906.5811,13,0
1,-2.2,0,76,0,4.84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.9374,3507.3218,1310.1349,1006.9669,705.018,417.227,775.9919,5006.1417,1913.1474,37,12
1,-2.9,0,74,0,8.41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.7962,3528.7522,1302.2315,1001.119,727.137,443.7448,811.6538,4987.1576,1936.3364,73,533
0,-3.6,0,73,0,12.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.3039,3460.1136,1358.1896,1011.561,801.5231,455.1808,810.804,4950.9677,1956.8949,165,879
1,-4,0,76,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.6184,3341.18,1409.4014,1171.3598,948.0406,471.0293,819.309,4735.728,1936.5794,409,2390
0,-4.6,0,75,0,21.16,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,198.3755,2885.0788,1439.1881,1247.1875,923.6226,528.4385,862.0225,4435.8508,1764.2484,703,4454
0,-4.3,0,73,0,18.49,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.8168,2692.5035,1484.9312,1271.5629,1016.4731,507.5462,895.6861,4089.8537,1700.6607,563,2763
0,-3.5,0,66,0,12.25,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,260.7562,2649.8149,1626.0089,1334.0195,1080.6244,535.5387,882.974,4018.2643,1726.2785,339,1469
1,-1.9,0,55,0,3.61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,261.072,2658.0089,1552.6038,1308.7639,997.706,506.5349,842.2518,4008.8564,1713.4265,308,1379
2,-0.6,0,45,0,0.36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,199.9426,2720.6444,1497.8116,1313.2655,1018.4863,493.4305,896.2076,4202.652,1695.3672,370,1599
0,-0.5,0,43,0,0.25,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,198.308,2704.3944,1506.2213,1326.4952,1120.3341,518.293,894.3292,4289.9368,1759.9491,467,1782
1,0,0,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,209.6076,2684.0141,1569.0751,1339.2199,1063.6873,491.0259,974.4273,4528.7112,1747.3041,409,1826
0,0.9,0,32,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,224.3073,2816.5996,1632.6032,1305.28,982.3819,552.0688,873.5649,4624.7426,1740.7127,534,2153
0,0.7,0,29,0,0.49,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,240.5296,2808.911,1582.6272,1227.5617,970.1476,562.3241,877.7466,4815.212,1672.2686,543,2758
3,-0.4,0,29,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.9394,3008.4172,1699.7198,1269.0243,951.0715,507.3438,886.4459,5033.8087,1704.994,654,3630
5,-1.7,0,31,0,2.89,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,217.6107,3700.5412,1909.7167,1403.997,1041.3257,478.6264,801.7977,5798.6708,2123.0683,905,4137
0,-2.6,0,35,0,6.76,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,230.4776,3839.9021,1760.4638,1246.116,889.6418,497.7653,840.2927,6041.0025,2169.1348,730,2757
1,-2.5,0,34,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,222.8836,3759.2817,1628.7147,1224.347,829.998,489.8588,790.273,5777.427,2048.6651,652,3519
2,-3.5,0,37,0,12.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,244.7959,3591.9289,1508.3825,1122.9576,784.0163,463.3358,824.7854,4976.072,1966.2933,824,4445
1,-4.4,0,41,0,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,214.2879,3559.623,1373.7068,1056.3934,754.1582,463.4324,825.1418,4907.8057,2054.8981,384,1263
0,-5.1,0,42,0,26.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,198.6558,3445.6412,1260.9501,961.1983,697.7786,410.0242,772.3474,4923.6254,1900.2941,171,304
1,-5.6,0,45,0,31.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.0382,3471.05,1231.2925,961.5483,676.3594,413.5405,781.3908,4946.6068,1906.1708,65,1
0,-6,0,48,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.7217,3447.8615,1212.7513,949.3753,686.2011,414.4396,782.5851,4938.8003,1921.6897,17,0
