"y","past_return","bus_passenger","sub_passenger","temp","m20","m30","m5","wet","m25","m50","f20","f0","m35","m0","f15","m45","m60","f50","f70","m55","m40","f25","f40","f30","f65","f35","cloud","dust","f60","wind","m65","m70","f45","f55","sunny","rain","most_use","semester","X8_9","X21_22","X19_20"
0,1,220,1083,0,2428.9893,1704.4265,637.0834,80,2874.238,776.9283,3902.4411,359.1147,1312.0558,565.0802,704.0107,1014.5956,536.7211,808.333,1304.3411,785.4998,943.8775,2823.5763,803.0257,1610.8288,532.8006,1237.3767,8,52,649.8822,3.3,427.9908,742.5658,816.1618,764.3561,0,0,17893.9325,0,0,0,0
0,0,251,1307,1.4,2553.8709,1808.7333,774.3842,74,3096.9322,842.0146,4098.2867,536.9017,1358.0544,569.5927,848.3786,1052.0858,529.9763,803.6848,1288.6323,805.2971,973.1295,3010.0309,881.6837,1666.6389,541.7407,1245.0799,6,65,646.2579,2.4,428.0588,693.9417,866.4332,743.7875,1,0,18837.6272,0,0,0,0
0,1,343,1489,1.4,2719.6056,1888.7752,808.9133,67,3235.9751,869.0742,4258.0445,818.0814,1387.0997,815.6734,983.88,1044.7225,532.6915,821.4102,1370.8558,808.177,1029.1762,3205.7348,952.7356,1715.4634,533.556,1306.1918,3,59,658.2622,3.6,408.0048,755.5868,935.6483,777.4661,1,0,19716.8901,0,0,0,0
0,3,367,1618,2.4,2882.892,1954.7321,1002.3004,55,3349.7157,883.5678,4481.4933,878.6592,1497.7037,817.1264,1331.7228,1137.1555,521.6277,846.7926,1245.7425,804.7556,1062.4139,3361.0543,992.1802,1794.8592,603.1208,1320.17,1,62,654.9396,3.5,408.1565,756.9006,968.025,833.2126,1,0,20642.6203,0,0,0,0
6,0,388,2054,2.5,3120.7859,2063.8073,1297.0896,46,3486.664,853.4059,4712.0271,939.6766,1445.9994,864.6418,1688.3151,1091.4846,519.9179,846.7644,1216.4534,807.2075,1109.1937,3529.1173,994.0372,1830.8999,596.9327,1303.2258,0,46,629.5059,3.3,428.9827,773.9112,954.9945,823.7659,1,0,21492.5267,0,0,0,0
1,3,465,2230,2.5,3374.3148,2082.8798,1600.7282,45,3669.4364,863.2513,5063.1589,1007.2311,1451.9756,777.8725,2171.2288,1119.0707,554.4749,899.8927,1290.0584,853.5617,1039.4907,3639.9819,973.9869,1920.2308,562.35,1317.1841,0,37,651.7925,3,385.5774,799.1847,956.3247,864.8622,1,0,22519.1623,0,0,0,0
1,5,464,2283,1.2,3887.7327,2206.5296,1846.4531,45,3893.5444,863.1784,5532.0384,830.7737,1526.3762,741.337,2424.7573,1098.6465,585.6299,860.2495,1274.2889,859.1337,1053.9673,3886.1084,903.5491,1925.9611,538.1844,1307.3212,0,35,648.4771,2.7,408.6593,815.0186,984.5096,836.6289,1,0,24165.612,0,0,0,0
2,1,406,2227,-0.5,4151.5567,2201.5787,2041.3181,40,4015.2045,889.1927,5673.6481,637.631,1517.6441,650.3535,2460.2036,1046.2956,574.8783,852.6026,1177.0982,811.1428,1041.9536,4022.5551,920.1534,1985.6483,577.2871,1222.7737,0,34,676.5605,2.9,423.7561,833.3295,958.3552,788.0574,0,0,24790.6092,0,0,0,0
3,3,371,2152,-1.6,4383.8353,2198.7499,1931.3085,41,4121.813,871.3076,5723.259,546.9288,1547.3232,648.1827,2455.9861,1060.9019,552.3845,810.5095,1223.7716,823.536,1012.3337,3991.8154,870.9679,1914.8314,559.4414,1315.8114,0,28,648.6117,2,427.686,829.5648,902.1259,775.9222,0,0,25197.4386,0,0,0,1
1,2,469,3853,-2.6,3990.1439,2047.8595,1639.9636,46,3996.4277,803.9074,5350.0875,416.575,1432.3184,580.0914,1915.152,1073.7328,540.6714,785.26,1219.6571,808.785,964.321,3893.08,809.7796,1875.5813,551.7985,1295.8298,0,27,691.6397,1.6,408.2072,788.7672,898.2168,800.1316,0,0,23881.3281,0,0,0,0
4,0,642,4295,-2.9,3147.1985,1917.7334,906.2387,48,3656.7708,841.3478,4760.5238,419.1941,1363.413,558.5282,1058.0538,1028.2462,547.0492,799.0475,1175.6434,811.96,942.9685,3619.6258,783.3676,1843.4158,551.3256,1194.3992,0,20,666.741,2.7,427.58,778.7249,847.5671,765.0819,0,0,21503.0803,0,0,1,0
0,0,290,1183,-3.8,2838.5561,1884.5123,642.8577,49,3555.0641,800.7484,4706.2114,392.1807,1342.2597,576.0977,767.9079,1039.9894,558.7961,799.6374,1165.0347,763.2258,895.4819,3542.5483,795.783,1842.3086,564.4722,1203.7896,0,33,683.2331,2.1,434.2469,793.1548,827.7268,737.9257,0,0,20915.2501,0,0,0,0
0,0,116,296,-4.4,2702.1775,1756.178,412.8902,48,3454.4892,746.819,4753.8475,302.5978,1322.5,454.4504,635.5786,983.0021,527.5285,693.2796,1144.6911,704.2859,892.449,3512.6591,711.2368,1853.8448,500.2525,1167.7962,0,26,613.1592,2.9,409.5073,750.5164,705.2005,641.8205,0,0,20523.4923,0,0,0,0
1,0,54,0,-5.2,2739.8139,1746.7593,429.0108,51,3483.7838,731.7209,4745.3337,298.2608,1301.7749,470.1789,630.3021,991.3523,527.1577,685.142,1090.2994,702.5412,898.57,3556.0776,689.1734,1867.0894,494.7284,1180.2811,1,27,623.4963,1.6,412.3134,760.0452,710.2858,640.3266,0,0,20620.9137,0,0,0,0
3,1,28,0,-5.8,2757.503,1760.4701,434.1726,52,3502.4904,748.8319,4775.0704,288.5762,1298.267,451.7634,650.0474,953.1996,519.202,681.5611,1091.5168,699.2396,884.6295,3567.5378,663.4489,1899.451,496.2779,1171.9583,0,29,636.0671,2.1,402.6155,768.6048,723.9464,647.3592,0,0,20732.748,0,0,0,0
0,1,21,0,-6.4,2772.7609,1754.8118,417.6675,56,3491.2571,757.3202,4815.8483,285.7222,1314.0017,464.014,671.1149,957.8903,507.8375,681.0465,1121.5832,683.5991,901.255,3579.102,662.989,1887.8221,502.6214,1184.0139,5,25,631.7989,1.7,407.4006,754.1195,722.0812,640.2234,0,0,20799.6178,0,0,0,0
0,1,9,0,-7,2780.6139,1754.4657,438.2313,59,3487.9432,749.408,4798.7789,302.9079,1299.2547,494.9173,687.2134,965.8599,493.8672,687.0972,1092.3598,719.0592,904.8807,3579.6345,675.5828,1884.7284,504.5646,1176.7656,2,21,633.0392,1.6,390.0664,759.2225,724.244,632.5592,0,0,20762.1849,0,0,0,0
0,0,35,10,-7.2,2803.1913,1779.2022,446.1406,61,3518.3709,742.6971,4752.0265,307.4638,1301.6667,507.3804,678.9458,970.6791,502.8778,698.4787,1133.1607,708.5429,894.8631,3579.2221,685.3887,1880.5437,478.4149,1212.531,3,30,631.4011,1.3,397.9289,770.3506,723.0045,656.7043,0,0,20826.7544,0,0,0,0
0,0,64,565,-7.4,2795.1302,1789.8582,440.6551,59,3487.6214,762.1957,4772.6754,291.5509,1292.5421,445.032,675.2878,1008.9347,530.6742,712.693,1113.8521,727.9901,915.6993,3560.5171,683.1681,1910.9327,483.2726,1226.4843,2,24,659.0093,0.3,409.5458,793.6769,709.2058,666.4392,0,0,20835.7614,0,0,0,0
0,0,173,892,-7.8,2756.9281,1791.7569,459.447,55,3454.61,789.6308,4694.4118,301.4263,1361.1127,460.1583,674.2249,996.9741,536.3459,696.985,1165.0858,774.9457,926.5137,3569.0227,683.3059,1890.5477,523.1746,1238.8622,1,22,642.1534,2.1,434.1096,819.6501,731.2445,722.7125,0,0,20757.2521,0,0,0,0
1,1,344,2435,-7.7,2652.1441,1801.4965,430.9352,54,3324.0483,895.0344,4636.7636,352.3485,1453.0328,487.1381,658.9151,1149.7792,598.5327,772.7932,1267.5847,844.6391,1025.6266,3455.4277,743.9412,1902.6712,534.9,1310.0714,0,21,697.5645,2,484.3968,858.7583,802.7161,779.1232,0,0,20535.6556,0,0,0,0
5,2,712,4472,-7.6,2519.3405,1648.7732,644.902,55,2847.9055,1018.9741,4270.768,375.8258,1426.351,436.3641,743.7441,1208.1979,643.2286,936.5414,1304.7471,913.6478,1119.5196,3084.5751,925.8083,1705.8362,533.7396,1263.8432,1,25,728.622,1.6,517.2983,869.331,924.3551,843.9229,0,0,18767.3927,0,1,0,0
1,4,484,2597,-6.9,2482.0831,1612.2712,672.8843,55,2662.0406,1103.368,3956.3774,376.2878,1395.7268,468.4626,686.4385,1250.4559,736.8433,915.2747,1391.9837,1001.3734,1181.4821,2871.5283,940.7677,1671.153,562.8275,1285.0733,1,23,767.7525,1.7,549.8313,922.4688,1035.5256,895.3672,0,0,17936.2537,0,0,0,0
2,0,332,1361,-4,2511.324,1640.1081,744.7539,55,2688.0373,1166.6949,3960.7385,362.6595,1439.9264,509.9497,754.2041,1312.3121,746.2477,943.9601,1392.7046,1056.6613,1159.787,2821.1083,1009.0316,1675.3203,586.9194,1342.5714,2,20,765.2355,1.2,514.519,859.6573,1173.343,910.2718,0,0,18079.1343,0,0,0,0
2,2,306,1430,-1.4,2534.5863,1662.9091,878.6157,44,2626.2692,1122.7146,4061.4116,430.8532,1466.3247,517.4044,863.6813,1295.4737,717.0376,946.7855,1475.7007,1081.0416,1156.4928,2868.6999,1043.2783,1684.9537,593.273,1418.3272,0,32,776.9227,1.5,551.6107,906.669,1104.404,919.8563,0,0,18323.4817,0,0,0,0
0,1,350,1601,0.9,2710.3982,1720.4887,857.3689,36,2693.7614,1154.8022,4233.7315,371.4619,1510.9998,458.3968,1014.0743,1293.3652,739.0346,1008.2463,1309.883,1075.5495,1224.5282,2922.4458,1013.2716,1625.2388,622.8533,1447.0067,2,38,798.234,2.1,541.5435,926.741,1121.1977,921.7864,0,0,18864.0709,0,0,0,0
1,1,407,1661,1.7,2856.6664,1717.156,776.4583,43,2721.8669,1217.4117,4305.2457,477.6398,1460.7442,554.3713,1117.9918,1311.0648,759.8518,1044.9356,1360.3603,1066.5346,1210.1774,2941.0495,1056.2872,1699.0385,629.8864,1398.3945,4,35,807.4246,2.8,542.9097,956.0724,1156.7422,930.1997,1,0,19100.1617,0,0,0,0
3,3,409,1746,2,2913.5869,1716.8676,774.643,43,2828.2211,1235.0978,4551.2047,405.9336,1520.8883,451.932,1331.7675,1334.6582,737.439,1042.1027,1314.2719,1092.2724,1277.6667,2947.6832,1152.2567,1718.2784,617.1358,1423.4154,6,37,841.7481,2.4,541.6243,924.2738,1176.4602,1000.6554,1,0,19620.1456,0,0,0,0
1,4,475,2078,2.2,3048.8963,1743.0036,862.0225,48,2861.655,1182.228,4622.7266,421.9394,1563.615,518.499,1509.9943,1273.3366,739.1344,987.4939,1320.5806,1004.7152,1279.4113,3001.5806,1115.5868,1732.9643,633.3601,1458.7331,6,33,844.4154,2.2,503.9378,908.7911,1213.4825,964.4287,1,0,20033.1745,0,0,0,0
3,2,576,2675,2.3,3128.9349,1758.573,1113.7642,49,2945.7799,1200.9963,4704.3098,401.7319,1541.2622,527.9048,1773.7533,1286.7302,703.575,1036.4946,1322.5985,931.7262,1264.2411,3014.8984,1060.8693,1653.7936,575.3131,1330.0928,7,37,837.3723,2.4,509.5979,924.7538,1165.018,913.6478,1,0,20077.6446,0,0,0,0
4,7,626,3455,1.6,3566.9292,1832.8592,1462.203,56,3144.4974,1119.0981,5077.701,470.282,1580.843,478.9472,2060.307,1265.1751,662.4177,969.4632,1304.803,862.4286,1260.9816,3165.3341,1050.205,1699.6399,591.3638,1307.0461,8,38,794.8837,3,528.022,918.6571,1125.9201,912.9846,1,0,21374.8499,0,0,0,0
6,7,939,4126,1.3,4113.3908,2164.098,1744.4481,58,3613.3573,1149.0736,5727.6594,458.8049,1658.274,486.4166,2215.459,1371.9742,717.9191,969.3633,1259.3332,922.902,1358.0766,3976.3613,1075.355,2191.8572,613.0449,1477.9913,9,31,790.7419,1.9,510.3344,933.1072,1187.7941,952.0257,1,0,24922.9893,0,0,0,0
5,5,729,2725,1.3,4065.1125,2131.5452,1583.4592,65,3726.0957,1018.1303,5850.444,461.8789,1653.4535,477.2858,2102.8311,1213.1551,650.9527,904.3468,1230.6667,864.4499,1230.2638,4043.4377,979.0794,2116.7063,628.8605,1431.2488,9,21,784.2587,2.6,491.4713,876.745,1112.8779,909.9748,1,0,25018.0437,0,0,0,1
1,2,627,3443,1.2,3789.5552,2130.5112,1381.3895,68,3683.61,952.5821,5604.409,466.3662,1583.3262,497.7466,1698.0712,1167.5954,590.3687,849.9934,1215.3251,816.706,1089.3896,3963.7459,899.9572,2055.64,628.7436,1380.969,9,22,732.2397,1.8,479.5888,848.6156,1040.8249,842.1525,1,0,24191.7665,0,0,0,0
7,1,723,3962,1.1,3060.5916,1987.1486,873.1528,74,3461.494,884.6691,5014.7695,408.4166,1515.8027,531.9859,1002.9422,1045.0666,607.2116,837.7435,1199.8616,776.5617,994.5742,3702.9449,788.8963,1898.2962,618.7889,1354.3022,9,29,753.9444,2.8,450.1245,876.2562,999.9461,787.7225,1,0,21995.3497,0,0,1,0
2,0,362,1166,0.9,2813.8935,1926.8968,609.4041,75,3518.1665,845.0835,4899.2655,403.045,1424.2559,497.0972,810.8642,1037.7303,579.0217,792.4223,1186.8485,744.7992,896.9688,3708.7899,740.4864,1918.2531,598.7396,1286.4655,8,28,721.0197,1.5,441.0624,871.3815,979.5203,753.3699,0,0,21495.9867,0,0,0,0
1,2,203,319,0.6,2724.7673,1768.6366,470.2152,75,3416.9302,749.8151,4984.0756,343.2253,1333.3334,414.5938,624.7277,970.2347,537.363,717.6586,1145.3585,743.2161,895.762,3580.1829,711.5363,1884.8524,505.2386,1181.4152,9,27,635.2793,1.3,424.8363,783.018,761.3617,673.1856,0,0,20874.1936,0,0,0,0
1,1,65,1,0.7,2761.1498,1765.9561,444.4648,81,3449.8626,766.7922,5007.5642,332.3311,1298.8684,426.6739,605.8332,963.4141,524.4742,711.7672,1212.3185,709.9803,884.8557,3637.2328,698.8754,1887.471,512.173,1207.9439,9,30,641.0496,1.6,418.9969,782.3677,775.1001,662.4176,0,0,21016.0488,0,0,0,0
0,1,17,0,0.7,2788.5948,1747.6222,428.2473,81,3456.5987,779.3861,4980.5129,345.1318,1292.2232,441.5134,582.792,961.2036,523.2548,684.1675,1187.8481,705.5771,872.2138,3665.298,727.4408,1892.3083,519.4533,1238.0208,9,31,638.1279,1.3,414.6474,793.1148,785.4322,666.8511,0,0,21061.1789,0,0,0,0
3,1,19,0,-0.4,2766.1461,1736.8592,439.4328,77,3478.9939,809.4018,4990.509,340.5756,1299.4078,458.0187,612.6588,972.9738,521.8646,703.6787,1209.5271,734.9129,890.5016,3660.8975,710.2491,1920.5468,506.6489,1229.7883,0,30,636.5435,2.4,417.1738,772.5876,775.7705,651.9989,0,0,21083.1486,0,0,0,0
