"y","station_dist","station_type","rain","wet","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X19_20","X20_21","X21_22","X22_23","X23_24","m10","m5","m20","m25","m50","m60","m70","f0","f10","f25","f30","f50","bus_passenger","sub_passenger"
4,116,1,0,43,10,29.5,53.29,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,280.9485,1664.6833,4064.8786,2978.8456,1123.3812,698.7774,1036.1432,329.003,152.788,3111.3839,1715.3211,998.8147,413,1864
4,128,0,0,62,0,26,114.49,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.6869,1058.6465,3670.4786,3411.7777,969.1005,658.8201,827.4383,390.8748,181.5212,3789.1526,1976.622,937.814,525,2847
0,113,0,0,50,9,22,40.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,239.4861,1418.5215,5591.9306,4855.6184,1006.2756,654.7866,831.1492,444.8539,206.589,5049.2238,2402.1173,864.591,790,4175
7,116,1,0,58,5,43,979.69,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,314.612,1272.9788,4449.1475,4146.4496,935.7545,551.7836,892.5222,607.1548,281.9606,4411.6425,1964.2989,808.5091,538,2616
1,554,0,0,81,6,11,835.21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,213.4968,662.0722,3015.6185,3117.6516,796.7302,536.0724,754.0145,585.2177,271.7734,3093.4453,1744.9755,825.4667,266,1239
0,116,1,2.3,99,10,7,331.24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,269.5054,1128.9789,4069.1209,2900.6113,1138.3341,683.7198,948.4237,342.0876,158.8644,3101.1401,1676.1578,1125.3679,588,2891
5,17,1,0,50,10,53,222.01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,233.0369,1622.9065,4545.8822,2969.8952,1189.644,723.2091,950.0209,371.3039,172.4326,3052.9182,1772.9982,1075.5271,460,1978
14,37,0,0,84,8,21,320.41,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.3417,1255.6128,3812.3499,3099.1834,1065.9485,662.7755,988.09,371.1851,172.3775,3468.6875,1868.2146,920.2205,776,4490
0,116,1,0,96,10,19,561.69,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.1804,636.1171,3475.1488,3695.2728,814.5272,536.0623,773.6314,319.788,148.5084,3950.3858,1981.1039,783.6204,40,0
7,116,1,0,86,7,40,316.84,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.4185,1143.3906,4637.2733,4239.3344,869.6845,536.8338,818.3379,401.0805,186.2603,3811.1243,1792.4657,778.8159,118,0
1,51,0,0,58,6,20,75.69,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.0794,772.8041,3550.6754,3621.0753,762.6935,505.335,847.5774,322.2181,149.6371,3559.0618,1717.5665,759.5057,23,0
0,546,0,0,54,2,50,600.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,314.5992,1270.3625,3841.1779,3645.1626,892.9268,597.0459,746.7481,958.8757,445.2991,3710.1321,1952.8128,879.1716,448,2163
9,37,0,0,81,0,28,767.29,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,211.9176,997.5676,4885.9982,4879.5201,877.9071,579.9079,757.544,413.4293,191.9957,4570.0219,2045.1416,764.5501,593,2887
6,116,1,0,89,10,19.5,723.61,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.4411,550.2865,3032.99,2908.3735,977.5598,629.2682,840.454,499.64,232.0314,3237.9157,1634.7112,860.1241,839,4303
4,37,0,0,73,0,41,18.49,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,219.8168,802.3288,2525.5709,2692.5035,1049.6416,735.4294,895.6861,436.1389,202.5419,2878.7932,1700.6607,933.4412,563,2763
0,113,0,0,41,0,45,10.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,239.7567,1134.7127,3329.2052,2913.3577,1091.1365,691.895,929.2331,513.2566,238.355,3200.3921,1712.9585,1097.9767,514,2645
