"y","past_return","m20","m25","f15","temp","bus_passenger","f45","X17_18","sub_passenger","f50","m30","f20","wet","m50","m5","f55","m55","f70","f0","most_use","f30","X14_15","f40","f25","m0","m35","X16_17","m65","m40","m60","m45","f35","f60","m70","f65","dust","sunny","wind","cloud","X9_10","X12_13","semester","rain","X18_19","X11_12"
0,0,2428.9893,2874.238,704.0107,0,220,816.1618,0,1083,808.333,1704.4265,3902.4411,80,776.9283,637.0834,764.3561,785.4998,1304.3411,359.1147,17893.9325,1610.8288,0,803.0257,2823.5763,565.0802,1312.0558,0,427.9908,943.8775,536.7211,1014.5956,1237.3767,649.8822,742.5658,532.8006,52,0,3.3,8,0,0,0,0,0,1
0,0,2553.8709,3096.9322,848.3786,1.4,251,866.4332,0,1307,803.6848,1808.7333,4098.2867,74,842.0146,774.3842,743.7875,805.2971,1288.6323,536.9017,18837.6272,1666.6389,0,881.6837,3010.0309,569.5927,1358.0544,0,428.0588,973.1295,529.9763,1052.0858,1245.0799,646.2579,693.9417,541.7407,65,1,2.4,6,0,1,0,0,0,0
1,0,2719.6056,3235.9751,983.88,1.4,343,935.6483,0,1489,821.4102,1888.7752,4258.0445,67,869.0742,808.9133,777.4661,808.177,1370.8558,818.0814,19716.8901,1715.4634,0,952.7356,3205.7348,815.6734,1387.0997,0,408.0048,1029.1762,532.6915,1044.7225,1306.1918,658.2622,755.5868,533.556,59,1,3.6,3,0,0,0,0,0,0
0,0,2882.892,3349.7157,1331.7228,2.4,367,968.025,0,1618,846.7926,1954.7321,4481.4933,55,883.5678,1002.3004,833.2126,804.7556,1245.7425,878.6592,20642.6203,1794.8592,1,992.1802,3361.0543,817.1264,1497.7037,0,408.1565,1062.4139,521.6277,1137.1555,1320.17,654.9396,756.9006,603.1208,62,1,3.5,1,0,0,0,0,0,0
1,1,3120.7859,3486.664,1688.3151,2.5,388,954.9945,0,2054,846.7644,2063.8073,4712.0271,46,853.4059,1297.0896,823.7659,807.2075,1216.4534,939.6766,21492.5267,1830.8999,0,994.0372,3529.1173,864.6418,1445.9994,0,428.9827,1109.1937,519.9179,1091.4846,1303.2258,629.5059,773.9112,596.9327,46,1,3.3,0,0,0,0,0,0,0
0,1,3374.3148,3669.4364,2171.2288,2.5,465,956.3247,0,2230,899.8927,2082.8798,5063.1589,45,863.2513,1600.7282,864.8622,853.5617,1290.0584,1007.2311,22519.1623,1920.2308,0,973.9869,3639.9819,777.8725,1451.9756,1,385.5774,1039.4907,554.4749,1119.0707,1317.1841,651.7925,799.1847,562.35,37,1,3,0,0,0,0,0,0,0
0,1,3887.7327,3893.5444,2424.7573,1.2,464,984.5096,1,2283,860.2495,2206.5296,5532.0384,45,863.1784,1846.4531,836.6289,859.1337,1274.2889,830.7737,24165.612,1925.9611,0,903.5491,3886.1084,741.337,1526.3762,0,408.6593,1053.9673,585.6299,1098.6465,1307.3212,648.4771,815.0186,538.1844,35,1,2.7,0,0,0,0,0,0,0
1,0,4151.5567,4015.2045,2460.2036,-0.5,406,958.3552,0,2227,852.6026,2201.5787,5673.6481,40,889.1927,2041.3181,788.0574,811.1428,1177.0982,637.631,24790.6092,1985.6483,0,920.1534,4022.5551,650.3535,1517.6441,0,423.7561,1041.9536,574.8783,1046.2956,1222.7737,676.5605,833.3295,577.2871,34,0,2.9,0,0,0,0,0,1,0
0,0,4383.8353,4121.813,2455.9861,-1.6,371,902.1259,0,2152,810.5095,2198.7499,5723.259,41,871.3076,1931.3085,775.9222,823.536,1223.7716,546.9288,25197.4386,1914.8314,0,870.9679,3991.8154,648.1827,1547.3232,0,427.686,1012.3337,552.3845,1060.9019,1315.8114,648.6117,829.5648,559.4414,28,0,2,0,0,0,0,0,0,0
0,2,3990.1439,3996.4277,1915.152,-2.6,469,898.2168,0,3853,785.26,2047.8595,5350.0875,46,803.9074,1639.9636,800.1316,808.785,1219.6571,416.575,23881.3281,1875.5813,0,809.7796,3893.08,580.0914,1432.3184,0,408.2072,964.321,540.6714,1073.7328,1295.8298,691.6397,788.7672,551.7985,27,0,1.6,0,0,0,0,0,0,0
0,0,3147.1985,3656.7708,1058.0538,-2.9,642,847.5671,0,4295,799.0475,1917.7334,4760.5238,48,841.3478,906.2387,765.0819,811.96,1175.6434,419.1941,21503.0803,1843.4158,0,783.3676,3619.6258,558.5282,1363.413,0,427.58,942.9685,547.0492,1028.2462,1194.3992,666.741,778.7249,551.3256,20,0,2.7,0,0,0,0,0,0,0
