"y","past_return","bus_passenger","station_dist","temp","m5","m0","sub_passenger","wind","wet","X8_9","dust","f25","m40","m20","m30","f0","f15","m70","m65","m25","X14_15","cloud","m55","m35","m60","f70","f40","f65","m50","f60","f30","m45","f35","f45","f55","f20","X18_19","station_type","f50","rain","m10","most_use","f10","X9_10","semester","X16_17","X19_20","sunny","X22_23","X7_8"
3,1,227,52,21.2,1592.9903,1403.1005,699,3.2,54,0,18,1215.2158,1428.4907,1060.3323,856.3022,1681.4664,1612.318,1451.9399,620.8316,998.7839,0,0,1139.2676,1312.6282,938.9753,1646.2792,1867.5191,742.2876,1479.074,968.1737,1034.1317,1714.6364,1611.956,2022.6165,1325.8769,1186.6304,0,0,1487.701,0,1186.1431,9275.9805,1408.4873,0,0,0,0,1,0,0
0,0,5,82,1.9,1814.6316,1707.8468,0,1.2,78,0,127,983.9948,1642.8621,999.9481,744.1083,2033.4499,1658.3606,1149.3883,664.1106,878.6969,0,9,1286.6589,1199.7012,867.6431,1571.2129,1982.4486,699.1049,1629.3742,885.5804,916.0238,1897.5364,1690.7377,2263.015,1373.4105,1216.2027,0,0,1576.7767,0,1443.7674,8629.4135,1703.3277,0,0,0,0,0,0,0
1,0,168,41,7.1,1394.5964,2052.3193,478,2.9,62,0,64,879.1803,1112.4523,894.1696,715.6698,2488.3907,1358.047,1304.9994,574.0787,829.8676,0,10,974.9143,899.4065,802.3553,1649.0879,1682.2942,792.9325,1045.688,1047.441,805.2947,1352.6367,1391.2894,1817.9395,1384.597,1009.3527,0,0,1437.6954,0,1734.9752,7424.2306,2084.4109,0,1,0,0,0,0,0
0,0,10,246,13,1761.3493,1568.454,0,1.1,77,0,8,988.9626,1462.3611,986.7804,767.4645,1893.8785,1763.5812,1278.5324,656.4476,862.4173,0,1,1255.1928,1033.8012,812.9267,1472.286,1922.5832,728.8305,1615.8559,876.4021,878.8172,1989.8982,1449.7283,2264.6045,1349.1795,1172.4646,0,0,1601.0052,0,1325.9292,8140.4361,1586.4149,0,1,0,0,0,0,0
1,2,236,118,24.1,1074.3963,959.4069,2051,1.3,83,0,54,1234.6178,1145.6462,1018.0751,1052.5982,1221.9941,1173.4358,972.4396,558.8657,1046.1895,0,9,1187.1001,1198.7514,842.6283,1557.783,1250.236,672.4814,1295.9502,1094.5459,1133.1629,1180.7889,1203.025,1532.5756,1209.4117,1140.5818,0,0,1189.5247,0,521.8141,9027.0017,638.7211,1,0,0,0,0,0,0
0,1,31,128,10,877.0134,466.3468,0,2.5,70,0,67,3853.5194,912.314,3501.948,1833.1262,363.6002,1158.0034,826.5285,397.5921,3554.6816,0,10,726.8026,1321.6232,532.0226,1281.2504,848.6372,566.6804,749.1655,573.9358,1951.1945,977.9371,1317.9148,767.0203,676.0375,5883.0641,0,0,735.4271,0,215.2366,23217.0718,168.855,0,1,0,0,0,0,0
19,12,769,118,22.8,647.5553,464.978,0,2.6,42,0,27,1305.0189,747.4494,1551.7902,1078.3176,373.2568,665.971,588.7249,329.1676,1377.5245,0,1,712.6978,965.5905,525.6306,1072.0762,658.4792,368.0495,701.2398,500.6527,943.554,822.6839,904.7605,651.6511,609.3018,1880.1293,1,0,686.0183,0,194.6075,10006.6855,182.8757,0,1,0,0,1,0,0
2,0,635,71,-4.5,512.8895,1053.183,0,2.7,56,1,33,810.1375,730.5757,741.9284,623.4403,940.5269,535.4705,805.6509,478.7614,751.1591,0,1,640.2779,831.5827,479.2578,1326.0997,854.7061,612.2034,656.5914,745.811,822.3352,772.3007,1010.0635,862.6916,1017.9125,799.4191,0,0,756.2559,0,543.6511,6390.0658,499.9265,0,0,0,0,0,0,0
5,7,240,76,-0.7,682.8951,505.8394,265,5.5,71,0,75,1862.306,1175.6464,1422.1754,1185.0295,463.9096,597.9883,955.0512,610.7097,1421.0568,0,8,1145.594,1376.6318,924.3052,1572.2286,1011.4782,611.502,1161.2433,902.3891,1460.2185,1122.8517,1312.7411,1012.5299,1106.4617,2144.0153,0,1,923.8678,0,212.2538,12184.1744,226.8618,0,1,0,0,0,0,0
1,5,125,88,19.9,859.5931,709.1728,0,2.3,84,0,8.5,909.3383,801.4474,597.3466,772.5061,911.9208,1022.698,1329.2148,615.7272,852.3674,0,9,1080.7974,933.4726,863.1009,2143.2877,893.0767,871.1761,870.367,1098.4574,899.3257,865.8966,1041.231,1039.2676,1290.7423,711.6989,0,0,1110.5254,0,346.2622,6717.2866,422.8787,0,1,0,0,0,0,0
