"y","past_return","bus_passenger","sub_passenger","temp","wet","m35","f45","m30","m0","wind","sunny","m5","m40","f70","f40","f30","m20","m25","f0","dust","m45","f65","m70","m50","f55","f60","m65","f35","m60","m55","most_use","f50","f15","f20","f25","cloud","rain","X8_9","semester","X18_19","X17_18","temp.sqr"
0,0,171,789,-2.2,83,1186.7689,738.8499,1677.396,449.7321,2,0,566.1793,872.3767,1176.5494,683.126,1686.3704,2445.8786,2979.8742,317.0563,54,891.3126,537.8985,734.9286,687.7629,641.7601,650.1473,445.4824,1089.1511,530.9345,772.8655,17995.9003,691.9868,582.732,4060.9573,2869.5038,8,0,1,0,0,0,4.84
0,0,188,1035,-1.9,82,1219.8663,762.4441,1660.2613,457.7015,1.4,0,518.2788,834.134,1159.131,719.6571,1644.2672,2399.9479,2847.3887,373.4072,38,880.3636,534.122,686.8144,685.5117,678.2829,630.4952,456.9606,1116.403,516.6764,776.3128,17594.8778,730.6254,589.3282,3916.1752,2790.5682,8,0.3,0,0,0,0,3.61
0,0,186,980,-0.8,81,1245.1284,785.2918,1654.5955,493.107,0.7,0,575.6963,853.3559,1192.8083,752.7486,1647.9914,2348.6809,2849.6423,387.6929,46,971.919,529.7216,732.5448,739.2145,708.6192,686.5591,469.9947,1119.7084,530.3676,794.1095,17551.9194,793.803,632.6776,3896.1996,2789.9729,7,0,0,0,0,0,0.64
0,0,220,1083,0,80,1312.0558,816.1618,1704.4265,565.0802,3.3,0,637.0834,943.8775,1304.3411,803.0257,1610.8288,2428.9893,2874.238,359.1147,52,1014.5956,532.8006,742.5658,776.9283,764.3561,649.8822,427.9908,1237.3767,536.7211,785.4998,17893.9325,808.333,704.0107,3902.4411,2823.5763,8,0,0,0,0,0,0
1,0,251,1307,1.4,74,1358.0544,866.4332,1808.7333,569.5927,2.4,1,774.3842,973.1295,1288.6323,881.6837,1666.6389,2553.8709,3096.9322,536.9017,65,1052.0858,541.7407,693.9417,842.0146,743.7875,646.2579,428.0588,1245.0799,529.9763,805.2971,18837.6272,803.6848,848.3786,4098.2867,3010.0309,6,0,0,0,0,0,1.96
1,3,343,1489,1.4,67,1387.0997,935.6483,1888.7752,815.6734,3.6,1,808.9133,1029.1762,1370.8558,952.7356,1715.4634,2719.6056,3235.9751,818.0814,59,1044.7225,533.556,755.5868,869.0742,777.4661,658.2622,408.0048,1306.1918,532.6915,808.177,19716.8901,821.4102,983.88,4258.0445,3205.7348,3,0,0,0,0,0,1.96
2,2,367,1618,2.4,55,1497.7037,968.025,1954.7321,817.1264,3.5,1,1002.3004,1062.4139,1245.7425,992.1802,1794.8592,2882.892,3349.7157,878.6592,62,1137.1555,603.1208,756.9006,883.5678,833.2126,654.9396,408.1565,1320.17,521.6277,804.7556,20642.6203,846.7926,1331.7228,4481.4933,3361.0543,1,0,0,0,0,0,5.76
2,4,388,2054,2.5,46,1445.9994,954.9945,2063.8073,864.6418,3.3,1,1297.0896,1109.1937,1216.4534,994.0372,1830.8999,3120.7859,3486.664,939.6766,46,1091.4846,596.9327,773.9112,853.4059,823.7659,629.5059,428.9827,1303.2258,519.9179,807.2075,21492.5267,846.7644,1688.3151,4712.0271,3529.1173,0,0,0,0,0,0,6.25
2,1,465,2230,2.5,45,1451.9756,956.3247,2082.8798,777.8725,3,1,1600.7282,1039.4907,1290.0584,973.9869,1920.2308,3374.3148,3669.4364,1007.2311,37,1119.0707,562.35,799.1847,863.2513,864.8622,651.7925,385.5774,1317.1841,554.4749,853.5617,22519.1623,899.8927,2171.2288,5063.1589,3639.9819,0,0,0,0,0,0,6.25
2,0,464,2283,1.2,45,1526.3762,984.5096,2206.5296,741.337,2.7,1,1846.4531,1053.9673,1274.2889,903.5491,1925.9611,3887.7327,3893.5444,830.7737,35,1098.6465,538.1844,815.0186,863.1784,836.6289,648.4771,408.6593,1307.3212,585.6299,859.1337,24165.612,860.2495,2424.7573,5532.0384,3886.1084,0,0,0,0,0,1,1.44
