"y","temp","rain","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","m10","m5","m20","m25","m30","m40","m70","f0","f15","f20","f25","f30","f35","f40","f50","f60","f65","f70","bus_passenger","sub_passenger"
0,-1.9,0,55,0,8,41,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.5852,544.9547,2554.3603,3061.9827,1704.6129,796.9997,748.4007,338.3259,637.0526,4266.5884,2968.2033,1678.664,1103.7989,660.6537,679.593,635.7418,482.6152,1123.3199,12,5
0,-1.9,0,56,0,9,43,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.5695,548.4396,2545.7365,3049.3064,1695.6564,821.4094,747.7826,324.6109,665.0012,4218.3895,2984.2089,1659.9689,1075.489,647.9535,675.7104,635.9868,511.8701,1157.4969,37,161
0,-1.9,0,66,0.1,9,43,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.2145,574.8667,2542.303,3031.7595,1690.2626,799.429,759.6752,324.349,639.7209,4248.1746,2973.5895,1668.6876,1073.0664,661.6567,680.5979,658.7549,538.8868,1164.5989,56,246
0,-2.2,0,81,0.5,9,52,4.84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.4201,549.6872,2469.1511,3039.5463,1655.5987,824.9195,754.8039,314.2971,619.3514,4174.7932,2932.8963,1639.6134,1086.8994,666.1195,680.5075,629.731,534.7857,1183.6856,85,416
1,-2.2,0,83,0.5,8,54,4.84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.5685,566.1793,2445.8786,2979.8742,1677.396,872.3767,734.9286,317.0563,582.732,4060.9573,2869.5038,1686.3704,1089.1511,683.126,691.9868,650.1473,537.8985,1176.5494,171,789
0,-1.9,0.3,82,0.4,8,38,3.61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,211.2466,518.2788,2399.9479,2847.3887,1660.2613,834.134,686.8144,373.4072,589.3282,3916.1752,2790.5682,1644.2672,1116.403,719.6571,730.6254,630.4952,534.122,1159.131,188,1035
0,-0.8,0,81,0.3,7,46,0.64,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,227.5877,575.6963,2348.6809,2849.6423,1654.5955,853.3559,732.5448,387.6929,632.6776,3896.1996,2789.9729,1647.9914,1119.7084,752.7486,793.803,686.5591,529.7216,1192.8083,186,980
0,0,0,80,0.2,8,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,260.8058,637.0834,2428.9893,2874.238,1704.4265,943.8775,742.5658,359.1147,704.0107,3902.4411,2823.5763,1610.8288,1237.3767,803.0257,808.333,649.8822,532.8006,1304.3411,220,1083
1,1.4,0,74,0,6,65,1.96,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,262.8889,774.3842,2553.8709,3096.9322,1808.7333,973.1295,693.9417,536.9017,848.3786,4098.2867,3010.0309,1666.6389,1245.0799,881.6837,803.6848,646.2579,541.7407,1288.6323,251,1307
0,1.4,0,67,0,3,59,1.96,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,376.4642,808.9133,2719.6056,3235.9751,1888.7752,1029.1762,755.5868,818.0814,983.88,4258.0445,3205.7348,1715.4634,1306.1918,952.7356,821.4102,658.2622,533.556,1370.8558,343,1489
0,2.4,0,55,0,1,62,5.76,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,377.1347,1002.3004,2882.892,3349.7157,1954.7321,1062.4139,756.9006,878.6592,1331.7228,4481.4933,3361.0543,1794.8592,1320.17,992.1802,846.7926,654.9396,603.1208,1245.7425,367,1618
0,2.5,0,46,0,0,46,6.25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,399.0647,1297.0896,3120.7859,3486.664,2063.8073,1109.1937,773.9112,939.6766,1688.3151,4712.0271,3529.1173,1830.8999,1303.2258,994.0372,846.7644,629.5059,596.9327,1216.4534,388,2054
0,2.5,0,45,0,0,37,6.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,359.0176,1600.7282,3374.3148,3669.4364,2082.8798,1039.4907,799.1847,1007.2311,2171.2288,5063.1589,3639.9819,1920.2308,1317.1841,973.9869,899.8927,651.7925,562.35,1290.0584,465,2230
0,1.2,0,45,0,0,35,1.44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,342.155,1846.4531,3887.7327,3893.5444,2206.5296,1053.9673,815.0186,830.7737,2424.7573,5532.0384,3886.1084,1925.9611,1307.3212,903.5491,860.2495,648.4771,538.1844,1274.2889,464,2283
0,-0.5,0,40,0,0,34,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,300.1627,2041.3181,4151.5567,4015.2045,2201.5787,1041.9536,833.3295,637.631,2460.2036,5673.6481,4022.5551,1985.6483,1222.7737,920.1534,852.6026,676.5605,577.2871,1177.0982,406,2227
0,-1.6,0,41,0,0,28,2.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,299.1611,1931.3085,4383.8353,4121.813,2198.7499,1012.3337,829.5648,546.9288,2455.9861,5723.259,3991.8154,1914.8314,1315.8114,870.9679,810.5095,648.6117,559.4414,1223.7716,371,2152
0,-2.6,0,46,0,0,27,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,267.7345,1639.9636,3990.1439,3996.4277,2047.8595,964.321,788.7672,416.575,1915.152,5350.0875,3893.08,1875.5813,1295.8298,809.7796,785.26,691.6397,551.7985,1219.6571,469,3853
0,-2.9,0,48,0,0,20,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,257.7822,906.2387,3147.1985,3656.7708,1917.7334,942.9685,778.7249,419.1941,1058.0538,4760.5238,3619.6258,1843.4158,1194.3992,783.3676,799.0475,666.741,551.3256,1175.6434,642,4295
0,-3.8,0,49,0,0,33,14.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,265.8909,642.8577,2838.5561,3555.0641,1884.5123,895.4819,793.1548,392.1807,767.9079,4706.2114,3542.5483,1842.3086,1203.7896,795.783,799.6374,683.2331,564.4722,1165.0347,290,1183
0,-4.4,0,48,0,0,26,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.7458,412.8902,2702.1775,3454.4892,1756.178,892.449,750.5164,302.5978,635.5786,4753.8475,3512.6591,1853.8448,1167.7962,711.2368,693.2796,613.1592,500.2525,1144.6911,116,296
0,-5.2,0,51,0,1,27,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.0054,429.0108,2739.8139,3483.7838,1746.7593,898.57,760.0452,298.2608,630.3021,4745.3337,3556.0776,1867.0894,1180.2811,689.1734,685.142,623.4963,494.7284,1090.2994,54,0
0,-5.8,0,52,0,0,29,33.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.5059,434.1726,2757.503,3502.4904,1760.4701,884.6295,768.6048,288.5762,650.0474,4775.0704,3567.5378,1899.451,1171.9583,663.4489,681.5611,636.0671,496.2779,1091.5168,28,0
0,-6.4,0,56,0,5,25,40.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.1603,417.6675,2772.7609,3491.2571,1754.8118,901.255,754.1195,285.7222,671.1149,4815.8483,3579.102,1887.8221,1184.0139,662.989,681.0465,631.7989,502.6214,1121.5832,21,0
0,-7,0,59,0,2,21,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.423,438.2313,2780.6139,3487.9432,1754.4657,904.8807,759.2225,302.9079,687.2134,4798.7789,3579.6345,1884.7284,1176.7656,675.5828,687.0972,633.0392,504.5646,1092.3598,9,0
