"y","temp","rain","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m5","m20","m25","m35","m45","m55","m65","f25","f30","f65","f70","bus_passenger","sub_passenger"
0,-1.9,0.3,82,0.4,8,38,3.61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,518.2788,2399.9479,2847.3887,1219.8663,880.3636,776.3128,456.9606,2790.5682,1644.2672,534.122,1159.131,188,1035
0,-0.8,0,81,0.3,7,46,0.64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,575.6963,2348.6809,2849.6423,1245.1284,971.919,794.1095,469.9947,2789.9729,1647.9914,529.7216,1192.8083,186,980
0,0,0,80,0.2,8,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,637.0834,2428.9893,2874.238,1312.0558,1014.5956,785.4998,427.9908,2823.5763,1610.8288,532.8006,1304.3411,220,1083
1,1.4,0,74,0,6,65,1.96,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,774.3842,2553.8709,3096.9322,1358.0544,1052.0858,805.2971,428.0588,3010.0309,1666.6389,541.7407,1288.6323,251,1307
1,1.4,0,67,0,3,59,1.96,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,808.9133,2719.6056,3235.9751,1387.0997,1044.7225,808.177,408.0048,3205.7348,1715.4634,533.556,1370.8558,343,1489
2,2.4,0,55,0,1,62,5.76,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1002.3004,2882.892,3349.7157,1497.7037,1137.1555,804.7556,408.1565,3361.0543,1794.8592,603.1208,1245.7425,367,1618
2,2.5,0,46,0,0,46,6.25,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1297.0896,3120.7859,3486.664,1445.9994,1091.4846,807.2075,428.9827,3529.1173,1830.8999,596.9327,1216.4534,388,2054
2,2.5,0,45,0,0,37,6.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1600.7282,3374.3148,3669.4364,1451.9756,1119.0707,853.5617,385.5774,3639.9819,1920.2308,562.35,1290.0584,465,2230
2,1.2,0,45,0,0,35,1.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1846.4531,3887.7327,3893.5444,1526.3762,1098.6465,859.1337,408.6593,3886.1084,1925.9611,538.1844,1274.2889,464,2283
3,-0.5,0,40,0,0,34,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2041.3181,4151.5567,4015.2045,1517.6441,1046.2956,811.1428,423.7561,4022.5551,1985.6483,577.2871,1177.0982,406,2227
1,-1.6,0,41,0,0,28,2.56,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1931.3085,4383.8353,4121.813,1547.3232,1060.9019,823.536,427.686,3991.8154,1914.8314,559.4414,1223.7716,371,2152
1,-2.6,0,46,0,0,27,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1639.9636,3990.1439,3996.4277,1432.3184,1073.7328,808.785,408.2072,3893.08,1875.5813,551.7985,1219.6571,469,3853
1,-2.9,0,48,0,0,20,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,906.2387,3147.1985,3656.7708,1363.413,1028.2462,811.96,427.58,3619.6258,1843.4158,551.3256,1175.6434,642,4295
0,-3.8,0,49,0,0,33,14.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,642.8577,2838.5561,3555.0641,1342.2597,1039.9894,763.2258,434.2469,3542.5483,1842.3086,564.4722,1165.0347,290,1183
0,-4.4,0,48,0,0,26,19.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,412.8902,2702.1775,3454.4892,1322.5,983.0021,704.2859,409.5073,3512.6591,1853.8448,500.2525,1144.6911,116,296
