"y","sub_passenger","bus_passenger","past_return","temp","X8_9","wet","rain","X7_8","m25","f0","m30","f35","f45","m40","m45","sunny","m50","m5","m35","m55","m0","f25","m70","f50","m65","f60","dust","f65","m60","f70","cloud","m20","f55","f40","wind","f20","f30","f15","X18_19","most_use","snow","X9_10","temp.sqr","weekend","X16_17","semester","X12_13"
0,0,13,1,-2.9,0,57,0,0,3069.2582,341.9429,1676.1082,1080.3975,770.2866,827.1632,886.2969,0,745.1448,506.7215,1252.7303,726.0669,471.4803,2997.0907,763.9788,682.0035,398.5573,615.1559,55,510.7964,494.3149,1135.7623,8,2550.0382,619.1185,685.7243,2.1,4255.3486,1656.4244,607.0678,0,18537.3961,0,0,8.41,1,0,0,0
0,0,19,0,-2.6,0,57,0,0,3066.2662,344.1256,1675.8869,1060.8378,754.7675,817.9012,875.2236,0,744.1317,524.8589,1256.0014,726.8703,492.5551,3008.6295,745.4565,689.4129,406.412,622.665,51,484.6168,496.8338,1126.2161,8,2538.5105,589.0645,660.4695,1.9,4273.9491,1641.1874,588.4983,0,18521.2688,0,0,6.76,1,0,0,0
0,0,8,1,-2.1,0,56,0,0,3082.9688,355.3955,1698.6529,1080.4464,739.2058,803.6301,904.0857,0,750.5879,526.9761,1213.0688,716.3295,445.0988,3002.3673,737.3836,697.1884,417.9578,619.0804,38,487.8129,500.0517,1136.0043,9,2514.5834,595.6035,659.0926,2.5,4276.3212,1675.377,605.8067,0,18543.7858,0,0,4.41,1,0,0,0
0,5,12,0,-1.9,0,55,0,0,3061.9827,338.3259,1704.6129,1103.7989,754.1053,796.9997,899.1318,0,728.445,544.9547,1205.585,714.0956,434.6023,2968.2033,748.4007,679.593,414.0992,635.7418,41,482.6152,501.2277,1123.3199,8,2554.3603,581.9424,660.6537,2,4266.5884,1678.664,637.0526,0,18543.7955,0,0,3.61,1,0,0,0
0,161,37,1,-1.9,0,56,0,0,3049.3064,324.6109,1695.6564,1075.489,731.9394,821.4094,906.7302,0,731.1179,548.4396,1224.7163,713.7302,412.9007,2984.2089,747.7826,675.7104,426.0584,635.9868,43,511.8701,510.728,1157.4969,9,2545.7365,595.7291,647.9535,2.3,4218.3895,1659.9689,665.0012,0,18453.4719,0,0,3.61,1,0,0,0
0,246,56,0,-1.9,0,66,0,0,3031.7595,324.349,1690.2626,1073.0664,746.2945,799.429,925.2835,0,746.232,574.8667,1212.6061,713.4863,420.7984,2973.5895,759.6752,680.5979,431.7673,658.7549,43,538.8868,517.5398,1164.5989,9,2542.303,601.7095,661.6567,2.5,4248.1746,1668.6876,639.7209,0,18440.4493,0.1,0,3.61,1,0,0,0
0,416,85,1,-2.2,0,81,0,1,3039.5463,314.2971,1655.5987,1086.8994,735.9822,824.9195,907.0188,0,698.9761,549.6872,1199.5701,734.231,414.7436,2932.8963,754.8039,680.5075,438.3799,629.731,52,534.7857,517.8935,1183.6856,9,2469.1511,620.8738,666.1195,2,4174.7932,1639.6134,619.3514,0,18198.0685,0.5,0,4.84,1,0,0,0
1,789,171,0,-2.2,1,83,0,0,2979.8742,317.0563,1677.396,1089.1511,738.8499,872.3767,891.3126,0,687.7629,566.1793,1186.7689,772.8655,449.7321,2869.5038,734.9286,691.9868,445.4824,650.1473,54,537.8985,530.9345,1176.5494,8,2445.8786,641.7601,683.126,2,4060.9573,1686.3704,582.732,0,17995.9003,0.5,0,4.84,1,0,0,0
0,1035,188,1,-1.9,0,82,0.3,0,2847.3887,373.4072,1660.2613,1116.403,762.4441,834.134,880.3636,0,685.5117,518.2788,1219.8663,776.3128,457.7015,2790.5682,686.8144,730.6254,456.9606,630.4952,38,534.122,516.6764,1159.131,8,2399.9479,678.2829,719.6571,1.4,3916.1752,1644.2672,589.3282,0,17594.8778,0.4,1,3.61,1,0,0,0
2,980,186,0,-0.8,0,81,0,0,2849.6423,387.6929,1654.5955,1119.7084,785.2918,853.3559,971.919,0,739.2145,575.6963,1245.1284,794.1095,493.107,2789.9729,732.5448,793.803,469.9947,686.5591,46,529.7216,530.3676,1192.8083,7,2348.6809,708.6192,752.7486,0.7,3896.1996,1647.9914,632.6776,0,17551.9194,0.3,0,0.64,1,0,0,0
