"y","f45","m20","f50","m25","temp","bus_passenger","past_return","m30","m50","wet","X16_17","f20","m55","sub_passenger","X17_18","m0","m70","m5","m40","f70","sunny","f60","f65","f25","f0","m35","m45","m65","m60","f40","f35","f30","f15","f55","wind","most_use","dust","cloud","X11_12","rain","X14_15","temp.sqr","X13_14"
0,935.6483,2719.6056,821.4102,3235.9751,1.4,343,0,1888.7752,869.0742,67,0,4258.0445,808.177,1489,0,815.6734,755.5868,808.9133,1029.1762,1370.8558,1,658.2622,533.556,3205.7348,818.0814,1387.0997,1044.7225,408.0048,532.6915,952.7356,1306.1918,1715.4634,983.88,777.4661,3.6,19716.8901,59,3,0,0,0,1.96,1
0,968.025,2882.892,846.7926,3349.7157,2.4,367,0,1954.7321,883.5678,55,0,4481.4933,804.7556,1618,0,817.1264,756.9006,1002.3004,1062.4139,1245.7425,1,654.9396,603.1208,3361.0543,878.6592,1497.7037,1137.1555,408.1565,521.6277,992.1802,1320.17,1794.8592,1331.7228,833.2126,3.5,20642.6203,62,1,0,0,1,5.76,0
0,954.9945,3120.7859,846.7644,3486.664,2.5,388,0,2063.8073,853.4059,46,0,4712.0271,807.2075,2054,0,864.6418,773.9112,1297.0896,1109.1937,1216.4534,1,629.5059,596.9327,3529.1173,939.6766,1445.9994,1091.4846,428.9827,519.9179,994.0372,1303.2258,1830.8999,1688.3151,823.7659,3.3,21492.5267,46,0,0,0,0,6.25,0
0,956.3247,3374.3148,899.8927,3669.4364,2.5,465,0,2082.8798,863.2513,45,1,5063.1589,853.5617,2230,0,777.8725,799.1847,1600.7282,1039.4907,1290.0584,1,651.7925,562.35,3639.9819,1007.2311,1451.9756,1119.0707,385.5774,554.4749,973.9869,1317.1841,1920.2308,2171.2288,864.8622,3,22519.1623,37,0,0,0,0,6.25,0
0,984.5096,3887.7327,860.2495,3893.5444,1.2,464,0,2206.5296,863.1784,45,0,5532.0384,859.1337,2283,1,741.337,815.0186,1846.4531,1053.9673,1274.2889,1,648.4771,538.1844,3886.1084,830.7737,1526.3762,1098.6465,408.6593,585.6299,903.5491,1307.3212,1925.9611,2424.7573,836.6289,2.7,24165.612,35,0,0,0,0,1.44,0
0,958.3552,4151.5567,852.6026,4015.2045,-0.5,406,0,2201.5787,889.1927,40,0,5673.6481,811.1428,2227,0,650.3535,833.3295,2041.3181,1041.9536,1177.0982,0,676.5605,577.2871,4022.5551,637.631,1517.6441,1046.2956,423.7561,574.8783,920.1534,1222.7737,1985.6483,2460.2036,788.0574,2.9,24790.6092,34,0,0,0,0,0.25,0
0,902.1259,4383.8353,810.5095,4121.813,-1.6,371,1,2198.7499,871.3076,41,0,5723.259,823.536,2152,0,648.1827,829.5648,1931.3085,1012.3337,1223.7716,0,648.6117,559.4414,3991.8154,546.9288,1547.3232,1060.9019,427.686,552.3845,870.9679,1315.8114,1914.8314,2455.9861,775.9222,2,25197.4386,28,0,0,0,0,2.56,0
0,898.2168,3990.1439,785.26,3996.4277,-2.6,469,0,2047.8595,803.9074,46,0,5350.0875,808.785,3853,0,580.0914,788.7672,1639.9636,964.321,1219.6571,0,691.6397,551.7985,3893.08,416.575,1432.3184,1073.7328,408.2072,540.6714,809.7796,1295.8298,1875.5813,1915.152,800.1316,1.6,23881.3281,27,0,0,0,0,6.76,0
0,847.5671,3147.1985,799.0475,3656.7708,-2.9,642,0,1917.7334,841.3478,48,0,4760.5238,811.96,4295,0,558.5282,778.7249,906.2387,942.9685,1175.6434,0,666.741,551.3256,3619.6258,419.1941,1363.413,1028.2462,427.58,547.0492,783.3676,1194.3992,1843.4158,1058.0538,765.0819,2.7,21503.0803,20,0,0,0,0,8.41,0
0,827.7268,2838.5561,799.6374,3555.0641,-3.8,290,0,1884.5123,800.7484,49,0,4706.2114,763.2258,1183,0,576.0977,793.1548,642.8577,895.4819,1165.0347,0,683.2331,564.4722,3542.5483,392.1807,1342.2597,1039.9894,434.2469,558.7961,795.783,1203.7896,1842.3086,767.9079,737.9257,2.1,20915.2501,33,0,0,0,0,14.44,0
