"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-07-14 17:",544,3,29.3,0,3.4,70,0,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1449.0481,1224.9863,1288.513,963.3385,760.6023,756.0977,1037.8449,1128.8442,1380.4981,1105.2975,1024.9891,844.4625,628.7699,1185.5717,1779.8134,1490.8679,1321.9165,968.7356,960.9579,809.6699,1376.3093,1638.8559,1849.6212,1407.4526,1363.0521,1035.5144,803.2922,1858.5874,389,968,6377,6099,3463,3502,3540,3266
"2022-07-04 02:",3864,0,27.5,0,0.9,74,0,7,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.878,372.5113,784.414,1074.2575,1683.797,1611.4795,1460.6645,1218.0161,1329.1297,1014.9068,1022.6067,766.5928,474.9372,1027.7609,719.9972,383.4913,664.2352,1436.4116,2037.1622,1646.829,1603.5084,1269.522,1298.4018,1144.7073,1206.7385,920.9482,698.7561,1563.2768,0,0,6377,6099,3463,3502,3540,3266
"2022-02-09 08:",3503,0,-4.3,0,2.1,76,0,1,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697.9619,1435.4112,1949.7691,1029.3411,843.1639,678.194,1057.2911,1285.0131,1487.2817,1232.0811,1087.4215,848.7825,674.6962,1199.64,2017.8015,1690.2193,1696.3554,1205.8543,848.4922,917.7925,1401.8582,1787.4645,2038.2543,1517.5859,1470.3801,1024.2921,772.0795,1753.0804,638,1538,6377,6099,3463,3502,3540,3266
"2022-01-19 06:",3528,0,-6.6,0,1.8,62,0,7,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616.249,1366.333,1848.3312,1064.5335,910.5779,770.6353,1101.5832,1580.0049,1851.7474,1535.621,1337.8063,912.7572,723.9913,1167.133,1891.6414,1584.541,1608.3879,1196.2375,958.0632,873.7251,1565.0137,2060.3198,2170.9206,1566.1111,1443.9979,883.4738,731.744,1615.0347,157,620,6377,6099,3463,3502,3540,3266
"2022-07-27 12:",576,1,31.2,0,2.4,64,0,9,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1372.0094,1159.8594,1453.8954,939.2443,765.3904,702.2677,888.1723,1051.6589,1266.0155,1061.5755,1030.3401,703.8295,583.9865,1120.7761,1508.792,1263.8462,1591.2532,1122.8141,947.8203,844.4262,1230.2697,1401.7052,1826.4713,1404.1225,1371.4388,1034.1407,739.9534,1827.9432,301,560,6377,6099,3463,3502,3540,3266
"2022-11-09 02:",3528,2,8.7,0,1.3,85,0,5,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1685.902,1425.2155,1716.8093,908.4659,892.4263,720.567,1021.1965,1397.4824,1981.3632,1551.8903,1203.9619,792.7124,650.5771,1202.9045,1875.3756,1570.9164,1698.8119,1108.8622,1009.2395,842.3938,1440.6941,1962.8871,2232.9806,1600.8496,1367.8568,926.1964,697.0454,1537.1838,11,0,6377,6099,3463,3502,3540,3266
"2022-12-18 16:",3503,0,-6.1,0,4.2,44,1.4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1336.9129,1130.1894,1356.7821,843.3606,783.6835,732.3952,1024.2731,1276.9723,1687.2767,1361.8484,1151.4406,834.9323,616.5737,1330.5097,1383.6731,1159.0396,1447.0111,1149.025,994.0086,907.4125,1508.9625,1751.8368,1957.1664,1400.5893,1253.4126,858.2198,677.6189,1504.6865,0,0,6377,6099,3463,3502,3540,3266
"2022-04-30 08:",3864,0,12.2,0,1.4,65,0,9,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,840.9334,391.6309,667.8852,1187.9622,1552.8652,1378.5528,1246.7685,1165.7556,1028.5554,889.3873,869.2248,689.7333,432.0792,971.6753,663.2507,353.2665,728.7146,1281.2425,1650.4432,1448.5539,1318.3295,1148.9103,1165.1518,990.0167,1091.1916,823.4167,625.4653,1381.3386,262,1248,6377,6099,3463,3502,3540,3266
"2022-09-19 13:",3503,0,29.4,0,3.9,52,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2056.3026,1738.3423,1452.5025,820.6881,735.0767,682.8496,899.1781,1168.5044,1397.1082,1052.6391,979.9988,758.6759,576.32,1334.7751,2358.8609,1975.9103,1535.5018,933.0897,944.4615,868.8882,1336.099,1473.0779,1710.3576,1370.8975,1326.6704,1015.8434,767.9737,1786.4571,222,554,6377,6099,3463,3502,3540,3266
"2022-08-29 17:",3528,3,21.4,0,2.2,68,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1346.5538,1138.3404,1325.2266,980.6302,819.2608,797.6694,1121.195,1170.0087,1433.8477,1091.579,1046.4687,776.5112,589.877,1138.1547,1676.4036,1404.2468,1464.9817,1250.9852,1039.2427,894.6191,1476.9309,1725.7056,1987.1369,1463.7509,1369.2425,1039.2817,809.5707,1553.959,342,906,6377,6099,3463,3502,3540,3266
"2022-05-09 19:",576,11,22.8,0,2.3,35,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1542.4059,1303.908,1353.7243,877.6867,827.4015,801.1297,1075.1191,1336.0093,1539.2062,1461.2957,1190.9517,891.8611,709.3359,1179.1798,1614.241,1352.1759,1409.7019,1063.7814,962.888,862.3546,1502.6687,1869.9053,2158.3062,1586.5099,1415.993,1044.5917,770.895,1564.893,277,584,6377,6099,3463,3502,3540,3266
"2022-01-01 12:",3878,0,-2.3,0,1.2,34,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1460.8219,1234.9392,1354.2496,1045.3412,898.1476,766.9748,1056.892,1398.6283,1764.4382,1468.9011,1315.9232,906.194,679.0475,1269.5991,1420.3624,1189.7726,1196.3626,1091.7646,1001.6301,870.6737,1382.3158,1648.5519,1802.2927,1383.1884,1415.4447,989.1567,679.3659,1519.3208,119,430,6377,6099,3463,3502,3540,3266
"2022-12-05 16:",3528,6,1.5,0,2.6,28,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1503.429,1270.9586,1520.2283,838.9963,735.0828,756.6732,955.5582,1002.4407,1288.7842,1114.2947,988.7137,862.8561,614.2324,1357.8128,1801.9839,1509.4395,1463.277,929.6981,931.2961,868.0141,1322.3188,1583.8412,1815.4354,1394.2632,1356.4123,1093.4179,788.9205,1779.2516,378,855,6377,6099,3463,3502,3540,3266
"2022-11-04 11:",3564,0,4.9,0,3.7,36,0,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2119.5134,1791.7795,1496.0729,913.1603,955.598,798.2826,897.3833,1072.6129,1298.6461,1079.7855,955.6921,731.1876,621.946,1262.3605,2395.9501,2006.978,1639.2621,1128.7424,987.7735,906.3756,1392.7641,1695.8721,1734.5884,1408.1709,1351.0968,1051.0201,840.7326,2038.1276,218,660,6377,6099,3463,3502,3540,3266
"2022-07-22 11:",576,3,26.6,0,1.3,73,0,7,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1445.638,1222.1026,1412.7733,967.3853,733.7242,662.8044,872.1059,993.4824,1164.3082,979.687,934.6059,732.1101,588.3853,1236.56,1614.1253,1352.0787,1400.7748,992.5226,933.4229,783.3793,1183.9867,1490.7452,1687.8751,1400.8471,1201.4005,982.7178,759.2359,1852.9877,253,606,6377,6099,3463,3502,3540,3266
"2022-02-02 17:",3564,0,-0.8,0,3.2,38,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1508.9368,1275.6144,1465.1557,868.3368,765.0561,680.4591,1080.0775,1365.1912,1734.7781,1551.988,1343.4549,821.2846,651.6384,1223.9366,1615.4992,1353.2296,1202.0537,969.1921,847.2451,850.0214,1496.3799,1802.9799,1972.9099,1457.4035,1298.4878,989.9581,690.9787,1656.8277,99,390,6377,6099,3463,3502,3540,3266
"2022-08-12 02:",3516,0,23.6,0,1.6,89,0,7,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528.7667,1292.3776,1889.5873,1055.7188,779.5545,747.0814,1065.5397,1493.0466,1919.5837,1563.8525,1273.7264,806.78,647.7128,1207.5918,1949.9514,1633.3852,1898.2711,1143.7183,1059.3385,909.4774,1525.2454,1952.7739,2309.6932,1641.2602,1433.2155,894.4424,704.8855,1529.2945,3,0,6377,6099,3463,3502,3540,3266
"2022-05-05 16:",3520,4,25.2,0,2.8,38,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,422.3376,196.687,563.0511,854.7774,1143.5972,1074.7081,971.7624,964.5278,919.575,772.3922,796.9729,562.2117,347.5751,820.7235,604.9878,322.2342,516.4663,1005.5585,1114.0671,951.4915,1071.2568,899.8285,1008.3309,776.3121,853.9907,664.5223,507.0834,1243.0445,321,1006,6377,6099,3463,3502,3540,3266
"2022-03-26 16:",3864,0,13.7,0,1.8,78,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,719.7123,335.1765,541.7172,873.3953,1236.0325,1085.3814,1096.119,926.5364,898.4594,747.1581,807.9828,565.3788,377.5453,810.1624,622.3544,331.4839,518.6889,933.1969,1220.9883,1063.5236,1030.6304,935.6551,952.1215,719.3274,920.3614,674.3102,505.6101,1318.1702,303,980,6377,6099,3463,3502,3540,3266
"2022-03-13 14:",576,0,11.8,0,1.4,96,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1561.7072,1320.2252,1326.3228,965.762,829.3527,735.0082,1072.5147,1512.4374,1712.4021,1527.2472,1194.1585,818.2293,673.0354,1174.2394,1715.7797,1437.2297,1501.0109,1238.5268,984.8088,874.0131,1387.4167,1818.4778,2064.5929,1477.484,1305.9369,897.4668,697.3973,1523.921,156,408,6377,6099,3463,3502,3540,3266
"2022-06-13 16:",3878,0,24,0,3.5,70,0,9,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1530.107,1293.5111,1407.8992,869.2156,774.1103,669.3572,847.2476,1028.9299,1277.8444,1022.9453,1084.4141,794.8846,672.398,1210.4654,1903.2616,1594.2749,1341.7745,1008.7448,876.5108,788.173,1355.113,1629.1193,1958.309,1381.5875,1325.8349,1112.414,851.8882,1704.9783,301,779,6377,6099,3463,3502,3540,3266
"2022-02-03 00:",3878,0,-3.3,0,1.7,62,0,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1723.973,1457.4,1762.9784,968.9265,812.7102,746.8297,1056.2575,1584.6959,1920.7263,1561.0674,1254.5559,886.5617,673.9231,1108.8172,1964.9309,1645.9327,1615.3689,1144.6081,934.2773,861.5065,1562.7087,1942.1254,2239.8371,1547.7837,1320.7602,891.1803,684.2472,1483.1845,10,0,6377,6099,3463,3502,3540,3266
"2022-06-22 02:",544,0,23.1,0,2.3,82,0,5,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653.4084,1397.7461,1765.1702,955.9448,797.9544,717.1484,997.729,1530.7867,1881.9614,1483.8184,1271.3221,811.328,635.7632,1217.4578,1989.0315,1666.1207,1774.4599,1159.1404,939.3406,810.785,1473.5967,1972.7004,2321.9506,1583.7078,1404.1722,901.7237,700.253,1611.4675,6,0,6377,6099,3463,3502,3540,3266
"2022-07-27 21:",544,7,28.9,0,2.4,59,0,1,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1343.5438,1135.7953,1414.7427,864.356,761.187,766.0414,972.5257,1313.9492,1661.9508,1395.7003,1215.359,889.1586,634.7145,1332.3123,1708.1114,1430.8068,1543.068,893.1356,981.4311,850.8691,1471.6432,1827.8721,2170.5394,1530.7299,1371.2589,884.106,687.9594,1620.8658,204,394,6377,6099,3463,3502,3540,3266
"2022-08-18 21:",576,9,25.7,0,1.6,75,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1454.257,1229.3895,1383.6154,859.4787,809.4813,739.0222,1090.7952,1387.0612,1738.6469,1433.9007,1241.4038,812.293,629.3114,1362.0792,1721.2861,1441.8425,1545.6232,1039.2098,919.9365,882.8531,1422.9141,1842.9741,2176.1907,1497.3369,1453.6775,900.7767,736.7341,1526.6379,214,399,6377,6099,3463,3502,3540,3266
"2022-01-17 15:",3564,0,-2.2,0,4,75,0.1,9,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1539.0816,1301.0979,1474.559,889.7889,723.4311,685.0964,833.9952,960.8356,1227.0951,1038.1015,995.2444,764.7849,661.6904,1180.6714,1761.494,1475.5233,1261.857,1049.2787,757.823,719.2417,1319.6858,1538.4045,1791.1038,1280.1999,1413.692,1058.4714,787.9365,1782.6823,242,568,6377,6099,3463,3502,3540,3266
"2022-01-06 22:",3520,4,-2.7,0,1.7,47,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,637.195,296.7479,561.1056,936.9848,1569.8784,1342.8902,1249.3666,1180.7166,1077.5343,923.0537,949.624,692.0348,437.0149,917.9051,618.3747,329.3644,613.4989,1263.7159,1722.056,1480.8836,1496.6254,1075.4905,1218.1138,1027.5715,1121.2202,922.615,589.338,1509.2975,291,391,6377,6099,3463,3502,3540,3266
