"timestamp","spot_number","return_num","station_dist","station_type","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_rent","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-05-02 23:",3573,3,88,0,13.4,0,3.2,53,0,0,40,179.56,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,400.002,133.334,191.4636,572.345,756.7644,790.1521,724.1525,559.413,520.9245,433.3091,389.9386,303.1644,203.8025,419.9097,381.1135,136.2637,226.463,740.2822,978.8098,929.8288,772.4855,508.1613,450.7097,390.8353,481.2183,336.4833,338.4001,776.0254,6264.8203,134,605,6377,6099,3463,3502,3540,3266
"2022-12-25 14:",3573,2,88,0,-1.1,0,3.4,50,1.5,0,48,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,658.3626,219.4542,355.7763,605.3814,854.8731,827.3933,934.3026,724.1894,553.8524,560.9619,514.1932,372.4254,299.389,680.0123,581.5959,207.9444,398.5638,915.0437,981.7874,910.4829,883.7051,621.5926,547.7294,514.7831,571.7413,490.6658,384.0105,999.8386,6912.9695,283,1666,6377,6099,3463,3502,3540,3266
"2022-09-12 10:",3573,3,88,0,25,0,1.7,73,0,6,11,625,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.6013,196.2005,264.0449,614.1325,768.4973,767.1164,1072.2303,723.2565,588.2139,517.0795,550.3328,357.7774,284.4743,620.886,559.6427,200.0956,339.876,748.2369,880.3609,912.0559,1002.3025,691.3233,578.0216,428.5894,495.5338,468.9009,468.8511,985.3865,6764.9327,177,1061,6377,6099,3463,3502,3540,3266
"2022-07-10 08:",3573,4,88,0,26.3,0,0.6,84,0,1,42,691.69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,406.418,135.4726,192.8316,571.8834,767.6461,751.9007,694.0943,514.7381,573.4974,482.4972,406.8183,336.2612,242.9117,573.9957,389.4433,139.242,288.3396,725.1085,890.4773,887.5431,667.7542,537.6173,450.6718,422.8907,492.5263,398.4571,311.8636,775.8917,5956.4076,175,1098,6377,6099,3463,3502,3540,3266
"2022-03-26 19:",3573,4,88,0,12.9,0,3.4,73,0,8,33,166.41,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,466.1069,155.3692,317.6122,613.5916,807.9386,767.9918,723.2144,682.7239,641.0337,564.4153,541.5151,408.3054,270.7903,542.1116,492.2101,175.9856,411.9333,865.1026,1027.1597,811.6541,845.8286,567.9712,553.4267,504.913,552.3057,456.0565,382.6427,884.9562,6462.4814,267,1108,6377,6099,3463,3502,3540,3266
"2022-01-27 00:",3573,0,88,0,-1.2,0,3.4,49,0,8,54,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.7439,146.5812,182.1926,507.1177,760.348,741.6902,647.7436,522.1722,553.4095,418.4322,371.0192,301.3891,202.982,444.9963,329.2167,117.7085,186.8012,619.2474,1016.3963,895.452,727.3734,486.9285,488.2721,400.0443,427.9727,345.2949,302.9025,724.8724,5915.3686,51,1,6377,6099,3463,3502,3540,3266
"2022-01-28 06:",3573,0,88,0,-5.2,0,2.4,65,0,2,31,27.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397.2701,132.4236,205.0517,473.7791,718.4799,709.6652,655.4743,578.8682,535.8911,442.5501,447.3956,329.5784,230.2336,447.7476,396.8893,141.9045,193.1517,606.6784,989.0384,845.3205,706.8622,510.3042,476.5968,395.2618,475.9708,386.1058,306.9988,741.2611,5705.298,188,1077,6377,6099,3463,3502,3540,3266
"2022-08-10 21:",3573,4,88,0,25.3,0,0.8,82,0,10,21,640.09,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,452.7741,150.9246,237.7728,571.8571,825.1207,794.5023,713.2525,573.6108,562.3792,462.9518,417.2078,356.5893,247.1279,468.3926,367.9443,131.5553,297.8265,782.0819,1005.2124,939.7774,739.167,582.1117,507.1322,471.4813,558.8669,465.8509,345.6271,805.5756,6370.9713,383,2206,6377,6099,3463,3502,3540,3266
"2022-12-12 15:",3573,1,88,0,6.1,0,1.9,59,0,9,39,37.21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,684.584,228.1948,495.7283,1039.5895,886.3863,652.1055,745.4983,589.4699,615.9307,525.662,556.3771,392.582,294.78,645.811,1327.9855,474.8096,940.744,1104.946,873.5,751.8856,726.5568,603.3719,637.3494,666.6684,633.929,489.5926,427.3734,1041.8451,6780.468,372,2371,6377,6099,3463,3502,3540,3266
"2022-10-30 15:",3573,4,88,0,21.1,0,1.3,42,0,2,33,445.21,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1265.5841,421.8612,310.761,839.3692,1001.5852,967.9571,1313.4527,1088.804,898.4724,579.1944,595.0042,440.3492,318.3699,752.9373,1266.7957,452.9317,623.138,1184.1459,1267.1264,1405.7114,1573.3374,1127.9013,854.0825,673.448,698.3524,599.8013,500.973,1118.294,9552.6853,433,2491,6377,6099,3463,3502,3540,3266
"2022-06-03 20:",3573,9,88,0,24.3,0,2.2,67,0,5,37,590.49,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,568.4945,189.4982,336.0515,736.2635,849.3054,833.8887,776.9883,610.4547,601.0946,512.5608,501.9937,425.7171,247.2793,504.7611,638.4046,228.2556,421.0316,841.1687,995.1866,887.6695,814.2814,600.364,619.3963,573.1002,640.9166,498.8424,388.6807,920.7034,6734.7521,312,1788,6377,6099,3463,3502,3540,3266
"2022-09-05 13:",3573,0,88,0,18.8,10,3.3,98,0,10,33,353.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,515.4746,171.8249,408.286,1114.8328,820.6297,620.0593,706.5492,577.1758,578.5104,537.4246,546.1361,334.5888,277.486,503.8715,1242.6313,444.2917,795.7909,1189.0192,794.5279,736.6247,755.3905,529.2524,580.3589,569.4573,594.2784,460.6412,354.7467,791.8707,6737.6333,259,1683,6377,6099,3463,3502,3540,3266
"2022-12-15 09:",3573,2,88,0,-5.5,0,2.1,74,0.1,9,32,30.25,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563.1707,187.7234,301.5887,919.1484,820.6548,714.7463,797.9897,621.259,620.0101,599.6733,524.5127,367.3869,284.5275,539.2163,1292.1893,462.011,662.6691,1103.5424,924.9894,840.8455,827.9838,607.5349,610.3302,518.0238,587.094,454.0237,488.6257,902.2876,6949.9003,424,3351,6377,6099,3463,3502,3540,3266
"2022-08-01 01:",3573,1,88,0,25.5,0.1,2,95,0,10,6,650.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.4513,133.8172,130.6895,519.3093,678.6178,727.4453,656.5196,483.7617,455.7139,409.4221,375.5767,295.248,191.2728,416.1035,254.6635,91.0528,247.1826,681.873,932.1782,821.9531,675.0612,468.4533,383.6476,347.538,420.0512,303.7247,286.5595,707.1428,5692.9575,20,0,6377,6099,3463,3502,3540,3266
"2022-07-19 18:",3573,11,88,0,29.1,0,3.7,66,0,9,50,846.81,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,413.995,137.9984,226.5399,578.1733,785.1336,748.6708,730.7796,568.9737,646.0497,476.5935,515.3075,382.639,282.5274,575.8219,789.8735,282.4124,415.1785,808,990.706,773.1603,717.7055,682.9976,579.7049,552.8474,614.0536,476.9648,398.1271,953.6863,6132.3291,662,3970,6377,6099,3463,3502,3540,3266
"2022-12-22 00:",3573,0,88,0,-2.6,0,3.6,71,1.9,2,85,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.8829,148.2943,171.6793,571.0528,755.6619,692.55,728.8148,509.9415,455.5765,416.1993,393.0114,282.2039,200.7932,392.7696,360.6566,128.9495,283.179,725.9121,949.7302,914.9811,764.2665,481.7357,396.0593,377.7362,454.9008,310.856,278.5069,707.6203,6102.9694,48,181,6377,6099,3463,3502,3540,3266
"2022-11-02 18:",3573,11,88,0,13.3,0,2,45,0,0,37,176.89,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,584.4708,194.8235,343.9511,805.3985,871.1186,715.1575,794.1152,595.1527,600.6044,479.4644,581.7953,446.7882,251.0761,555.1246,837.5067,299.4432,561.3955,1098.4833,1049.1923,902.187,885.624,628.4206,561.3291,524.3887,683.562,496.0755,414.3022,787.2216,7121.2764,668,4631,6377,6099,3463,3502,3540,3266
"2022-03-12 19:",3573,2,88,0,15.6,0,3,83,0,10,43,243.36,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,551.5001,183.8333,319.4156,646.0202,742.9929,804.2322,711.486,601.9336,617.1661,523.1178,550.961,410.9914,273.2234,521.6154,522.6127,186.8556,399.2693,837.3774,1091.3891,904.2075,844.6946,644.6704,579.1263,448.9684,637.7738,501.7836,361.8011,944.8016,6582.3999,258,1117,6377,6099,3463,3502,3540,3266
"2022-07-11 03:",3573,0,88,0,24.8,0,1.3,82,0,10,15,615.04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.4077,115.4692,167.1494,553.9244,760.2345,758.716,689.933,519.2704,531.1103,431.3795,387.9377,295.5556,197.2121,409.6651,362.9614,129.7735,215.4297,697.2508,978.885,898.5946,706.0108,513.7355,413.4142,368.4552,473.1279,326.3762,313.5385,709.0004,6043.5491,15,0,6377,6099,3463,3502,3540,3266
"2022-10-17 22:",3573,3,88,0,8.3,0,1,60,0,0,16,68.89,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,501.2961,167.0989,366.1891,762.2787,802.1183,707.0815,819.4794,554.209,568.1588,514.741,491.6992,358.3772,229.0774,531.3871,375.0792,134.1062,394.3772,953.9249,1046.8844,964.7275,848.4064,581.7604,544.3848,461.207,618.1159,433.135,344.2558,772.8149,6904.9011,208,1431,6377,6099,3463,3502,3540,3266
"2022-12-18 21:",3573,0,88,0,-9.5,0,2.5,51,1.4,0,14,90.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,519.2296,173.0766,210.1797,693.5378,808.1136,766.1707,796.0985,531.7041,462.3382,504.4173,442.4145,356.8032,231.6577,489.5828,483.4058,172.8373,319.4653,831.3228,937.4736,932.7323,848.3329,573.5211,502.4963,451.7366,514.5259,383.6213,352.3961,832.0479,6613.7822,0,0,6377,6099,3463,3502,3540,3266
"2022-12-14 10:",3573,0,88,0,-9.5,0,3.5,45,0.3,0,91,90.25,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.5555,242.1853,505.8804,983.5411,818.2189,631.2392,761.103,620.2287,551.1938,539.7662,518.6724,363.0954,253.3044,518.2917,1314.8678,470.1195,1059.1865,1224.7446,871.4634,765.8272,819.1227,618.4518,585.8134,515.7403,591.5742,508.5825,408.2833,822.1289,6875.2601,311,1681,6377,6099,3463,3502,3540,3266
