"timestamp","spot_number","rent_num","station_dist","station_type","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-10-11 01:",3523,0,546,0,7.9,0,2.6,76,0,1,37.5,62.41,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.3071,189.8339,870.3669,4110.3954,3852.7096,1953.2477,1290.6424,891.0894,991.3645,755.9188,818.0493,508.9914,379.453,819.84,353.9862,164.3903,1128.5835,6438.2613,4139.6225,1961.8273,1324.0094,718.1754,809.1228,777.9061,621.4726,632.9625,481.8243,1152.5154,25070.7156,64,0,6377,6099,3463,3502,3540,3266
"2022-03-27 08:",591,0,554,0,6,0,2.3,76,0,1,23,36,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,462.2308,213.3368,755.2987,3390.6829,3437.8971,1808.783,1234.7328,910.8943,1025.2981,763.7769,776.5302,532.2347,422.6994,861.245,333.566,154.9071,984.2143,5100.386,3474.9757,1790.7673,1206.9592,733.193,804.7048,781.9234,655.2019,612.7067,570.1463,1208.5372,21445.184,167,822,6377,6099,3463,3502,3540,3266
"2022-10-28 22:",3542,5,82,0,13.1,0,0.7,76,0,0,34,171.61,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,779.5837,430.9686,677.0453,521.7804,681.3642,680.1079,810.4254,818.1765,856.5856,775.2282,825.6201,658.6005,431.9636,967.5771,877.8781,509.6418,663.462,687.1633,850.2913,792.9353,990.3779,972.4314,1040.6952,920.8047,957.0462,883.9648,632.3351,1463.8272,6014.4457,230,492,6377,6099,3463,3502,3540,3266
"2022-06-26 00:",3534,10,76,1,25.7,0,2.5,84,0,8,29,660.49,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,562.3969,235.986,510.521,1317.6842,1256.8291,902.3047,1131.1146,918.1446,912.6228,1047.258,1041.0872,769.795,568.6513,806.3593,482.1265,235.7702,591.937,1642.4297,1329.9983,1040.6993,994.3681,887.0952,835.7251,899.4801,1058.4244,862.3516,575.0491,1473.1395,9615.428,47,0,6377,6099,3463,3502,3540,3266
"2022-09-22 17:",3588,1,283,0,23.8,0,2.3,51,0,9,42,566.44,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,423.0539,177.061,735.5762,2044.6248,1458.6058,929.1271,938.29,757.5139,846.7785,635.8821,703.7657,477.8209,393.4179,635.8426,434.0451,212.6588,795.9378,2192.7095,1231.5687,896.5699,815.8848,711.3494,683.9875,694.9443,621.9847,554.2435,451.0745,927.9981,10507.3806,701,0,6377,6099,3463,3502,3540,3266
"2022-03-02 13:",3500,4,29,1,8.5,0,4,31,0,0,44,72.25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,439.8038,154.7134,150.9495,341.8378,606.9124,525.0295,657.3327,590.0208,501.8619,558.4757,636.9932,452.2215,354.4502,573.5707,238.1435,93.7489,182.4758,436.4027,647.4922,630.084,647.8913,456.1746,527.5339,544.5545,582.8516,506.4512,386.0235,810.7394,4492.9826,212,0,6377,6099,3463,3502,3540,3266
"2022-11-07 11:",3543,2,428,0,12.3,0,1.4,61,0,7,63,151.29,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,288.9168,120.9206,637.7849,2475.6526,1700.8172,975.3621,1031.2215,868.7396,935.9149,710.9064,713.1336,456.937,334.4095,758.7569,312.0999,152.9121,838.8407,2764.7895,1381.5615,968.5139,844.1993,743.366,672.3925,648.3425,625.1387,490.7085,393.9878,1008.6092,12142.1176,372,0,6377,6099,3463,3502,3540,3266
"2022-10-03 19:",574,1,21,1,23.3,1.2,3.5,96,0,10,19,542.89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,462.083,154.0277,299.2181,694.7016,842.3543,731.4849,716.4054,519.9159,565.1437,490.2838,520.0832,382.5327,241.5596,486.3808,502.208,179.56,375.4772,931.9986,1053.3408,944.8903,792.9507,569.7996,507.8202,469.8751,566.5273,430.8539,376.5187,798.8943,6708.1266,234,1135,6377,6099,3463,3502,3540,3266
"2022-08-11 23:",3573,2,88,0,24.9,0,2.7,84,0,8,9,620.01,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,350.8118,116.9375,157.5029,514.117,751.3137,765.7201,719.5044,548.9039,489.1372,418.7846,367.9706,293.4236,199.6619,399.5091,354.9681,126.9158,231.7707,679.2529,988.7373,888.3779,701.7989,503.5526,384.0509,380.5566,445.9033,322.0524,291.1838,736.9136,6008.8222,165,634,6377,6099,3463,3502,3540,3266
"2022-10-10 18:",3571,3,37,0,9.4,0,5.6,71,0,6,10,88.36,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,577.6692,266.6159,1550.0383,4927.7956,4106.8134,2245.3427,1635.2703,1030.5735,1134.8957,1016.4831,851.6432,630.4037,466.2792,888.8145,580.3042,269.4915,2140.2041,6982.2461,4329.4569,2110.4481,1413.4503,892.9218,1022.9398,943.7798,815.3394,714.1491,541.8352,1181.4659,27750.8234,566,2740,6377,6099,3463,3502,3540,3266
