"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-12-21 09:",592,0,-1.2,2,2.5,94,3.4,10,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653.1279,301.4434,870.7969,3277.5576,2989.7675,1651.3102,1431.1525,1089.8298,1209.138,929.7985,994.2132,635.5803,482.764,862.4004,949.9179,441.1389,995.4733,5147.8835,3234.736,1780.1568,1318.2616,915.3249,1003.5733,917.7864,818.3941,701.7892,556.4512,1344.3067,669,3256,6377,6099,3463,3502,3540,3266
"2022-09-04 02:",592,1,22.2,0,3,67,0,9,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,347.2868,160.2862,860.7422,4529.8666,4370.7156,2044.195,1519.9581,886.6812,1025.0733,824.6125,801.2439,528.5196,416.7022,795.0587,358.0146,166.2607,1241.4899,6417.1263,4143.7341,1890.2631,1351.4705,790.7449,758.743,766.0501,627.8373,655.8743,504.5109,1108.6427,24,0,6377,6099,3463,3502,3540,3266
"2022-09-23 04:",592,0,16.3,0,1.8,78,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.3721,178.3255,776.1438,3963.8649,3734.8229,1935.6119,1394.7164,932.8431,1061.2794,870.1851,817.9119,548.2427,451.634,774.7172,401.2123,186.3218,1097.9985,6352.3511,4104.5713,1932.6173,1405.7609,831.8044,826.3,757.6178,653.8889,609.8073,508.6765,1175.3375,45,7,6377,6099,3463,3502,3540,3266
"2022-12-12 18:",592,1,3.5,2.9,2.7,91,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,429.85,198.3916,1533.1822,4547.6097,3672.3252,2187.0426,1804.4031,1242.3711,1472.7428,1116.5776,1006.3009,708.31,465.847,940.6121,382.9833,177.8566,1798.77,6790.8825,4135.159,2277.1383,1634.2554,1160.5626,1206.366,1045.5308,911.9933,790.0941,559.7134,1235.7163,683,3207,6377,6099,3463,3502,3540,3266
"2022-03-20 17:",592,2,8.4,0,4.4,45,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,707.0181,326.3153,1864.7183,4312.4961,3955.6168,2203.7725,1556.318,1157.001,1108.7463,860.0622,769.7596,631.6387,451.698,817.1508,718.7988,333.808,2564.9671,6288.2817,3987.6312,1972.4366,1387.5149,947.3589,974.7595,850.3547,786.4519,699.0452,540.536,1216.3911,438,2323,6377,6099,3463,3502,3540,3266
"2022-09-10 15:",592,2,27.8,0,3.6,42,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,708.2487,326.8833,693.9365,2171.6363,2045.127,1324.5573,1069.3489,848.3153,1018.1851,770.9519,696.5408,534.4921,375.5646,741.9084,608.6959,282.6762,1049.011,3321.2801,2122.0111,1255.2521,1063.8087,741.1555,867.4563,844.0183,700.9696,565.3669,547.9879,1161.9601,290,1490,6377,6099,3463,3502,3540,3266
"2022-09-01 06:",592,1,18.5,0,1.3,95,0,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.1039,194.3551,802.3402,3705.4613,3561.3993,1906.7621,1376.0632,1014.6206,1064.5936,843.1452,768.7915,558.15,370.8748,812.2792,396.8753,184.3075,1039.7733,6175.873,3920.5356,1901.0291,1355.8252,793.593,807.2308,794.1149,709.6343,703.5915,530.997,1260.9917,252,1026,6377,6099,3463,3502,3540,3266
"2022-10-27 21:",592,2,13.2,0,0.9,83,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,563.2546,259.9632,2245.8436,7871.233,4703.141,2384.6647,1711.871,1236.928,1311.3483,1077.5131,912.3525,647.686,465.3717,884.799,481.9645,223.8224,2754.9441,10575.6014,4801.1257,2236.1662,1614.1263,972.6484,1085.2681,927.7502,884.8917,763.5679,620.4771,1453.6646,701,3662,6377,6099,3463,3502,3540,3266
"2022-05-19 00:",592,2,18.4,0,2.2,62,0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.3742,194.942,1144.0563,4296.5521,3976.9743,2035.4612,1396.4634,1058.4175,1046.4597,814.1604,797.7508,596.4851,428.4627,855.4746,341.0469,158.3809,1428.3415,6529.5402,4123.6716,1992.7529,1318.3383,793.9358,787.5134,741.8957,677.5773,624.0765,525.8123,1098.272,388,1,6377,6099,3463,3502,3540,3266
"2022-04-08 02:",592,0,6.6,0,0.8,72,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.8494,215.0069,875.3433,3685.1395,3695.3082,1879.8679,1305.211,915.7402,977.0233,750.7229,748.7852,512.029,428.0516,856.7708,313.9593,145.8017,1137.4569,6095.7744,3910.6967,1940.5003,1285.7531,795.1528,810.7147,714.8565,667.8162,639.9194,505.5342,1148.7381,33,0,6377,6099,3463,3502,3540,3266
"2022-01-14 12:",592,3,-2.3,0,1.5,33,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,454.38,209.7136,721.5939,2799.1224,2755.091,1639.5613,1491.834,1166.6427,1278.9523,1046.4941,1005.1665,777.8785,523.5256,895.8703,441.5234,205.042,1255.6501,4417.7039,3076.9189,1729.4144,1506.3952,1154.6784,1094.4911,988.3978,968.6527,851.8484,641.4015,1258.9318,374,1736,6377,6099,3463,3502,3540,3266
"2022-09-24 13:",592,5,22.6,0,3.8,42,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,654.1136,301.8983,1127.4035,3933.5847,3528.5032,2062.5676,1686.7822,1194.3318,1244.3474,903.5094,978.3302,623.0258,418.4339,840.4163,939.5794,436.3382,1552.9559,5733.9286,3726.4092,1944.9962,1862.3042,1240.0848,1233.5249,934.9623,817.8306,781.8651,561.714,1220.5168,576,2744,6377,6099,3463,3502,3540,3266
