"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-01-24 16:",3878,0,7.5,0,3.2,45,0,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1572.2397,1329.1286,1437.8924,948.6612,750.479,722.8918,953.8787,1085.8352,1345.3581,1082.9537,1126.0778,838.3866,609.2751,1277.6433,1829.3128,1532.3315,1239.8082,1115.2572,840.4499,849.1455,1344.1857,1588.0693,1902.5621,1391.3827,1394.1976,1037.6423,772.1604,1761.3344,246,679,6377,6099,3463,3502,3540,3266
"2022-11-11 15:",577,3,22,0,1.8,43,0,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1787.0922,1510.7588,1492.2848,900.0533,816.7122,838.9499,1005.7839,1121.1322,1303.7185,1120.8745,971.7562,795.7982,649.1712,1184.3903,1978.8254,1657.5715,1523.7631,941.7392,997.8057,987.3768,1462.2804,1641.3463,1899.8089,1349.7237,1336.6381,1027.9698,778.8789,1861.4935,466,859,6377,6099,3463,3502,3540,3266
"2022-08-31 22:",3521,1,21.1,0,1,83,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1594.3921,1347.8563,1683.0317,854.3423,897.5207,751.3414,1037.3594,1430.8761,1802.7947,1523.0781,1197.8753,872.9714,670.8571,1267.4803,1774.8651,1486.7237,1675.3862,1045.1394,1000.3166,884.4638,1429.1833,1850.3887,2203.2192,1507.2404,1458.3718,892.9376,712.3657,1518.0078,159,353,6377,6099,3463,3502,3540,3266
"2022-09-14 22:",576,2,23,0,4.3,61,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1588.2073,1342.6274,1564.94,930.4721,852.6787,750.2609,1010.0841,1425.9406,1834.5844,1513.1573,1203.7906,844.7991,659.2951,1278.6075,1869.7653,1566.217,1594.1424,1131.3327,1010.1182,870.4367,1529.6782,1958.6955,2218.3991,1539.653,1474.9166,907.0761,724.1175,1545.2596,212,338,6377,6099,3463,3502,3540,3266
"2022-10-03 13:",544,0,22.6,2.5,2.7,100,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1354.4868,1145.0469,1529.5412,951.4672,853.6175,774.3239,1039.7741,1262.9822,1818.3039,1482.8605,1212.952,849.1237,583.7279,1195.9001,1483.1828,1242.3942,1497.896,1062.1958,943.744,839.7214,1360.4673,1646.8677,2062.3656,1483.1184,1338.3366,913.223,713.3637,1574.4596,194,465,6377,6099,3463,3502,3540,3266
"2022-03-25 01:",3878,0,8.2,0,2.2,76,0,9,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1788.2087,1511.7028,1749.1555,1032.3381,879.1672,782.5284,1078.3452,1606.8813,1956.6845,1561.5499,1228.879,839.6665,654.4068,1159.1645,2029.4856,1700.0074,1705.6518,1166.4083,983.5163,853.5325,1535.1784,2090.7475,2297.5764,1587.5892,1364.7031,885.1845,725.2349,1522.4621,8,0,6377,6099,3463,3502,3540,3266
"2022-05-24 00:",3878,0,19.2,0,1.4,75,0,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1763.6066,1490.905,1696.1686,942.4005,840.9196,773.1166,1066.3355,1616.7882,1915.9954,1541.6762,1228.2728,835.6904,625.4059,1152.5385,1996.7139,1672.5558,1723.4773,1126.8472,964.0172,828.17,1525.7162,2031.4092,2302.4782,1606.2541,1358.1665,911.9224,680.5524,1595.3795,40,0,6377,6099,3463,3502,3540,3266
"2022-01-29 15:",576,0,0.1,0,4.3,29,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1252.7263,1059.0212,1238.4792,876.3297,801.7429,736.7696,1047.2488,1321.0772,1577.5303,1437.8982,1285.7223,879.9263,698.4875,1237.9927,1345.739,1127.2638,1135.6621,1106.6016,811.897,854.1939,1242.8134,1485.3276,1839.2857,1413.2245,1331.3147,908.2898,726.4602,1565.49,224,721,6377,6099,3463,3502,3540,3266
"2022-05-20 09:",577,3,19.7,0,1.5,54,0,7,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2062.3909,1743.4902,1605.4613,1026.8649,812.3312,816.8082,959.4434,1089.8814,1285.0428,1061.3202,1044.8367,900.7216,673.2416,1325.4191,2410.5485,2019.2058,1556.9425,1172.3149,1072.996,848.5474,1475.2493,1699.5922,1762.9205,1426.5605,1411.2545,1022.6828,816.8157,1916.5098,289,1230,6377,6099,3463,3502,3540,3266
"2022-09-13 14:",3878,0,26.3,0,3.2,66,0,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1991.943,1683.9342,1577.1303,792.4525,873.7031,790.2761,1000.4697,1084.2266,1256.6512,1090.6029,893.9096,724.3184,615.4944,1190.1154,2289.3962,1917.7228,1452.6677,987.7658,869.3079,875.184,1378.0457,1584.7441,1811.288,1393.3651,1373.6003,950.5566,798.6974,1790.59,225,713,6377,6099,3463,3502,3540,3266
"2022-06-27 00:",3878,0,26.9,0,2.3,80,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677.6244,1418.2187,1791.6983,964.1777,824.4564,803.5969,1107.3801,1645.0671,2007.9891,1685.0769,1289.3175,866.2469,653.9611,1163.7657,2038.4009,1707.4757,1828.9797,1153.8168,1030.2081,880.0675,1618.9236,2038.9508,2386.1562,1604.0766,1441.7533,903.134,720.7444,1544.5246,35,18,6377,6099,3463,3502,3540,3266
"2022-11-12 18:",3521,0,17.1,6.7,1.1,90,0,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1315.5691,1112.1466,1252.4436,852.3442,813.4942,997.1058,1249.4734,1433.785,1740.4539,1382.3951,1151.4232,789.5847,637.0964,1223.162,1520.8126,1273.9149,1262.5856,1054.2017,1159.3821,1163.0701,1521.3417,1788.0822,1922.1269,1370.1206,1202.6729,928.7306,636.4426,1422.4592,249,573,6377,6099,3463,3502,3540,3266
"2022-01-07 03:",3516,0,-5,0,1.2,56,0,0,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756.2948,1484.7235,1822.8766,947.0865,866.8379,746.4218,1043.9894,1627.8011,1890.9447,1541.7185,1220.2502,808.1982,672.1624,1158.9367,2000.947,1676.1021,1624.3941,1228.257,973.2739,832.7285,1585.3908,2025.8135,2213.3741,1562.9957,1365.3876,909.5652,700.832,1606.8467,0,0,6377,6099,3463,3502,3540,3266
"2022-07-13 18:",544,0,24.4,14.1,0.4,97,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1367.2194,1155.8101,1309.597,836.5439,758.4711,802.8599,1064.2986,1319.9427,1436.3738,1205.7583,1174.5133,866.9362,551.0524,1236.8657,1669.2207,1398.2297,1342.0955,1044.2386,1090.9117,915.2753,1363.6579,1780.3369,2037.7757,1540.5733,1398.0047,1033.7891,746.1505,1630.3794,420,1229,6377,6099,3463,3502,3540,3266
"2022-06-28 06:",3570,4,27,0,8.6,79,0,10,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.604,349.0979,767.6294,1100.8706,1604.3877,1531.3055,1359.6387,1252.9768,1327.5253,1014.8875,946.9874,693.2034,456.3882,1037.9204,704.2669,375.1127,612.2572,1324.7403,1969.9365,1606.7244,1576.6912,1227.2682,1268.325,1122.6506,1171.8647,921.2748,654.0411,1548.8951,245,1129,6377,6099,3463,3502,3540,3266
"2022-06-17 15:",3878,0,27.9,0,1.4,58,0,7,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1672.9464,1414.2635,1266.9646,877.5253,708.679,763.2886,922.279,1068.7626,1188.4035,1010.736,994.8802,781.4874,613.9407,1254.8854,2049.0406,1716.3874,1404.5416,1070.4772,973.0118,923.3338,1370.8039,1537.9113,1723.059,1360.1142,1394.2487,1091.5038,848.5785,1848.3649,434,875,6377,6099,3463,3502,3540,3266
"2022-03-25 05:",3564,0,6.5,0,1.3,80,0,8,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1794.7696,1517.2495,1743.5938,998.9433,913.9113,806.2402,1091.1224,1622.5042,2019.7417,1598.5929,1344.4717,895.4044,692.448,1307.4027,2024.1069,1695.5016,1683.3127,1161.9098,973.6625,855.1755,1566.9392,2103.5863,2339.7531,1575.0326,1380.3698,910.3649,734.5747,1656.5884,40,180,6377,6099,3463,3502,3540,3266
