"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-03-31 08:",3575,5,9,0,0.8,81,0,10,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.5015,367.444,999.8131,1081.4666,1248.2531,1130.1298,1037.8323,1084.3659,994.5804,783.6076,726.4678,596.2533,462.4343,829.591,465.5423,269.2846,833.4706,1435.3603,1450.932,1167.8466,1145.8336,1082.6586,1001.4149,922.0841,993.3507,835.9316,559.2078,1287.4798,770,0,6377,6099,3463,3502,3540,3266
"2022-07-01 13:",3860,4,29.7,0,3.1,68,0,7,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,744.0923,343.4269,865.5521,3368.8914,2756.6205,1610.2475,1545.6855,1145.8507,1307.282,1110.3562,1030.2271,730.562,484.6207,897.5328,741.5953,344.3943,1353.3134,4927.4502,2990.6196,1771.917,1452.8471,1104.4324,1252.9509,960.7544,992.6543,755.0613,619.671,1319.1366,525,2012,6377,6099,3463,3502,3540,3266
"2022-07-18 02:",3586,1,24.8,0,0.3,85,0,2,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.9333,146.8767,349.4943,1102.3579,1454.9005,944.2769,986.8907,709.1267,567.2498,525.4483,544.8312,429.5523,294.5977,493.8815,348.9675,170.9752,307.8589,1684.6343,1423.811,991.9007,796.821,591.8514,495.6509,479.5083,507.9475,495.7016,369.2004,813.0518,10,0,6377,6099,3463,3502,3540,3266
"2022-02-22 14:",3503,0,-0.3,0,3.9,37,0,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1675.4744,1416.401,1528.36,949.5352,866.6565,698.3189,918.0954,1140.9993,1231.2928,1060.9212,1039.1065,804.5319,673.236,1226.7857,1741.3873,1458.6805,1468.7019,1085.0111,806.5945,852.804,1343.1262,1644.1799,1921.7245,1310.0349,1339.9835,1058.2564,765.6339,1860.2966,154,499,6377,6099,3463,3502,3540,3266
"2022-08-15 03:",574,2,27.4,0,3.5,84,0,9,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.055,127.3518,187.6786,446.3229,669.782,697.4303,601.5122,481.2701,458.3063,403.3875,421.7185,269.8465,175.4373,371.541,303.4306,108.4889,262.5924,530.282,805.2014,771.7522,581.9265,425.5862,375.8314,342.8723,416.0982,307.6806,302.8049,664.0698,7,0,6377,6099,3463,3502,3540,3266
"2022-07-23 03:",593,0,23.8,0,0.4,89,0,8,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,843.8035,394.7436,487.9381,609.8097,845.2969,940.8877,963.1311,902.7282,935.6279,673.813,749.783,677.6221,483.2746,886.58,710.7123,308.7142,515.7616,743.2808,1006.9413,962.3912,1086.3008,993.279,946.3169,771.1175,1029.3206,875.1381,601.1215,1402.4961,0,0,6377,6099,3463,3502,3540,3266
"2022-02-15 09:",593,0,-6,0,3.1,71,0,8,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944.9412,442.0571,451.1751,578.0587,734.8835,788.5825,858.5306,782.5177,855.8157,719.8929,694.3755,576.3931,455.6555,899.2762,745.2989,323.7378,500.5374,636.709,806.3586,786.6629,976.8386,764.4056,915.5772,746.5827,929.2209,749.4426,590.3507,1263.379,547,0,6377,6099,3463,3502,3540,3266
"2022-06-01 17:",574,7,27.1,0,3.4,30,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,848.319,282.7731,362.8873,831.5369,1008.2942,950.455,1090.1275,795.794,823.7366,613.2567,593.307,475.3848,328.9123,640.9112,1210.4266,432.7775,510.6176,1066.6938,1197.4941,1138.9844,1241.2956,964.7526,718.6429,600.1457,671.4598,580.5974,427.2205,1124.0466,437,2272,6377,6099,3463,3502,3540,3266
"2022-12-22 15:",3509,4,-6.5,0,5.9,48,1.8,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,442.8555,185.3489,455.8804,1429.7973,1334.2764,927.4698,946.4053,815.2499,774.2132,685.0007,709.7772,534.3352,312.0883,721.1646,328.2068,160.8037,465.8169,1822.8916,1222.8883,892.1971,848.5609,713.9924,716.5652,607.4294,662.1634,569.4561,485.8536,1153.2399,638,0,6377,6099,3463,3502,3540,3266
"2022-07-08 15:",573,4,27,0,2.7,79,0,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,614.2118,204.7372,281.3298,699.313,783.106,668.4183,746.6415,574.4021,659.6787,493.8445,551.7938,403.6212,303.8732,648.4855,545.3073,194.97,395.1788,829.7185,865.8607,746.785,822.7003,586.6799,573.7998,569.1098,645.7781,521.9039,428.1842,1097.3488,430,1950,6377,6099,3463,3502,3540,3266
"2022-11-29 20:",501,2,2,0,3.1,57,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,947.7666,489.2355,653.6514,754.4838,796.9903,716.0879,1101.4705,802.1111,936.6505,740.9839,768.6729,597.9423,475.8157,851.534,726.3502,386.0833,514.1862,1013.7779,935.2132,913.9666,1194.0563,1043.5912,1049.4675,879.2247,1064.1437,860.6338,638.7794,1414.9896,386,0,6377,6099,3463,3502,3540,3266
"2022-02-20 17:",3865,2,-1.1,0,4.5,31,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,873.5299,450.9147,631.1257,834.7962,949.5607,904.1654,1129.544,955.9279,953.0185,845.0698,782.8459,560.7383,457.1503,853.9087,891.7338,473.991,557.5967,1104.7677,1105.879,1040.307,1094.4094,1029.9195,1031.8421,991.0656,1088.4035,792.4504,592.2224,1184.7014,238,0,6377,6099,3463,3502,3540,3266
