"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-08-11 19:",500,12,26.1,0,1.7,80,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,453.8211,209.4555,1267.2886,4485.9195,3906.197,2223.8128,1776.3442,1219.6604,1238.8442,968.7604,894.5348,703.199,501.4407,904.6241,622.044,288.8754,1876.5743,6497.7494,4338.6685,2246.6943,1472.5512,963.9228,1091.7754,999.4223,887.8765,733.2643,622.5138,1343.296,812,2674,6377,6099,3463,3502,3540,3266
"2022-08-11 20:",500,4,25.9,0,1.9,82,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,448.6467,207.0675,1260.8924,4586.4585,4019.7439,2302.9163,1737.2554,1202.4334,1215.2788,962.4739,876.8427,684.9678,473.1311,872.3112,653.1501,303.3212,1759.202,6799.3948,4466.7216,2265.1051,1480.803,948.0822,1093.9984,927.0732,831.5122,745.9989,618.8314,1303.4625,630,2801,6377,6099,3463,3502,3540,3266
"2022-08-11 21:",500,9,25.7,0,1.8,84,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,455.3523,210.1624,1187.0293,4528.7083,4079.022,2290.4774,1719.0359,1084.4755,1132.7857,966.7156,869.7799,667.8565,468.7302,886.7343,541.214,251.3383,1669.0348,6698.3925,4338.1424,2200.8125,1430.44,889.3401,958.9133,900.7148,783.269,727.161,625.6423,1346.4899,679,3167,6377,6099,3463,3502,3540,3266
"2022-08-11 22:",500,9,25.3,0,1.8,86,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,438.7699,202.5088,1108.025,4472.3919,3962.4336,2205.1095,1612.5406,1078.1135,1070.4256,927.7391,883.848,645.4517,458.4486,865.5035,443.8046,206.1015,1432.1915,6384.755,4161.9865,2103.6551,1434.4323,902.5746,931.4992,871.3643,806.1953,718.4935,618.356,1292.0559,647,2926,6377,6099,3463,3502,3540,3266
"2022-08-11 23:",500,3,24.9,0,2.7,84,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,369.3498,170.4688,885.9271,4092.4565,3808.9016,2102.4754,1432.185,975.806,979.1216,772.2285,808.7982,576.3386,422.8519,794.1798,462.8083,214.9267,1162.627,6012.3644,3995.0245,1881.162,1280.2031,764.9052,791.9561,795.7873,687.0496,653.5573,501.7984,1158.1643,428,1771,6377,6099,3463,3502,3540,3266
"2022-08-12 00:",500,5,24.5,0,2.3,88,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.7854,168.3624,860.7144,4010.2961,3775.7731,2024.4619,1395.6572,950.9845,998.5648,762.7501,810.873,580.8523,406.1203,823.7725,489.1381,227.154,1065.9746,5978.7676,3891.406,1885.9296,1295.8859,727.3894,796.7055,809.6261,673.0194,658.4895,498.9244,1160.5043,246,691,6377,6099,3463,3502,3540,3266
"2022-08-12 01:",500,4,24,0,2,89,0,8,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.6517,177.9926,821.0368,3795.5426,3785.3136,2022.7604,1365.6251,963.9589,925.2612,756.155,771.8474,566.554,419.4957,799.0782,463.4291,215.2149,1023.8751,5773.2858,3895.0608,1882.3809,1251.0125,743.6086,803.8401,815.1345,651.878,639.4645,512.372,1168.1472,116,0,6377,6099,3463,3502,3540,3266
"2022-08-12 02:",500,2,23.6,0,1.6,89,0,7,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.9398,166.5879,815.1018,3730.6888,3705.9278,1984.2874,1310.8512,962.5917,947.464,774.5011,772.8027,549.9763,427.6207,824.6803,456.9137,212.1893,980.1131,5735.2924,3855.4264,1851.5134,1258.8124,726.8471,803.4067,793.9379,665.1461,656.5408,506.0995,1131.5946,67,0,6377,6099,3463,3502,3540,3266
"2022-08-12 03:",500,0,23.3,0,1,91,0,8,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.3212,172.3018,804.0583,3645.1193,3664.4489,1991.353,1297.6605,959.2161,930.3118,774.7266,807.923,545.841,414.0244,792.175,448.3187,208.1978,970.8864,5690.0943,3844.3612,1864.5063,1259.7136,752.0544,820.5023,787.6632,635.7537,641.3574,511.1998,1148.4663,77,0,6377,6099,3463,3502,3540,3266
"2022-08-12 04:",500,0,23.3,0,0.4,91,0,9,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.5035,174.2318,760.9907,3512.1012,3596.4329,1960.1896,1309.1714,959.1611,940.7606,760.5921,786.2965,562.8945,434.8223,792.262,475.5274,220.8336,966.9333,5617.9005,3805.3489,1857.3595,1261.169,767.7736,800.0326,791.7176,657.0478,647.8554,510.4556,1154.3119,46,7,6377,6099,3463,3502,3540,3266
"2022-08-12 05:",500,0,23.3,0,1.3,92,0,9,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.3528,172.3163,692.5043,3409.689,3520.767,1934.8298,1283.2696,950.201,959.7548,749.5779,755.2028,559.8572,414.2353,804.4549,459.4006,213.3444,910.909,5556.1765,3794.5696,1872.08,1277.3328,766.51,832.5262,796.1268,653.0424,653.1512,525.6443,1185.4649,103,644,6377,6099,3463,3502,3540,3266
