"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-05-07 19:",500,5,19.6,0,2.8,28,0,8,32,384.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,754.1158,348.0526,2399.9026,5773.6192,4807.657,2504.537,1823.1861,1204.3832,1311.3184,1047.0482,917.961,605.8564,456.4009,877.8933,871.7512,404.8387,3105.8308,7056.3639,4634.101,2029.4159,1506.3727,1014.9783,997.4224,932.1217,889.3572,705.4913,653.7192,1286.2397,30135.2528,541,3218,6377,6099,3463,3502,3540,3266
"2022-03-01 08:",3573,0,5.7,0,0.8,90,0,10,19,32.49,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475.1479,158.3827,259.089,596.6662,801.7526,827.8957,725.3022,535.7233,607.5853,508.0043,479.1412,336.3849,256.1818,517.3092,380.9151,136.1928,323.0737,770.3711,996.6677,888.6411,785.319,541.1994,560.6855,443.3385,566.8593,440.7683,366.3302,854.0015,6392.6156,171,934,6377,6099,3463,3502,3540,3266
"2022-02-27 01:",555,0,0.6,0,2.7,68,0,0,60,0.36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,976.4294,531.0725,843.5723,833.013,871.0603,877.5753,1096.0954,1041.2389,1176.3432,1251.1545,1097.759,809.3064,645.3592,957.303,1284.8915,671.5962,1023.8988,961.945,1133.3894,1032.4904,1108.9458,1200.2137,1481.2262,1240.467,1178.4013,954.0565,688.7786,1447.5814,7914.5146,0,0,6377,6099,3463,3502,3540,3266
"2022-09-29 17:",3865,8,25.7,0,1.7,44,0,0,44,660.49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,949.5545,490.1588,584.3381,682.169,681.0967,585.6696,822.2792,735.3371,777.6308,629.1457,660.1454,494.1847,436.8797,893.7787,885.3223,470.5835,639.6216,940.1132,860.4804,818.3145,1092.6451,844.9318,876.2476,803.4679,1076.0909,783.8286,710.7763,1423.1291,6482.7677,549,0,6377,6099,3463,3502,3540,3266
"2022-01-28 09:",3882,1,-5.2,0,2.7,62,0,1,28,27.04,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822.632,384.8389,541.8441,565.8799,759.3095,744.1887,841.9228,732.9856,886.5546,721.5682,676.4389,635.324,480.7998,866.3735,712.615,309.5409,533.6421,673.0002,752.4395,765.1071,937.8709,820.3459,816.5679,735.9771,831.8183,822.4255,570.2945,1360.1065,6039.7186,598,0,6377,6099,3463,3502,3540,3266
"2022-10-26 20:",3873,3,13.8,0,2.6,59,0,8,33,190.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,901.154,421.5726,409.9089,562.1751,712.1814,789.7194,815.1508,831.2567,843.6494,732.8475,712.026,568.8209,461.0714,924.2254,895.249,388.8719,432.1577,589.4188,825.7537,828.1849,1095.7376,835.3924,853.1633,733.3773,891.7244,740.9241,555.2316,1255.5793,6218.3217,221,0,6377,6099,3463,3502,3540,3266
"2022-08-07 09:",590,0,28.1,0.9,1.6,86,0,9,13,789.61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,426.8119,196.9899,592.6138,3023.5178,3246.3787,1835.1771,1268.0212,972.1529,991.2363,770.7427,799.5635,502.8178,380.8349,753.7364,400.5613,186.0194,878.1749,4710.4723,3305.6526,1687.3347,1216.352,865.6076,802.9267,741.1751,710.0772,639.4732,548.3122,1188.1043,20292.9064,377,1645,6377,6099,3463,3502,3540,3266
"2022-11-19 19:",543,7,14.6,0,0.6,49,0,9,32,213.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1296.487,705.1491,1385.6382,928.7416,1055.0421,1057.6782,1341.7256,1227.4898,1490.9828,1295.9055,1024.3391,823.4801,572.2399,1106.0619,1424.3351,744.4817,1362.1578,1076.2553,1101.4676,1061.5979,1368.6618,1262.8291,1500.6477,1360.2004,1215.5998,1098.2669,761.7222,1501.4978,8991.1701,367,1528,6377,6099,3463,3502,3540,3266
"2022-12-19 17:",3578,0,-3.5,0,2.2,45,1.1,8,25,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,744.269,347.0742,364.1364,433.9996,575.3494,512.9395,615.2046,540.5969,620.835,581.7326,621.1309,439.6962,294.027,670.9853,646.1782,319.4582,299.5742,440.6461,604.8947,648.3069,804.1812,613.4679,631.0276,614.0138,754.2834,620.0204,505.5947,1071.0041,4635.522,392,0,6377,6099,3463,3502,3540,3266
"2022-04-15 23:",3880,1,12,0,2.1,51,0,0,18,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,622.7597,344.2733,668.2066,620.1902,687.3494,771.1865,797.8136,837.5656,906.9125,766.8813,827.7533,630.0564,401.5581,982.9299,737.5093,428.152,734.5816,743.3231,832.3617,825.4382,896.318,1026.6969,1056.0308,895.7058,893.4216,830.7063,665.4607,1543.5586,6173.9807,138,124,6377,6099,3463,3502,3540,3266
