"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-11-05 06:",593,1,1.3,0,1.4,59,0,0,25,1.69,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1058.5564,495.2076,469.2556,651.1538,856.4591,990.1371,1074.7484,882.3987,950.1051,764.5427,830.3313,708.3718,471.5819,990.7473,839.5912,364.6952,553.1549,698.6336,1005.2418,947.7543,1220.3447,936.4858,951.8722,791.9928,1020.3041,860.2149,602.7263,1464.9638,7444.4728,183,0,6377,6099,3463,3502,3540,3266
"2022-03-11 20:",593,2,13.1,0,1.5,64,0,6,80,171.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,881.5952,412.4231,504.5193,548.4918,873.2426,879.3801,948.7662,914.1811,898.4224,809.7991,712.4417,655.5511,467.3452,924.6884,884.0485,384.0069,497.3517,763.032,918.2407,921.1365,1068.2659,833.5548,939.0024,645.6106,831.5494,795.9629,588.0134,1298.7837,6920.5558,172,0,6377,6099,3463,3502,3540,3266
"2022-05-09 15:",593,3,24.2,0,3.4,33,0,3,22,585.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,863.488,403.9523,450.5751,555.2085,626.3611,603.0303,685.8578,620.0065,699.2669,653.0556,625.6648,590.6108,418.1208,833.2703,788.8776,342.6668,509.9661,470.2985,586.9318,615.2114,810.3883,640.7758,792.4633,662.1753,656.6331,667.7137,438.9216,1144.8184,4953.2877,263,0,6377,6099,3463,3502,3540,3266
"2022-12-23 15:",593,0,-9.2,0,5,53,1.7,1,21,84.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,959.787,449.0021,472.287,594.5434,565.9955,654.2158,740.7276,667.1233,768.6515,708.9121,738.7302,547.2269,388.4494,810.8105,813.1872,353.2261,452.6084,499.1527,602.5031,731.7186,892.6537,725.9572,709.2833,616.3982,764.7219,709.8583,556.1853,1352.7957,5281.5104,358,0,6377,6099,3463,3502,3540,3266
"2022-05-25 21:",593,2,18.8,0.2,3.9,89,0,10,11,353.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,726.8265,340.02,429.0752,508.2437,796.0675,880.2199,996.8449,890.9934,956.8501,784.1289,695.8343,626.1733,448.6116,802.9735,827.5747,359.4758,426.024,668.9424,922.3011,887.1577,1075.7869,904.8997,874.2043,723.4167,910.1328,739.0626,566.3177,1219.2617,6735.5641,197,0,6377,6099,3463,3502,3540,3266
"2022-02-24 16:",593,2,3.3,0,3.3,41,0,0,45,10.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,872.1727,408.0149,437.9647,490.1101,666.8461,708.9008,774.7488,732.9262,741.4077,713.0723,635.704,623.123,438.2226,827.8978,784.2992,340.6786,442.0062,619.3031,650.5982,740.1499,918.3693,715.5506,776.0014,646.7245,783.6745,757.4564,503.3314,1204.8486,5569.0263,316,0,6377,6099,3463,3502,3540,3266
"2022-11-24 06:",593,0,6.1,0,1.4,67,0,9,39,37.21,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957.9722,448.153,466.1642,584.8269,791.3588,980.118,1089.8017,918.6776,1051.057,906.8285,821.1517,662.7198,496.9208,997.8254,835.9265,363.1039,561.6278,680.3836,945.9107,1035.3904,1199.5768,1044.0099,929.9809,800.5734,964.6157,849.8888,602.7657,1403.8432,7307.3669,369,0,6377,6099,3463,3502,3540,3266
"2022-08-11 21:",593,3,25.7,0,1.8,84,0,8,14,660.49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,849.6965,397.5002,430.1722,540.8964,752.7873,847.614,901.5731,785.3544,952.6164,687.9934,645.255,631.235,425.115,879.5509,774.0691,336.2347,405.7921,625.2662,923.757,890.795,1094.8919,848.7309,822.492,670.5098,837.0287,734.7358,576.9496,1182.6051,6577.5809,186,0,6377,6099,3463,3502,3540,3266
"2022-01-15 10:",593,3,-2.3,0,1.9,44,0,9,40,5.29,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,858.9007,401.806,423.5428,661.5506,879.1782,1006.7927,983.2005,917.7662,914.0304,802.1471,757.4392,647.025,489.6244,801.4501,730.666,317.3815,500.6096,768.877,954.6858,978.7544,1162.3209,867.4183,935.6435,762.5191,902.7672,855.0938,642.4851,1383.3072,7395.3601,335,0,6377,6099,3463,3502,3540,3266
"2022-07-16 05:",593,0,23.8,0,1.6,87,0,7,25,566.44,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,904.8434,423.2989,512.558,668.3192,814.9366,896.926,1015.6741,942.6302,889.1623,761.2853,739.7979,690.2278,463.606,1010.5137,745.6209,323.8776,551.9648,718.4366,997.0689,938.4873,1122.4422,966.8872,909.198,758.4197,1008.4663,807.0613,596.227,1431.2497,7172.2909,141,0,6377,6099,3463,3502,3540,3266
