"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-06-11 20:",3881,8,26.9,0,3.7,52,0,3,15,723.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,957.0692,447.7309,490.5896,610.0781,790.7421,876.4094,1016.8582,884.4628,930.9405,750.9052,776.544,655.8986,490.6525,906.621,737.035,320.1476,493.5784,733.7768,906.8737,816.8769,963.2229,881.1688,863.8751,685.5785,814.8986,785.8473,530.2753,1271.1866,6714.8381,195,0,6377,6099,3463,3502,3540,3266
"2022-08-25 08:",3881,20,22.3,0,2.2,82,0,9,16,497.29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.3007,472.1657,570.5462,587.3429,753.843,751.3994,848.5033,774.0443,949.5172,694.6844,685.3816,575.9624,423.8924,930.5288,1027.5437,446.337,600.7584,692.8788,843.1018,773.5106,1050.2135,818.593,876.8228,732.9446,926.237,788.8966,557.4099,1366.0681,6300.7933,1074,0,6377,6099,3463,3502,3540,3266
"2022-11-22 21:",3881,4,11.6,0,1.9,66,0,10,69,134.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,967.6584,452.6849,422.9546,559.3882,726.7798,897.4871,941.9765,836.3942,892.466,748.5895,744.149,629.1008,414.125,961.9664,888.2139,385.816,463.4178,643.8319,951.232,905.5697,1063.8441,850.2528,906.0034,775.9401,906.8821,791.8592,532.0592,1247.6159,6690.1093,187,0,6377,6099,3463,3502,3540,3266
"2022-01-23 05:",3881,1,-0.1,0,1.1,51,0,8,66,0.01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,840.6746,393.2797,495.3277,619.4605,946.5611,977.7699,1115.5758,905.6131,982.4874,751.7632,821.4561,750.192,567.9504,980.0502,721.7119,313.4918,551.4074,769.5249,948.34,984.0023,1119.4745,964.1438,948.4136,802.9981,970.3835,917.2248,653.9397,1440.6054,7480.709,46,0,6377,6099,3463,3502,3540,3266
"2022-03-08 09:",3881,2,4,0,2.4,48,0,9,50,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085.036,507.5952,404.2558,562.1607,769.1371,835.1256,869.1106,857.1309,847.0839,733.9537,682.5889,636.9277,434.4678,943.7634,1046.2549,454.4649,463.1626,659.3077,780.6478,830.5101,935.5591,795.4257,872.7759,767.232,894.7161,803.3671,582.4728,1332.1649,6241.5587,514,0,6377,6099,3463,3502,3540,3266
"2022-05-24 10:",3881,7,23.9,0,2.7,51,0,1,40,571.21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113.4526,520.8891,471.6179,502.726,636.1571,771.8897,680.2605,712.7005,775.072,663.0371,689.376,604.8831,433.0483,760.7171,1031.9313,448.2426,518.8773,563.8564,666.6715,689.6604,859.1643,717.1078,789.759,615.749,767.0081,724.2532,549.7408,1354.2712,5370.3859,325,0,6377,6099,3463,3502,3540,3266
"2022-12-21 08:",3881,4,-1.3,0,3.1,95,3,10,23,1.69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.2108,473.0592,543.7327,566.2464,739.6153,782.9543,933.9217,766.8751,884.7171,773.6511,687.2169,578.8668,403.5798,930.2782,969.8975,421.2971,476.9027,642.1331,800.0666,892.504,1118.1459,860.8034,849.2285,715.2812,878.0499,738.0966,597.8072,1394.7403,6475.5873,1282,0,6377,6099,3463,3502,3540,3266
"2022-12-24 17:",3881,1,-3.5,0,1.7,44,1.6,1,49,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,867.8777,406.0056,462.6137,580.7987,707.7449,735.1318,887.4954,813.1866,923.5908,687.8313,739.8217,584.6049,456.1087,937.2506,651.5284,283.0063,436.1179,589.6165,781.6257,793.7534,944.8595,808.9987,887.6507,685.0634,840.9224,677.9615,553.7756,1303.1552,6021.0259,379,0,6377,6099,3463,3502,3540,3266
"2022-09-19 02:",3881,1,24.9,0,0.6,76,0,10,10,620.01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972.1927,454.8058,560.932,610.1406,804.6932,965.4181,1041.6164,930.9199,982.6871,730.4394,807.2046,684.667,492.5179,1000.6725,888.9314,386.1278,504.811,709.0032,1069.3309,1047.198,1263.4559,1035.8376,995.5794,829.318,1064.2896,890.4783,697.0279,1374.862,7510.8563,2,0,6377,6099,3463,3502,3540,3266
"2022-11-28 11:",3881,1,12.9,0,3.5,45,0,7,39,166.41,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1095.1303,512.3178,478.9166,479.6118,585.0037,653.643,715.5075,613.1108,748.4933,711.8614,637.9564,549.8625,436.5934,946.3121,955.0541,414.8494,470.639,501.0666,688.3235,685.8759,841.0105,639.5708,810.6468,637.3197,724.7962,632.0493,501.6792,1219.1932,5150.0425,277,0,6377,6099,3463,3502,3540,3266
