"y","bus_passenger","past_rent","sub_passenger","temp","wet","X8_9","m25","m5","f20","m30","f0","sunny","f55","m40","m20","f25","m65","f65","f15","m45","f60","m0","wind","f30","m55","rain","dust","f70","f35","f45","m60","m35","most_use","f40","m70","m50","f50","cloud","weekend","X9_10","X17_18","X23_24","temp.sqr","X15_16","X22_23","semester","snow"
3,388,5,2054,2.5,46,0,3486.664,1297.0896,4712.0271,2063.8073,939.6766,1,823.7659,1109.1937,3120.7859,3529.1173,428.9827,596.9327,1688.3151,1091.4846,629.5059,864.6418,3.3,1830.8999,807.2075,0,46,1216.4534,1303.2258,954.9945,519.9179,1445.9994,21492.5267,994.0372,773.9112,853.4059,846.7644,0,1,0,0,0,6.25,1,0,0,0
0,465,3,2230,2.5,45,0,3669.4364,1600.7282,5063.1589,2082.8798,1007.2311,1,864.8622,1039.4907,3374.3148,3639.9819,385.5774,562.35,2171.2288,1119.0707,651.7925,777.8725,3,1920.2308,853.5617,0,37,1290.0584,1317.1841,956.3247,554.4749,1451.9756,22519.1623,973.9869,799.1847,863.2513,899.8927,0,1,0,0,0,6.25,0,0,0,0
3,464,5,2283,1.2,45,0,3893.5444,1846.4531,5532.0384,2206.5296,830.7737,1,836.6289,1053.9673,3887.7327,3886.1084,408.6593,538.1844,2424.7573,1098.6465,648.4771,741.337,2.7,1925.9611,859.1337,0,35,1274.2889,1307.3212,984.5096,585.6299,1526.3762,24165.612,903.5491,815.0186,863.1784,860.2495,0,1,0,1,0,1.44,0,0,0,0
0,406,3,2227,-0.5,40,0,4015.2045,2041.3181,5673.6481,2201.5787,637.631,0,788.0574,1041.9536,4151.5567,4022.5551,423.7561,577.2871,2460.2036,1046.2956,676.5605,650.3535,2.9,1985.6483,811.1428,0,34,1177.0982,1222.7737,958.3552,574.8783,1517.6441,24790.6092,920.1534,833.3295,889.1927,852.6026,0,1,0,0,0,0.25,0,0,0,0
1,371,0,2152,-1.6,41,0,4121.813,1931.3085,5723.259,2198.7499,546.9288,0,775.9222,1012.3337,4383.8353,3991.8154,427.686,559.4414,2455.9861,1060.9019,648.6117,648.1827,2,1914.8314,823.536,0,28,1223.7716,1315.8114,902.1259,552.3845,1547.3232,25197.4386,870.9679,829.5648,871.3076,810.5095,0,1,0,0,0,2.56,0,0,0,0
2,469,0,3853,-2.6,46,0,3996.4277,1639.9636,5350.0875,2047.8595,416.575,0,800.1316,964.321,3990.1439,3893.08,408.2072,551.7985,1915.152,1073.7328,691.6397,580.0914,1.6,1875.5813,808.785,0,27,1219.6571,1295.8298,898.2168,540.6714,1432.3184,23881.3281,809.7796,788.7672,803.9074,785.26,0,1,0,0,0,6.76,0,0,0,0
3,642,0,4295,-2.9,48,0,3656.7708,906.2387,4760.5238,1917.7334,419.1941,0,765.0819,942.9685,3147.1985,3619.6258,427.58,551.3256,1058.0538,1028.2462,666.741,558.5282,2.7,1843.4158,811.96,0,20,1175.6434,1194.3992,847.5671,547.0492,1363.413,21503.0803,783.3676,778.7249,841.3478,799.0475,0,1,0,0,0,8.41,0,0,0,0
2,290,3,1183,-3.8,49,0,3555.0641,642.8577,4706.2114,1884.5123,392.1807,0,737.9257,895.4819,2838.5561,3542.5483,434.2469,564.4722,767.9079,1039.9894,683.2331,576.0977,2.1,1842.3086,763.2258,0,33,1165.0347,1203.7896,827.7268,558.7961,1342.2597,20915.2501,795.783,793.1548,800.7484,799.6374,0,1,0,0,0,14.44,0,1,0,0
2,116,2,296,-4.4,48,0,3454.4892,412.8902,4753.8475,1756.178,302.5978,0,641.8205,892.449,2702.1775,3512.6591,409.5073,500.2525,635.5786,983.0021,613.1592,454.4504,2.9,1853.8448,704.2859,0,26,1144.6911,1167.7962,705.2005,527.5285,1322.5,20523.4923,711.2368,750.5164,746.819,693.2796,0,1,0,0,1,19.36,0,0,0,0
3,54,0,0,-5.2,51,0,3483.7838,429.0108,4745.3337,1746.7593,298.2608,0,640.3266,898.57,2739.8139,3556.0776,412.3134,494.7284,630.3021,991.3523,623.4963,470.1789,1.6,1867.0894,702.5412,0,27,1090.2994,1180.2811,710.2858,527.1577,1301.7749,20620.9137,689.1734,760.0452,731.7209,685.142,1,0,0,0,0,27.04,0,0,0,0
