"y","m30","f20","m25","X8_9","temp","sub_passenger","past_rent","f40","f50","f15","m20","f25","f45","f60","wet","m60","X9_10","semester","f35","m35","f55","bus_passenger","rain","m40","m55","m0","m50","m45","f30","dust","m70","m65","f65","f0","wind","sunny","m5","f70","X16_17","most_use","cloud","X15_16","X10_11","temp.sqr","X13_14","X12_13"
0,1676.1082,4255.3486,3069.2582,0,-2.9,0,0,685.7243,682.0035,607.0678,2550.0382,2997.0907,770.2866,615.1559,57,494.3149,0,0,1080.3975,1252.7303,619.1185,13,0,827.1632,726.0669,471.4803,745.1448,886.2969,1656.4244,55,763.9788,398.5573,510.7964,341.9429,2.1,0,506.7215,1135.7623,0,18537.3961,8,0,0,8.41,0,0
0,1675.8869,4273.9491,3066.2662,0,-2.6,0,0,660.4695,689.4129,588.4983,2538.5105,3008.6295,754.7675,622.665,57,496.8338,0,0,1060.8378,1256.0014,589.0645,19,0,817.9012,726.8703,492.5551,744.1317,875.2236,1641.1874,51,745.4565,406.412,484.6168,344.1256,1.9,0,524.8589,1126.2161,0,18521.2688,8,0,0,6.76,0,0
0,1698.6529,4276.3212,3082.9688,0,-2.1,0,0,659.0926,697.1884,605.8067,2514.5834,3002.3673,739.2058,619.0804,56,500.0517,0,0,1080.4464,1213.0688,595.6035,8,0,803.6301,716.3295,445.0988,750.5879,904.0857,1675.377,38,737.3836,417.9578,487.8129,355.3955,2.5,0,526.9761,1136.0043,0,18543.7858,9,0,0,4.41,0,0
0,1704.6129,4266.5884,3061.9827,0,-1.9,5,0,660.6537,679.593,637.0526,2554.3603,2968.2033,754.1053,635.7418,55,501.2277,0,0,1103.7989,1205.585,581.9424,12,0,796.9997,714.0956,434.6023,728.445,899.1318,1678.664,41,748.4007,414.0992,482.6152,338.3259,2,0,544.9547,1123.3199,0,18543.7955,8,0,0,3.61,0,0
0,1695.6564,4218.3895,3049.3064,0,-1.9,161,0,647.9535,675.7104,665.0012,2545.7365,2984.2089,731.9394,635.9868,56,510.728,0,0,1075.489,1224.7163,595.7291,37,0,821.4094,713.7302,412.9007,731.1179,906.7302,1659.9689,43,747.7826,426.0584,511.8701,324.6109,2.3,0,548.4396,1157.4969,0,18453.4719,9,0,0,3.61,0,0
0,1690.2626,4248.1746,3031.7595,0,-1.9,246,0,661.6567,680.5979,639.7209,2542.303,2973.5895,746.2945,658.7549,66,517.5398,0,0,1073.0664,1212.6061,601.7095,56,0,799.429,713.4863,420.7984,746.232,925.2835,1668.6876,43,759.6752,431.7673,538.8868,324.349,2.5,0,574.8667,1164.5989,0,18440.4493,9,0,0,3.61,0,0
0,1655.5987,4174.7932,3039.5463,0,-2.2,416,0,666.1195,680.5075,619.3514,2469.1511,2932.8963,735.9822,629.731,81,517.8935,0,0,1086.8994,1199.5701,620.8738,85,0,824.9195,734.231,414.7436,698.9761,907.0188,1639.6134,52,754.8039,438.3799,534.7857,314.2971,2,0,549.6872,1183.6856,0,18198.0685,9,0,0,4.84,0,0
0,1677.396,4060.9573,2979.8742,1,-2.2,789,0,683.126,691.9868,582.732,2445.8786,2869.5038,738.8499,650.1473,83,530.9345,0,0,1089.1511,1186.7689,641.7601,171,0,872.3767,772.8655,449.7321,687.7629,891.3126,1686.3704,54,734.9286,445.4824,537.8985,317.0563,2,0,566.1793,1176.5494,0,17995.9003,8,0,0,4.84,0,0
0,1660.2613,3916.1752,2847.3887,0,-1.9,1035,0,719.6571,730.6254,589.3282,2399.9479,2790.5682,762.4441,630.4952,82,516.6764,1,0,1116.403,1219.8663,678.2829,188,0.3,834.134,776.3128,457.7015,685.5117,880.3636,1644.2672,38,686.8144,456.9606,534.122,373.4072,1.4,0,518.2788,1159.131,0,17594.8778,8,0,0,3.61,0,0
0,1654.5955,3896.1996,2849.6423,0,-0.8,980,0,752.7486,793.803,632.6776,2348.6809,2789.9729,785.2918,686.5591,81,530.3676,0,0,1119.7084,1245.1284,708.6192,186,0,853.3559,794.1095,493.107,739.2145,971.919,1647.9914,46,732.5448,469.9947,529.7216,387.6929,0.7,0,575.6963,1192.8083,0,17551.9194,7,0,1,0.64,0,0
0,1704.4265,3902.4411,2874.238,0,0,1083,0,803.0257,808.333,704.0107,2428.9893,2823.5763,816.1618,649.8822,80,536.7211,0,0,1237.3767,1312.0558,764.3561,220,0,943.8775,785.4998,565.0802,776.9283,1014.5956,1610.8288,52,742.5658,427.9908,532.8006,359.1147,3.3,0,637.0834,1304.3411,0,17893.9325,8,0,0,0,0,0
0,1808.7333,4098.2867,3096.9322,0,1.4,1307,0,881.6837,803.6848,848.3786,2553.8709,3010.0309,866.4332,646.2579,74,529.9763,0,0,1245.0799,1358.0544,743.7875,251,0,973.1295,805.2971,569.5927,842.0146,1052.0858,1666.6389,65,693.9417,428.0588,541.7407,536.9017,2.4,1,774.3842,1288.6323,0,18837.6272,6,0,0,1.96,0,1
0,1888.7752,4258.0445,3235.9751,0,1.4,1489,0,952.7356,821.4102,983.88,2719.6056,3205.7348,935.6483,658.2622,67,532.6915,0,0,1306.1918,1387.0997,777.4661,343,0,1029.1762,808.177,815.6734,869.0742,1044.7225,1715.4634,59,755.5868,408.0048,533.556,818.0814,3.6,1,808.9133,1370.8558,0,19716.8901,3,0,0,1.96,1,0
0,1954.7321,4481.4933,3349.7157,0,2.4,1618,0,992.1802,846.7926,1331.7228,2882.892,3361.0543,968.025,654.9396,55,521.6277,0,0,1320.17,1497.7037,833.2126,367,0,1062.4139,804.7556,817.1264,883.5678,1137.1555,1794.8592,62,756.9006,408.1565,603.1208,878.6592,3.5,1,1002.3004,1245.7425,0,20642.6203,1,0,0,5.76,0,0
0,2063.8073,4712.0271,3486.664,0,2.5,2054,0,994.0372,846.7644,1688.3151,3120.7859,3529.1173,954.9945,629.5059,46,519.9179,0,0,1303.2258,1445.9994,823.7659,388,0,1109.1937,807.2075,864.6418,853.4059,1091.4846,1830.8999,46,773.9112,428.9827,596.9327,939.6766,3.3,1,1297.0896,1216.4534,0,21492.5267,0,1,0,6.25,0,0
0,2082.8798,5063.1589,3669.4364,0,2.5,2230,0,973.9869,899.8927,2171.2288,3374.3148,3639.9819,956.3247,651.7925,45,554.4749,0,0,1317.1841,1451.9756,864.8622,465,0,1039.4907,853.5617,777.8725,863.2513,1119.0707,1920.2308,37,799.1847,385.5774,562.35,1007.2311,3,1,1600.7282,1290.0584,1,22519.1623,0,0,0,6.25,0,0
0,2206.5296,5532.0384,3893.5444,0,1.2,2283,0,903.5491,860.2495,2424.7573,3887.7327,3886.1084,984.5096,648.4771,45,585.6299,0,0,1307.3212,1526.3762,836.6289,464,0,1053.9673,859.1337,741.337,863.1784,1098.6465,1925.9611,35,815.0186,408.6593,538.1844,830.7737,2.7,1,1846.4531,1274.2889,0,24165.612,0,0,0,1.44,0,0
0,2201.5787,5673.6481,4015.2045,0,-0.5,2227,1,920.1534,852.6026,2460.2036,4151.5567,4022.5551,958.3552,676.5605,40,574.8783,0,0,1222.7737,1517.6441,788.0574,406,0,1041.9536,811.1428,650.3535,889.1927,1046.2956,1985.6483,34,833.3295,423.7561,577.2871,637.631,2.9,0,2041.3181,1177.0982,0,24790.6092,0,0,0,0.25,0,0
0,2198.7499,5723.259,4121.813,0,-1.6,2152,0,870.9679,810.5095,2455.9861,4383.8353,3991.8154,902.1259,648.6117,41,552.3845,0,0,1315.8114,1547.3232,775.9222,371,0,1012.3337,823.536,648.1827,871.3076,1060.9019,1914.8314,28,829.5648,427.686,559.4414,546.9288,2,0,1931.3085,1223.7716,0,25197.4386,0,0,0,2.56,0,0
0,2047.8595,5350.0875,3996.4277,0,-2.6,3853,0,809.7796,785.26,1915.152,3990.1439,3893.08,898.2168,691.6397,46,540.6714,0,0,1295.8298,1432.3184,800.1316,469,0,964.321,808.785,580.0914,803.9074,1073.7328,1875.5813,27,788.7672,408.2072,551.7985,416.575,1.6,0,1639.9636,1219.6571,0,23881.3281,0,0,0,6.76,0,0
0,1917.7334,4760.5238,3656.7708,0,-2.9,4295,0,783.3676,799.0475,1058.0538,3147.1985,3619.6258,847.5671,666.741,48,547.0492,0,0,1194.3992,1363.413,765.0819,642,0,942.9685,811.96,558.5282,841.3478,1028.2462,1843.4158,20,778.7249,427.58,551.3256,419.1941,2.7,0,906.2387,1175.6434,0,21503.0803,0,0,0,8.41,0,0
0,1884.5123,4706.2114,3555.0641,0,-3.8,1183,0,795.783,799.6374,767.9079,2838.5561,3542.5483,827.7268,683.2331,49,558.7961,0,0,1203.7896,1342.2597,737.9257,290,0,895.4819,763.2258,576.0977,800.7484,1039.9894,1842.3086,33,793.1548,434.2469,564.4722,392.1807,2.1,0,642.8577,1165.0347,0,20915.2501,0,0,0,14.44,0,0
0,1756.178,4753.8475,3454.4892,0,-4.4,296,0,711.2368,693.2796,635.5786,2702.1775,3512.6591,705.2005,613.1592,48,527.5285,0,0,1167.7962,1322.5,641.8205,116,0,892.449,704.2859,454.4504,746.819,983.0021,1853.8448,26,750.5164,409.5073,500.2525,302.5978,2.9,0,412.8902,1144.6911,0,20523.4923,0,0,0,19.36,0,0
1,1746.7593,4745.3337,3483.7838,0,-5.2,0,0,689.1734,685.142,630.3021,2739.8139,3556.0776,710.2858,623.4963,51,527.1577,0,0,1180.2811,1301.7749,640.3266,54,0,898.57,702.5412,470.1789,731.7209,991.3523,1867.0894,27,760.0452,412.3134,494.7284,298.2608,1.6,0,429.0108,1090.2994,0,20620.9137,1,0,0,27.04,0,0
