"y","m30","f20","sub_passenger","m25","temp","past_rent","f15","f40","m20","semester","bus_passenger","X10_11","rain","X8_9","f45","X9_10","f25","wet","f50","m50","m35","m55","f55","m45","m0","cloud","X15_16","f35","m5","f30","f0","dust","f60","m40","f70","m65","sunny","wind","m70","temp.sqr","f65","m60","most_use","X12_13","X13_14"
0,1654.5955,3896.1996,980,2849.6423,-0.8,0,632.6776,752.7486,2348.6809,0,186,1,0,0,785.2918,0,2789.9729,81,793.803,739.2145,1245.1284,794.1095,708.6192,971.919,493.107,7,0,1119.7084,575.6963,1647.9914,387.6929,46,686.5591,853.3559,1192.8083,469.9947,0,0.7,732.5448,0.64,529.7216,530.3676,17551.9194,0,0
0,1704.4265,3902.4411,1083,2874.238,0,0,704.0107,803.0257,2428.9893,0,220,0,0,0,816.1618,0,2823.5763,80,808.333,776.9283,1312.0558,785.4998,764.3561,1014.5956,565.0802,8,0,1237.3767,637.0834,1610.8288,359.1147,52,649.8822,943.8775,1304.3411,427.9908,0,3.3,742.5658,0,532.8006,536.7211,17893.9325,0,0
0,1808.7333,4098.2867,1307,3096.9322,1.4,0,848.3786,881.6837,2553.8709,0,251,0,0,0,866.4332,0,3010.0309,74,803.6848,842.0146,1358.0544,805.2971,743.7875,1052.0858,569.5927,6,0,1245.0799,774.3842,1666.6389,536.9017,65,646.2579,973.1295,1288.6323,428.0588,1,2.4,693.9417,1.96,541.7407,529.9763,18837.6272,1,0
0,1888.7752,4258.0445,1489,3235.9751,1.4,0,983.88,952.7356,2719.6056,0,343,0,0,0,935.6483,0,3205.7348,67,821.4102,869.0742,1387.0997,808.177,777.4661,1044.7225,815.6734,3,0,1306.1918,808.9133,1715.4634,818.0814,59,658.2622,1029.1762,1370.8558,408.0048,1,3.6,755.5868,1.96,533.556,532.6915,19716.8901,0,1
1,1954.7321,4481.4933,1618,3349.7157,2.4,1,1331.7228,992.1802,2882.892,0,367,0,0,0,968.025,0,3361.0543,55,846.7926,883.5678,1497.7037,804.7556,833.2126,1137.1555,817.1264,1,0,1320.17,1002.3004,1794.8592,878.6592,62,654.9396,1062.4139,1245.7425,408.1565,1,3.5,756.9006,5.76,603.1208,521.6277,20642.6203,0,0
1,2063.8073,4712.0271,2054,3486.664,2.5,0,1688.3151,994.0372,3120.7859,0,388,0,0,0,954.9945,0,3529.1173,46,846.7644,853.4059,1445.9994,807.2075,823.7659,1091.4846,864.6418,0,1,1303.2258,1297.0896,1830.8999,939.6766,46,629.5059,1109.1937,1216.4534,428.9827,1,3.3,773.9112,6.25,596.9327,519.9179,21492.5267,0,0
1,2082.8798,5063.1589,2230,3669.4364,2.5,1,2171.2288,973.9869,3374.3148,0,465,0,0,0,956.3247,0,3639.9819,45,899.8927,863.2513,1451.9756,853.5617,864.8622,1119.0707,777.8725,0,0,1317.1841,1600.7282,1920.2308,1007.2311,37,651.7925,1039.4907,1290.0584,385.5774,1,3,799.1847,6.25,562.35,554.4749,22519.1623,0,0
0,2206.5296,5532.0384,2283,3893.5444,1.2,0,2424.7573,903.5491,3887.7327,0,464,0,0,0,984.5096,0,3886.1084,45,860.2495,863.1784,1526.3762,859.1337,836.6289,1098.6465,741.337,0,0,1307.3212,1846.4531,1925.9611,830.7737,35,648.4771,1053.9673,1274.2889,408.6593,1,2.7,815.0186,1.44,538.1844,585.6299,24165.612,0,0
0,2201.5787,5673.6481,2227,4015.2045,-0.5,0,2460.2036,920.1534,4151.5567,0,406,0,0,0,958.3552,0,4022.5551,40,852.6026,889.1927,1517.6441,811.1428,788.0574,1046.2956,650.3535,0,0,1222.7737,2041.3181,1985.6483,637.631,34,676.5605,1041.9536,1177.0982,423.7561,0,2.9,833.3295,0.25,577.2871,574.8783,24790.6092,0,0
2,2198.7499,5723.259,2152,4121.813,-1.6,1,2455.9861,870.9679,4383.8353,0,371,0,0,0,902.1259,0,3991.8154,41,810.5095,871.3076,1547.3232,823.536,775.9222,1060.9019,648.1827,0,0,1315.8114,1931.3085,1914.8314,546.9288,28,648.6117,1012.3337,1223.7716,427.686,0,2,829.5648,2.56,559.4414,552.3845,25197.4386,0,0
