"y","rain","wind","wet","snow","cloud","temp.sqr","sunny","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m5","m20","m25","m30","m35","m45","m50","m55","m65","m70","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger"
0,0,2.5,56,0,9,4.41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,445.0988,526.9761,2514.5834,3082.9688,1698.6529,1213.0688,904.0857,750.5879,716.3295,417.9578,737.3836,165.0447,605.8067,4276.3212,3002.3673,1675.377,1080.4464,659.0926,739.2058,697.1884,595.6035,619.0804,487.8129,1136.0043,8,0
0,0,2,55,0,8,3.61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,434.6023,544.9547,2554.3603,3061.9827,1704.6129,1205.585,899.1318,728.445,714.0956,414.0992,748.4007,157.1177,637.0526,4266.5884,2968.2033,1678.664,1103.7989,660.6537,754.1053,679.593,581.9424,635.7418,482.6152,1123.3199,12,5
0,0,2.3,56,0,9,3.61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,412.9007,548.4396,2545.7365,3049.3064,1695.6564,1224.7163,906.7302,731.1179,713.7302,426.0584,747.7826,150.7487,665.0012,4218.3895,2984.2089,1659.9689,1075.489,647.9535,731.9394,675.7104,595.7291,635.9868,511.8701,1157.4969,37,161
0,0,2.5,66,0.1,9,3.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420.7984,574.8667,2542.303,3031.7595,1690.2626,1212.6061,925.2835,746.232,713.4863,431.7673,759.6752,150.6269,639.7209,4248.1746,2973.5895,1668.6876,1073.0664,661.6567,746.2945,680.5979,601.7095,658.7549,538.8868,1164.5989,56,246
0,0,2,81,0.5,9,4.84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,414.7436,549.6872,2469.1511,3039.5463,1655.5987,1199.5701,907.0188,698.9761,734.231,438.3799,754.8039,145.9589,619.3514,4174.7932,2932.8963,1639.6134,1086.8994,666.1195,735.9822,680.5075,620.8738,629.731,534.7857,1183.6856,85,416
0,0,2,83,0.5,8,4.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,449.7321,566.1793,2445.8786,2979.8742,1677.396,1186.7689,891.3126,687.7629,772.8655,445.4824,734.9286,147.2402,582.732,4060.9573,2869.5038,1686.3704,1089.1511,683.126,738.8499,691.9868,641.7601,650.1473,537.8985,1176.5494,171,789
0,0.3,1.4,82,0.4,8,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,457.7015,518.2788,2399.9479,2847.3887,1660.2613,1219.8663,880.3636,685.5117,776.3128,456.9606,686.8144,173.4091,589.3282,3916.1752,2790.5682,1644.2672,1116.403,719.6571,762.4441,730.6254,678.2829,630.4952,534.122,1159.131,188,1035
0,0,0.7,81,0.3,7,0.64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,493.107,575.6963,2348.6809,2849.6423,1654.5955,1245.1284,971.919,739.2145,794.1095,469.9947,732.5448,180.0431,632.6776,3896.1996,2789.9729,1647.9914,1119.7084,752.7486,785.2918,793.803,708.6192,686.5591,529.7216,1192.8083,186,980
0,0,3.3,80,0.2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,565.0802,637.0834,2428.9893,2874.238,1704.4265,1312.0558,1014.5956,776.9283,785.4998,427.9908,742.5658,166.7717,704.0107,3902.4411,2823.5763,1610.8288,1237.3767,803.0257,816.1618,808.333,764.3561,649.8822,532.8006,1304.3411,220,1083
0,0,2.4,74,0,6,1.96,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,569.5927,774.3842,2553.8709,3096.9322,1808.7333,1358.0544,1052.0858,842.0146,805.2971,428.0588,693.9417,249.3356,848.3786,4098.2867,3010.0309,1666.6389,1245.0799,881.6837,866.4332,803.6848,743.7875,646.2579,541.7407,1288.6323,251,1307
0,0,3.6,67,0,3,1.96,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,815.6734,808.9133,2719.6056,3235.9751,1888.7752,1387.0997,1044.7225,869.0742,808.177,408.0048,755.5868,379.9147,983.88,4258.0445,3205.7348,1715.4634,1306.1918,952.7356,935.6483,821.4102,777.4661,658.2622,533.556,1370.8558,343,1489
1,0,3.5,55,0,1,5.76,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,817.1264,1002.3004,2882.892,3349.7157,1954.7321,1497.7037,1137.1555,883.5678,804.7556,408.1565,756.9006,408.0468,1331.7228,4481.4933,3361.0543,1794.8592,1320.17,992.1802,968.025,846.7926,833.2126,654.9396,603.1208,1245.7425,367,1618
1,0,3.3,46,0,0,6.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,864.6418,1297.0896,3120.7859,3486.664,2063.8073,1445.9994,1091.4846,853.4059,807.2075,428.9827,773.9112,436.3829,1688.3151,4712.0271,3529.1173,1830.8999,1303.2258,994.0372,954.9945,846.7644,823.7659,629.5059,596.9327,1216.4534,388,2054
1,0,3,45,0,0,6.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,777.8725,1600.7282,3374.3148,3669.4364,2082.8798,1451.9756,1119.0707,863.2513,853.5617,385.5774,799.1847,467.7551,2171.2288,5063.1589,3639.9819,1920.2308,1317.1841,973.9869,956.3247,899.8927,864.8622,651.7925,562.35,1290.0584,465,2230
0,0,2.7,45,0,0,1.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,741.337,1846.4531,3887.7327,3893.5444,2206.5296,1526.3762,1098.6465,863.1784,859.1337,408.6593,815.0186,385.8087,2424.7573,5532.0384,3886.1084,1925.9611,1307.3212,903.5491,984.5096,860.2495,836.6289,648.4771,538.1844,1274.2889,464,2283
0,0,2.9,40,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,650.3535,2041.3181,4151.5567,4015.2045,2201.5787,1517.6441,1046.2956,889.1927,811.1428,423.7561,833.3295,296.1139,2460.2036,5673.6481,4022.5551,1985.6483,1222.7737,920.1534,958.3552,852.6026,788.0574,676.5605,577.2871,1177.0982,406,2227
2,0,2,41,0,0,2.56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,648.1827,1931.3085,4383.8353,4121.813,2198.7499,1547.3232,1060.9019,871.3076,823.536,427.686,829.5648,253.9922,2455.9861,5723.259,3991.8154,1914.8314,1315.8114,870.9679,902.1259,810.5095,775.9222,648.6117,559.4414,1223.7716,371,2152
0,0,1.6,46,0,0,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,580.0914,1639.9636,3990.1439,3996.4277,2047.8595,1432.3184,1073.7328,803.9074,808.785,408.2072,788.7672,193.4563,1915.152,5350.0875,3893.08,1875.5813,1295.8298,809.7796,898.2168,785.26,800.1316,691.6397,551.7985,1219.6571,469,3853
0,0,2.7,48,0,0,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,558.5282,906.2387,3147.1985,3656.7708,1917.7334,1363.413,1028.2462,841.3478,811.96,427.58,778.7249,194.6726,1058.0538,4760.5238,3619.6258,1843.4158,1194.3992,783.3676,847.5671,799.0475,765.0819,666.741,551.3256,1175.6434,642,4295
0,0,2.1,49,0,0,14.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,576.0977,642.8577,2838.5561,3555.0641,1884.5123,1342.2597,1039.9894,800.7484,763.2258,434.2469,793.1548,182.1272,767.9079,4706.2114,3542.5483,1842.3086,1203.7896,795.783,827.7268,799.6374,737.9257,683.2331,564.4722,1165.0347,290,1183
0,0,2.9,48,0,0,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,454.4504,412.8902,2702.1775,3454.4892,1756.178,1322.5,983.0021,746.819,704.2859,409.5073,750.5164,140.5256,635.5786,4753.8475,3512.6591,1853.8448,1167.7962,711.2368,705.2005,693.2796,641.8205,613.1592,500.2525,1144.6911,116,296
0,0,1.6,51,0,1,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.1789,429.0108,2739.8139,3483.7838,1746.7593,1301.7749,991.3523,731.7209,702.5412,412.3134,760.0452,138.5116,630.3021,4745.3337,3556.0776,1867.0894,1180.2811,689.1734,710.2858,685.142,640.3266,623.4963,494.7284,1090.2994,54,0
