"y","station_dist","station_type","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_rent","X8_9","X9_10","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger"
0,232,0,27.4,0,3.5,84,9,27,750.76,0,0,0,0,0,0,0,0,0,0,0,0,387.507,178.8491,729.1224,3742.4565,3741.9573,1843.8775,1338.8754,886.154,985.1404,756.9966,764.3257,522.7083,386.239,791.4575,379.7288,176.3448,957.107,5518.7483,3612.2155,1706.1208,1193.6066,731.0914,732.7771,743.6055,597.5913,624.711,474.8782,1209.3442,22697.8579,26,0
2,61,1,21.4,0,4.1,77,3,13,457.96,0,1,1,0,0,0,0,0,0,0,0,0,520.0723,257.1686,200.5626,353.2837,545.5043,534.9241,588.0035,534.0849,567.1142,520.9067,589.2787,456.2542,314.5911,645.9222,523.6769,254.1224,244.1514,441.9097,560.5906,528.2969,624.8207,582.4677,669.4519,647.7717,689.1833,580.0691,486.3703,1109.3054,4177.3335,270,431
3,43,0,24.7,0,4.4,58,10,16,610.09,1,1,0,0,0,0,0,0,0,0,0,0,1069.1169,551.8765,804.3097,802.3126,673.0504,591.6864,724.9242,664.0836,727.2669,604.1819,552.9209,437.8557,414.3381,788.8493,981.985,521.9634,684.8223,788.8097,773.9152,728.173,1026.2023,823.6277,926.4009,797.3165,939.3231,794.366,523.843,1457.279,6109.0738,248,0
1,225,0,8,0,1.7,62,7,25,64,0,1,3,1,0,0,0,0,0,0,0,0,881.9369,479.6787,542.3096,802.7167,1038.5438,1111.9074,1169.8391,1197.7031,1226.1814,1118.5184,1109.6808,841.1904,557.6525,1144.7243,1070.04,559.2963,525.4166,985.8536,1298.7251,1140.3511,1285.8419,1170.3078,1533.3612,1219.0699,1127.1356,1084.1771,763.2986,1532.7662,8833.7787,505,5149
1,59,0,14.2,0.1,1.8,92,10,6,201.64,0,1,0,0,0,0,0,0,0,0,0,0,988.5245,537.6503,842.1953,724.9281,915.3714,900.7464,1132.2862,985.9777,1209.0023,1236.917,1146.3427,814.6466,623.678,970.0294,1251.2827,654.0295,915.0231,827.9114,1114.8428,1031.5359,1209.3948,1139.5872,1506.6193,1135.1143,1153.9967,997.6484,699.9023,1499.8684,7857.017,33,355
1,44,0,24.8,0,2.5,83,10,23,615.04,0,0,0,0,0,0,0,0,0,0,0,1,965.5458,525.1528,957.71,836.3817,905.9446,847.2525,996.8733,853.9101,1084.283,1088.2906,1001.5016,749.8572,586.9451,1000.6167,1153.9912,603.1763,1007.4583,830.6744,1012.6947,984.4458,1034.2977,1097.9169,1406.4734,1082.4767,1092.4502,945.2442,618.9086,1520.3447,7448.5647,0,0
0,92,0,1.8,0,3.4,73,8,50,3.24,0,1,1,0,0,0,0,0,0,0,1,1,941.5493,440.4706,503.5453,611.3267,760.5042,872.9724,976.0193,905.9693,930.4175,733.3818,797.1729,631.5611,446.6332,997.8973,795.5482,345.564,508.8674,680.273,834.8329,926.1077,1059.2245,887.5924,835.2426,764.1054,901.0929,786.9875,592.2954,1390.1094,6721.2607,127,0
0,220,1,21.4,1,1.9,99,10,23,457.96,0,0,0,0,0,0,0,0,0,1,0,0,381.652,159.7333,343.3316,1131.0089,1478.1568,1070.5838,1032.9664,769.4426,732.6291,694.5884,686.932,466.11,381.7842,633.5639,389.5312,190.8496,342.8989,1529.0616,1523.1945,1022.2754,1036.8328,747.8296,660.8976,581.3324,648.349,555.0333,430.8313,1058.7854,9824.0802,329,0
2,21,1,-4.3,0,3.2,69,2,42,18.49,0,0,0,0,0,0,0,0,0,0,0,0,362.477,120.8256,231.899,405.4251,625.5859,628.5612,668.3455,508.2295,623.0593,460.4958,478.9293,339.2752,250.6673,557.2154,478.3803,171.0405,204.6164,552.9423,772.0083,690.9423,691.1127,486.7726,425.6131,391.0407,492.9115,457.9926,352.9768,816.2515,5034.9233,122,761
0,59,0,19.6,1,2.6,97,10,23.5,384.16,0,1,0,0,0,0,0,0,0,0,0,0,976.1825,530.9378,537.6482,989.6019,1003.1335,996.6152,1223.4006,1162.7085,1249.6078,1155.1704,1098.5406,842.594,573.7513,1179.1235,1212.2486,633.627,540.6984,937.2438,1109.1133,1125.9613,1311.9236,1271.5657,1400.0867,1283.1915,1271.2915,1116.3898,813.3243,1684.779,8696.9932,423,1324
