"y","bus_passenger","sub_passenger","temp","wet","f15","sunny","m0","m40","m35","f0","m55","m70","m65","m20","f25","f35","f60","f45","f65","f55","most_use","m50","m45","m30","f40","wind","f70","m5","f20","dust","m60","past_rent","f50","f30","m25","rain","cloud","weekend","X8_9","X21_22","temp.sqr","X16_17","semester"
0,19,0,-2.6,57,588.4983,0,492.5551,817.9012,1256.0014,344.1256,726.8703,745.4565,406.412,2538.5105,3008.6295,1060.8378,622.665,754.7675,484.6168,589.0645,18521.2688,744.1317,875.2236,1675.8869,660.4695,1.9,1126.2161,524.8589,4273.9491,51,496.8338,0,689.4129,1641.1874,3066.2662,0,8,1,0,0,6.76,0,0
0,8,0,-2.1,56,605.8067,0,445.0988,803.6301,1213.0688,355.3955,716.3295,737.3836,417.9578,2514.5834,3002.3673,1080.4464,619.0804,739.2058,487.8129,595.6035,18543.7858,750.5879,904.0857,1698.6529,659.0926,2.5,1136.0043,526.9761,4276.3212,38,500.0517,0,697.1884,1675.377,3082.9688,0,9,1,0,0,4.41,0,0
0,12,5,-1.9,55,637.0526,0,434.6023,796.9997,1205.585,338.3259,714.0956,748.4007,414.0992,2554.3603,2968.2033,1103.7989,635.7418,754.1053,482.6152,581.9424,18543.7955,728.445,899.1318,1704.6129,660.6537,2,1123.3199,544.9547,4266.5884,41,501.2277,0,679.593,1678.664,3061.9827,0,8,1,0,0,3.61,0,0
0,37,161,-1.9,56,665.0012,0,412.9007,821.4094,1224.7163,324.6109,713.7302,747.7826,426.0584,2545.7365,2984.2089,1075.489,635.9868,731.9394,511.8701,595.7291,18453.4719,731.1179,906.7302,1695.6564,647.9535,2.3,1157.4969,548.4396,4218.3895,43,510.728,0,675.7104,1659.9689,3049.3064,0,9,1,0,0,3.61,0,0
0,56,246,-1.9,66,639.7209,0,420.7984,799.429,1212.6061,324.349,713.4863,759.6752,431.7673,2542.303,2973.5895,1073.0664,658.7549,746.2945,538.8868,601.7095,18440.4493,746.232,925.2835,1690.2626,661.6567,2.5,1164.5989,574.8667,4248.1746,43,517.5398,0,680.5979,1668.6876,3031.7595,0,9,1,0,0,3.61,0,0
0,85,416,-2.2,81,619.3514,0,414.7436,824.9195,1199.5701,314.2971,734.231,754.8039,438.3799,2469.1511,2932.8963,1086.8994,629.731,735.9822,534.7857,620.8738,18198.0685,698.9761,907.0188,1655.5987,666.1195,2,1183.6856,549.6872,4174.7932,52,517.8935,0,680.5075,1639.6134,3039.5463,0,9,1,0,0,4.84,0,0
0,171,789,-2.2,83,582.732,0,449.7321,872.3767,1186.7689,317.0563,772.8655,734.9286,445.4824,2445.8786,2869.5038,1089.1511,650.1473,738.8499,537.8985,641.7601,17995.9003,687.7629,891.3126,1677.396,683.126,2,1176.5494,566.1793,4060.9573,54,530.9345,0,691.9868,1686.3704,2979.8742,0,8,1,1,0,4.84,0,0
0,188,1035,-1.9,82,589.3282,0,457.7015,834.134,1219.8663,373.4072,776.3128,686.8144,456.9606,2399.9479,2790.5682,1116.403,630.4952,762.4441,534.122,678.2829,17594.8778,685.5117,880.3636,1660.2613,719.6571,1.4,1159.131,518.2788,3916.1752,38,516.6764,0,730.6254,1644.2672,2847.3887,0.3,8,1,0,0,3.61,0,0
0,186,980,-0.8,81,632.6776,0,493.107,853.3559,1245.1284,387.6929,794.1095,732.5448,469.9947,2348.6809,2789.9729,1119.7084,686.5591,785.2918,529.7216,708.6192,17551.9194,739.2145,971.919,1654.5955,752.7486,0.7,1192.8083,575.6963,3896.1996,46,530.3676,1,793.803,1647.9914,2849.6423,0,7,1,0,0,0.64,0,0
1,220,1083,0,80,704.0107,0,565.0802,943.8775,1312.0558,359.1147,785.4998,742.5658,427.9908,2428.9893,2823.5763,1237.3767,649.8822,816.1618,532.8006,764.3561,17893.9325,776.9283,1014.5956,1704.4265,803.0257,3.3,1304.3411,637.0834,3902.4411,52,536.7211,0,808.333,1610.8288,2874.238,0,8,1,0,0,0,0,0
0,251,1307,1.4,74,848.3786,1,569.5927,973.1295,1358.0544,536.9017,805.2971,693.9417,428.0588,2553.8709,3010.0309,1245.0799,646.2579,866.4332,541.7407,743.7875,18837.6272,842.0146,1052.0858,1808.7333,881.6837,2.4,1288.6323,774.3842,4098.2867,65,529.9763,0,803.6848,1666.6389,3096.9322,0,6,1,0,0,1.96,0,0
1,343,1489,1.4,67,983.88,1,815.6734,1029.1762,1387.0997,818.0814,808.177,755.5868,408.0048,2719.6056,3205.7348,1306.1918,658.2622,935.6483,533.556,777.4661,19716.8901,869.0742,1044.7225,1888.7752,952.7356,3.6,1370.8558,808.9133,4258.0445,59,532.6915,1,821.4102,1715.4634,3235.9751,0,3,1,0,0,1.96,0,0
2,367,1618,2.4,55,1331.7228,1,817.1264,1062.4139,1497.7037,878.6592,804.7556,756.9006,408.1565,2882.892,3361.0543,1320.17,654.9396,968.025,603.1208,833.2126,20642.6203,883.5678,1137.1555,1954.7321,992.1802,3.5,1245.7425,1002.3004,4481.4933,62,521.6277,1,846.7926,1794.8592,3349.7157,0,1,1,0,0,5.76,0,0
1,388,2054,2.5,46,1688.3151,1,864.6418,1109.1937,1445.9994,939.6766,807.2075,773.9112,428.9827,3120.7859,3529.1173,1303.2258,629.5059,954.9945,596.9327,823.7659,21492.5267,853.4059,1091.4846,2063.8073,994.0372,3.3,1216.4534,1297.0896,4712.0271,46,519.9179,0,846.7644,1830.8999,3486.664,0,0,1,0,0,6.25,0,0
1,465,2230,2.5,45,2171.2288,1,777.8725,1039.4907,1451.9756,1007.2311,853.5617,799.1847,385.5774,3374.3148,3639.9819,1317.1841,651.7925,956.3247,562.35,864.8622,22519.1623,863.2513,1119.0707,2082.8798,973.9869,3,1290.0584,1600.7282,5063.1589,37,554.4749,3,899.8927,1920.2308,3669.4364,0,0,1,0,0,6.25,1,0
1,464,2283,1.2,45,2424.7573,1,741.337,1053.9673,1526.3762,830.7737,859.1337,815.0186,408.6593,3887.7327,3886.1084,1307.3212,648.4771,984.5096,538.1844,836.6289,24165.612,863.1784,1098.6465,2206.5296,903.5491,2.7,1274.2889,1846.4531,5532.0384,35,585.6299,0,860.2495,1925.9611,3893.5444,0,0,1,0,0,1.44,0,0
0,406,2227,-0.5,40,2460.2036,0,650.3535,1041.9536,1517.6441,637.631,811.1428,833.3295,423.7561,4151.5567,4022.5551,1222.7737,676.5605,958.3552,577.2871,788.0574,24790.6092,889.1927,1046.2956,2201.5787,920.1534,2.9,1177.0982,2041.3181,5673.6481,34,574.8783,1,852.6026,1985.6483,4015.2045,0,0,1,0,0,0.25,0,0
0,371,2152,-1.6,41,2455.9861,0,648.1827,1012.3337,1547.3232,546.9288,823.536,829.5648,427.686,4383.8353,3991.8154,1315.8114,648.6117,902.1259,559.4414,775.9222,25197.4386,871.3076,1060.9019,2198.7499,870.9679,2,1223.7716,1931.3085,5723.259,28,552.3845,2,810.5095,1914.8314,4121.813,0,0,1,0,0,2.56,0,0
0,469,3853,-2.6,46,1915.152,0,580.0914,964.321,1432.3184,416.575,808.785,788.7672,408.2072,3990.1439,3893.08,1295.8298,691.6397,898.2168,551.7985,800.1316,23881.3281,803.9074,1073.7328,2047.8595,809.7796,1.6,1219.6571,1639.9636,5350.0875,27,540.6714,0,785.26,1875.5813,3996.4277,0,0,1,0,0,6.76,0,0
2,642,4295,-2.9,48,1058.0538,0,558.5282,942.9685,1363.413,419.1941,811.96,778.7249,427.58,3147.1985,3619.6258,1194.3992,666.741,847.5671,551.3256,765.0819,21503.0803,841.3478,1028.2462,1917.7334,783.3676,2.7,1175.6434,906.2387,4760.5238,20,547.0492,0,799.0475,1843.4158,3656.7708,0,0,1,0,1,8.41,0,0
