"y","m25","m50","f20","m30","temp","semester","sub_passenger","f15","f40","past_rent","bus_passenger","wet","X8_9","rain","X9_10","m45","m55","f50","m5","m35","cloud","f45","dust","m20","f70","f35","m0","m60","m40","m65","temp.sqr","f65","f25","f55","m70","f0","f60","wind","f30","most_use","sunny","X11_12","X13_14","X15_16","X10_11","X16_17","snow"
0,3069.2582,745.1448,4255.3486,1676.1082,-2.9,0,0,607.0678,685.7243,0,13,57,0,0,0,886.2969,726.0669,682.0035,506.7215,1252.7303,8,770.2866,55,2550.0382,1135.7623,1080.3975,471.4803,494.3149,827.1632,398.5573,8.41,510.7964,2997.0907,619.1185,763.9788,341.9429,615.1559,2.1,1656.4244,18537.3961,0,0,0,0,0,0,0
0,3066.2662,744.1317,4273.9491,1675.8869,-2.6,0,0,588.4983,660.4695,0,19,57,0,0,0,875.2236,726.8703,689.4129,524.8589,1256.0014,8,754.7675,51,2538.5105,1126.2161,1060.8378,492.5551,496.8338,817.9012,406.412,6.76,484.6168,3008.6295,589.0645,745.4565,344.1256,622.665,1.9,1641.1874,18521.2688,0,0,0,0,0,0,0
0,3082.9688,750.5879,4276.3212,1698.6529,-2.1,0,0,605.8067,659.0926,0,8,56,0,0,0,904.0857,716.3295,697.1884,526.9761,1213.0688,9,739.2058,38,2514.5834,1136.0043,1080.4464,445.0988,500.0517,803.6301,417.9578,4.41,487.8129,3002.3673,595.6035,737.3836,355.3955,619.0804,2.5,1675.377,18543.7858,0,0,0,0,0,0,0
0,3061.9827,728.445,4266.5884,1704.6129,-1.9,0,5,637.0526,660.6537,0,12,55,0,0,0,899.1318,714.0956,679.593,544.9547,1205.585,8,754.1053,41,2554.3603,1123.3199,1103.7989,434.6023,501.2277,796.9997,414.0992,3.61,482.6152,2968.2033,581.9424,748.4007,338.3259,635.7418,2,1678.664,18543.7955,0,0,0,0,0,0,0
0,3049.3064,731.1179,4218.3895,1695.6564,-1.9,0,161,665.0012,647.9535,0,37,56,0,0,0,906.7302,713.7302,675.7104,548.4396,1224.7163,9,731.9394,43,2545.7365,1157.4969,1075.489,412.9007,510.728,821.4094,426.0584,3.61,511.8701,2984.2089,595.7291,747.7826,324.6109,635.9868,2.3,1659.9689,18453.4719,0,0,0,0,0,0,0
0,3031.7595,746.232,4248.1746,1690.2626,-1.9,0,246,639.7209,661.6567,0,56,66,0,0,0,925.2835,713.4863,680.5979,574.8667,1212.6061,9,746.2945,43,2542.303,1164.5989,1073.0664,420.7984,517.5398,799.429,431.7673,3.61,538.8868,2973.5895,601.7095,759.6752,324.349,658.7549,2.5,1668.6876,18440.4493,0,0,0,0,0,0,0.1
0,3039.5463,698.9761,4174.7932,1655.5987,-2.2,0,416,619.3514,666.1195,0,85,81,0,0,0,907.0188,734.231,680.5075,549.6872,1199.5701,9,735.9822,52,2469.1511,1183.6856,1086.8994,414.7436,517.8935,824.9195,438.3799,4.84,534.7857,2932.8963,620.8738,754.8039,314.2971,629.731,2,1639.6134,18198.0685,0,0,0,0,0,0,0.5
1,2979.8742,687.7629,4060.9573,1677.396,-2.2,0,789,582.732,683.126,0,171,83,1,0,0,891.3126,772.8655,691.9868,566.1793,1186.7689,8,738.8499,54,2445.8786,1176.5494,1089.1511,449.7321,530.9345,872.3767,445.4824,4.84,537.8985,2869.5038,641.7601,734.9286,317.0563,650.1473,2,1686.3704,17995.9003,0,0,0,0,0,0,0.5
0,2847.3887,685.5117,3916.1752,1660.2613,-1.9,0,1035,589.3282,719.6571,1,188,82,0,0.3,1,880.3636,776.3128,730.6254,518.2788,1219.8663,8,762.4441,38,2399.9479,1159.131,1116.403,457.7015,516.6764,834.134,456.9606,3.61,534.122,2790.5682,678.2829,686.8144,373.4072,630.4952,1.4,1644.2672,17594.8778,0,0,0,0,0,0,0.4
1,2849.6423,739.2145,3896.1996,1654.5955,-0.8,0,980,632.6776,752.7486,0,186,81,0,0,0,971.919,794.1095,793.803,575.6963,1245.1284,7,785.2918,46,2348.6809,1192.8083,1119.7084,493.107,530.3676,853.3559,469.9947,0.64,529.7216,2789.9729,708.6192,732.5448,387.6929,686.5591,0.7,1647.9914,17551.9194,0,0,0,0,1,0,0.3
