"y","bus_passenger","past_rent","temp","sub_passenger","m5","wet","sunny","f15","m50","most_use","m35","m20","f30","f45","f20","m30","m25","f0","f70","wind","m0","m70","m55","m40","f60","f65","m45","f25","f40","m60","m65","f50","dust","f35","f55","X18_19","cloud","X17_18","rain","weekend","semester","X22_23","X1_2","X7_8"
0,19,1,-2.6,0,524.8589,57,0,588.4983,744.1317,18521.2688,1256.0014,2538.5105,1641.1874,754.7675,4273.9491,1675.8869,3066.2662,344.1256,1126.2161,1.9,492.5551,745.4565,726.8703,817.9012,622.665,484.6168,875.2236,3008.6295,660.4695,496.8338,406.412,689.4129,51,1060.8378,589.0645,0,8,0,0,1,0,0,0,0
0,8,0,-2.1,0,526.9761,56,0,605.8067,750.5879,18543.7858,1213.0688,2514.5834,1675.377,739.2058,4276.3212,1698.6529,3082.9688,355.3955,1136.0043,2.5,445.0988,737.3836,716.3295,803.6301,619.0804,487.8129,904.0857,3002.3673,659.0926,500.0517,417.9578,697.1884,38,1080.4464,595.6035,0,9,0,0,1,0,0,0,0
0,12,0,-1.9,5,544.9547,55,0,637.0526,728.445,18543.7955,1205.585,2554.3603,1678.664,754.1053,4266.5884,1704.6129,3061.9827,338.3259,1123.3199,2,434.6023,748.4007,714.0956,796.9997,635.7418,482.6152,899.1318,2968.2033,660.6537,501.2277,414.0992,679.593,41,1103.7989,581.9424,0,8,0,0,1,0,0,0,0
0,37,0,-1.9,161,548.4396,56,0,665.0012,731.1179,18453.4719,1224.7163,2545.7365,1659.9689,731.9394,4218.3895,1695.6564,3049.3064,324.6109,1157.4969,2.3,412.9007,747.7826,713.7302,821.4094,635.9868,511.8701,906.7302,2984.2089,647.9535,510.728,426.0584,675.7104,43,1075.489,595.7291,0,9,0,0,1,0,0,0,0
0,56,0,-1.9,246,574.8667,66,0,639.7209,746.232,18440.4493,1212.6061,2542.303,1668.6876,746.2945,4248.1746,1690.2626,3031.7595,324.349,1164.5989,2.5,420.7984,759.6752,713.4863,799.429,658.7549,538.8868,925.2835,2973.5895,661.6567,517.5398,431.7673,680.5979,43,1073.0664,601.7095,0,9,0,0,1,0,0,0,0
0,85,0,-2.2,416,549.6872,81,0,619.3514,698.9761,18198.0685,1199.5701,2469.1511,1639.6134,735.9822,4174.7932,1655.5987,3039.5463,314.2971,1183.6856,2,414.7436,754.8039,734.231,824.9195,629.731,534.7857,907.0188,2932.8963,666.1195,517.8935,438.3799,680.5075,52,1086.8994,620.8738,0,9,0,0,1,0,0,0,1
0,171,0,-2.2,789,566.1793,83,0,582.732,687.7629,17995.9003,1186.7689,2445.8786,1686.3704,738.8499,4060.9573,1677.396,2979.8742,317.0563,1176.5494,2,449.7321,734.9286,772.8655,872.3767,650.1473,537.8985,891.3126,2869.5038,683.126,530.9345,445.4824,691.9868,54,1089.1511,641.7601,0,8,0,0,1,0,0,0,0
0,188,0,-1.9,1035,518.2788,82,0,589.3282,685.5117,17594.8778,1219.8663,2399.9479,1644.2672,762.4441,3916.1752,1660.2613,2847.3887,373.4072,1159.131,1.4,457.7015,686.8144,776.3128,834.134,630.4952,534.122,880.3636,2790.5682,719.6571,516.6764,456.9606,730.6254,38,1116.403,678.2829,0,8,0,0.3,1,0,0,0,0
0,186,0,-0.8,980,575.6963,81,0,632.6776,739.2145,17551.9194,1245.1284,2348.6809,1647.9914,785.2918,3896.1996,1654.5955,2849.6423,387.6929,1192.8083,0.7,493.107,732.5448,794.1095,853.3559,686.5591,529.7216,971.919,2789.9729,752.7486,530.3676,469.9947,793.803,46,1119.7084,708.6192,0,7,0,0,1,0,0,0,0
0,220,0,0,1083,637.0834,80,0,704.0107,776.9283,17893.9325,1312.0558,2428.9893,1610.8288,816.1618,3902.4411,1704.4265,2874.238,359.1147,1304.3411,3.3,565.0802,742.5658,785.4998,943.8775,649.8822,532.8006,1014.5956,2823.5763,803.0257,536.7211,427.9908,808.333,52,1237.3767,764.3561,0,8,0,0,1,0,0,0,0
