"y","m5","temp","bus_passenger","past_rent","sub_passenger","f15","wet","f45","m20","m45","f20","f0","m65","f35","m0","f40","f60","m70","f50","m50","m60","f65","m35","m30","m40","f55","dust","m25","f70","rain","f30","m55","f25","wind","sunny","cloud","most_use","semester","X12_13","X20_21","X22_23","X1_2","X9_10","temp.sqr","X21_22","X17_18"
1,506.7215,-2.9,13,0,0,607.0678,57,770.2866,2550.0382,886.2969,4255.3486,341.9429,398.5573,1080.3975,471.4803,685.7243,615.1559,763.9788,682.0035,745.1448,494.3149,510.7964,1252.7303,1676.1082,827.1632,619.1185,55,3069.2582,1135.7623,0,1656.4244,726.0669,2997.0907,2.1,0,8,18537.3961,0,0,0,0,1,0,8.41,0,0
0,524.8589,-2.6,19,0,0,588.4983,57,754.7675,2538.5105,875.2236,4273.9491,344.1256,406.412,1060.8378,492.5551,660.4695,622.665,745.4565,689.4129,744.1317,496.8338,484.6168,1256.0014,1675.8869,817.9012,589.0645,51,3066.2662,1126.2161,0,1641.1874,726.8703,3008.6295,1.9,0,8,18521.2688,0,0,0,0,0,0,6.76,0,0
0,526.9761,-2.1,8,0,0,605.8067,56,739.2058,2514.5834,904.0857,4276.3212,355.3955,417.9578,1080.4464,445.0988,659.0926,619.0804,737.3836,697.1884,750.5879,500.0517,487.8129,1213.0688,1698.6529,803.6301,595.6035,38,3082.9688,1136.0043,0,1675.377,716.3295,3002.3673,2.5,0,9,18543.7858,0,0,0,0,0,0,4.41,0,0
0,544.9547,-1.9,12,0,5,637.0526,55,754.1053,2554.3603,899.1318,4266.5884,338.3259,414.0992,1103.7989,434.6023,660.6537,635.7418,748.4007,679.593,728.445,501.2277,482.6152,1205.585,1704.6129,796.9997,581.9424,41,3061.9827,1123.3199,0,1678.664,714.0956,2968.2033,2,0,8,18543.7955,0,0,0,0,0,0,3.61,0,0
0,548.4396,-1.9,37,0,161,665.0012,56,731.9394,2545.7365,906.7302,4218.3895,324.6109,426.0584,1075.489,412.9007,647.9535,635.9868,747.7826,675.7104,731.1179,510.728,511.8701,1224.7163,1695.6564,821.4094,595.7291,43,3049.3064,1157.4969,0,1659.9689,713.7302,2984.2089,2.3,0,9,18453.4719,0,0,0,0,0,0,3.61,0,0
0,574.8667,-1.9,56,0,246,639.7209,66,746.2945,2542.303,925.2835,4248.1746,324.349,431.7673,1073.0664,420.7984,661.6567,658.7549,759.6752,680.5979,746.232,517.5398,538.8868,1212.6061,1690.2626,799.429,601.7095,43,3031.7595,1164.5989,0,1668.6876,713.4863,2973.5895,2.5,0,9,18440.4493,0,0,0,0,0,0,3.61,0,0
0,549.6872,-2.2,85,0,416,619.3514,81,735.9822,2469.1511,907.0188,4174.7932,314.2971,438.3799,1086.8994,414.7436,666.1195,629.731,754.8039,680.5075,698.9761,517.8935,534.7857,1199.5701,1655.5987,824.9195,620.8738,52,3039.5463,1183.6856,0,1639.6134,734.231,2932.8963,2,0,9,18198.0685,0,0,0,0,0,0,4.84,0,0
0,566.1793,-2.2,171,0,789,582.732,83,738.8499,2445.8786,891.3126,4060.9573,317.0563,445.4824,1089.1511,449.7321,683.126,650.1473,734.9286,691.9868,687.7629,530.9345,537.8985,1186.7689,1677.396,872.3767,641.7601,54,2979.8742,1176.5494,0,1686.3704,772.8655,2869.5038,2,0,8,17995.9003,0,0,0,0,0,0,4.84,0,0
0,518.2788,-1.9,188,0,1035,589.3282,82,762.4441,2399.9479,880.3636,3916.1752,373.4072,456.9606,1116.403,457.7015,719.6571,630.4952,686.8144,730.6254,685.5117,516.6764,534.122,1219.8663,1660.2613,834.134,678.2829,38,2847.3887,1159.131,0.3,1644.2672,776.3128,2790.5682,1.4,0,8,17594.8778,0,0,0,0,0,1,3.61,0,0
0,575.6963,-0.8,186,0,980,632.6776,81,785.2918,2348.6809,971.919,3896.1996,387.6929,469.9947,1119.7084,493.107,752.7486,686.5591,732.5448,793.803,739.2145,530.3676,529.7216,1245.1284,1654.5955,853.3559,708.6192,46,2849.6423,1192.8083,0,1647.9914,794.1095,2789.9729,0.7,0,7,17551.9194,0,0,0,0,0,0,0.64,0,0
