"y","m20","bus_passenger","past_rent","temp","f15","sub_passenger","m35","wet","sunny","f20","m25","most_use","m50","f50","m0","m40","f45","m30","m5","f65","f0","f25","f60","m45","f70","f35","f40","f30","m55","f55","wind","m65","m60","m70","dust","cloud","X18_19","rain","semester","X17_18","X22_23","X7_8","X21_22","X23_24"
0,2469.1511,85,0,-2.2,619.3514,416,1199.5701,81,0,4174.7932,3039.5463,18198.0685,698.9761,680.5075,414.7436,824.9195,735.9822,1655.5987,549.6872,534.7857,314.2971,2932.8963,629.731,907.0188,1183.6856,1086.8994,666.1195,1639.6134,734.231,620.8738,2,438.3799,517.8935,754.8039,52,9,0,0,0,0,0,1,0,0
0,2445.8786,171,0,-2.2,582.732,789,1186.7689,83,0,4060.9573,2979.8742,17995.9003,687.7629,691.9868,449.7321,872.3767,738.8499,1677.396,566.1793,537.8985,317.0563,2869.5038,650.1473,891.3126,1176.5494,1089.1511,683.126,1686.3704,772.8655,641.7601,2,445.4824,530.9345,734.9286,54,8,0,0,0,0,0,0,0,0
0,2399.9479,188,0,-1.9,589.3282,1035,1219.8663,82,0,3916.1752,2847.3887,17594.8778,685.5117,730.6254,457.7015,834.134,762.4441,1660.2613,518.2788,534.122,373.4072,2790.5682,630.4952,880.3636,1159.131,1116.403,719.6571,1644.2672,776.3128,678.2829,1.4,456.9606,516.6764,686.8144,38,8,0,0.3,0,0,0,0,0,0
1,2348.6809,186,0,-0.8,632.6776,980,1245.1284,81,0,3896.1996,2849.6423,17551.9194,739.2145,793.803,493.107,853.3559,785.2918,1654.5955,575.6963,529.7216,387.6929,2789.9729,686.5591,971.919,1192.8083,1119.7084,752.7486,1647.9914,794.1095,708.6192,0.7,469.9947,530.3676,732.5448,46,7,0,0,0,0,0,0,0,0
1,2428.9893,220,1,0,704.0107,1083,1312.0558,80,0,3902.4411,2874.238,17893.9325,776.9283,808.333,565.0802,943.8775,816.1618,1704.4265,637.0834,532.8006,359.1147,2823.5763,649.8822,1014.5956,1304.3411,1237.3767,803.0257,1610.8288,785.4998,764.3561,3.3,427.9908,536.7211,742.5658,52,8,0,0,0,0,0,0,0,0
0,2553.8709,251,0,1.4,848.3786,1307,1358.0544,74,1,4098.2867,3096.9322,18837.6272,842.0146,803.6848,569.5927,973.1295,866.4332,1808.7333,774.3842,541.7407,536.9017,3010.0309,646.2579,1052.0858,1288.6323,1245.0799,881.6837,1666.6389,805.2971,743.7875,2.4,428.0588,529.9763,693.9417,65,6,0,0,0,0,0,0,0,0
0,2719.6056,343,0,1.4,983.88,1489,1387.0997,67,1,4258.0445,3235.9751,19716.8901,869.0742,821.4102,815.6734,1029.1762,935.6483,1888.7752,808.9133,533.556,818.0814,3205.7348,658.2622,1044.7225,1370.8558,1306.1918,952.7356,1715.4634,808.177,777.4661,3.6,408.0048,532.6915,755.5868,59,3,0,0,0,0,0,0,0,0
1,2882.892,367,0,2.4,1331.7228,1618,1497.7037,55,1,4481.4933,3349.7157,20642.6203,883.5678,846.7926,817.1264,1062.4139,968.025,1954.7321,1002.3004,603.1208,878.6592,3361.0543,654.9396,1137.1555,1245.7425,1320.17,992.1802,1794.8592,804.7556,833.2126,3.5,408.1565,521.6277,756.9006,62,1,0,0,0,0,0,0,0,0
0,3120.7859,388,1,2.5,1688.3151,2054,1445.9994,46,1,4712.0271,3486.664,21492.5267,853.4059,846.7644,864.6418,1109.1937,954.9945,2063.8073,1297.0896,596.9327,939.6766,3529.1173,629.5059,1091.4846,1216.4534,1303.2258,994.0372,1830.8999,807.2075,823.7659,3.3,428.9827,519.9179,773.9112,46,0,0,0,0,0,0,0,0,0
1,3374.3148,465,1,2.5,2171.2288,2230,1451.9756,45,1,5063.1589,3669.4364,22519.1623,863.2513,899.8927,777.8725,1039.4907,956.3247,2082.8798,1600.7282,562.35,1007.2311,3639.9819,651.7925,1119.0707,1290.0584,1317.1841,973.9869,1920.2308,853.5617,864.8622,3,385.5774,554.4749,799.1847,37,0,0,0,0,0,0,0,0,0
0,3887.7327,464,0,1.2,2424.7573,2283,1526.3762,45,1,5532.0384,3893.5444,24165.612,863.1784,860.2495,741.337,1053.9673,984.5096,2206.5296,1846.4531,538.1844,830.7737,3886.1084,648.4771,1098.6465,1274.2889,1307.3212,903.5491,1925.9611,859.1337,836.6289,2.7,408.6593,585.6299,815.0186,35,0,0,0,0,1,0,0,0,0
0,4151.5567,406,3,-0.5,2460.2036,2227,1517.6441,40,0,5673.6481,4015.2045,24790.6092,889.1927,852.6026,650.3535,1041.9536,958.3552,2201.5787,2041.3181,577.2871,637.631,4022.5551,676.5605,1046.2956,1177.0982,1222.7737,920.1534,1985.6483,811.1428,788.0574,2.9,423.7561,574.8783,833.3295,34,0,1,0,0,0,0,0,0,0
1,4383.8353,371,0,-1.6,2455.9861,2152,1547.3232,41,0,5723.259,4121.813,25197.4386,871.3076,810.5095,648.1827,1012.3337,902.1259,2198.7499,1931.3085,559.4414,546.9288,3991.8154,648.6117,1060.9019,1223.7716,1315.8114,870.9679,1914.8314,823.536,775.9222,2,427.686,552.3845,829.5648,28,0,0,0,0,0,0,0,0,0
1,3990.1439,469,2,-2.6,1915.152,3853,1432.3184,46,0,5350.0875,3996.4277,23881.3281,803.9074,785.26,580.0914,964.321,898.2168,2047.8595,1639.9636,551.7985,416.575,3893.08,691.6397,1073.7328,1219.6571,1295.8298,809.7796,1875.5813,808.785,800.1316,1.6,408.2072,540.6714,788.7672,27,0,0,0,0,0,0,0,0,0
4,3147.1985,642,1,-2.9,1058.0538,4295,1363.413,48,0,4760.5238,3656.7708,21503.0803,841.3478,799.0475,558.5282,942.9685,847.5671,1917.7334,906.2387,551.3256,419.1941,3619.6258,666.741,1028.2462,1175.6434,1194.3992,783.3676,1843.4158,811.96,765.0819,2.7,427.58,547.0492,778.7249,20,0,0,0,0,0,0,0,1,0
0,2838.5561,290,1,-3.8,767.9079,1183,1342.2597,49,0,4706.2114,3555.0641,20915.2501,800.7484,799.6374,576.0977,895.4819,827.7268,1884.5123,642.8577,564.4722,392.1807,3542.5483,683.2331,1039.9894,1165.0347,1203.7896,795.783,1842.3086,763.2258,737.9257,2.1,434.2469,558.7961,793.1548,33,0,0,0,0,0,1,0,0,0
