"y","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X18_19","X19_20","X22_23","X23_24","weekend","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f15","f30","f40","f55","f60","f65","f70","bus_passenger","sub_passenger"
1,-2.6,0,1.9,57,8,51,6.76,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,227.333,524.8589,2538.5105,3066.2662,1675.8869,1256.0014,817.9012,875.2236,744.1317,726.8703,496.8338,406.412,745.4565,344.1256,588.4983,1641.1874,660.4695,589.0645,622.665,484.6168,1126.2161,19,0
0,-2.1,0,2.5,56,9,38,4.41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,205.4296,526.9761,2514.5834,3082.9688,1698.6529,1213.0688,803.6301,904.0857,750.5879,716.3295,500.0517,417.9578,737.3836,355.3955,605.8067,1675.377,659.0926,595.6035,619.0804,487.8129,1136.0043,8,0
0,-1.9,0,2,55,8,41,3.61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200.5852,544.9547,2554.3603,3061.9827,1704.6129,1205.585,796.9997,899.1318,728.445,714.0956,501.2277,414.0992,748.4007,338.3259,637.0526,1678.664,660.6537,581.9424,635.7418,482.6152,1123.3199,12,5
0,-1.9,0,2.3,56,9,43,3.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,190.5695,548.4396,2545.7365,3049.3064,1695.6564,1224.7163,821.4094,906.7302,731.1179,713.7302,510.728,426.0584,747.7826,324.6109,665.0012,1659.9689,647.9535,595.7291,635.9868,511.8701,1157.4969,37,161
0,-1.9,0,2.5,66,9,43,3.61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,194.2145,574.8667,2542.303,3031.7595,1690.2626,1212.6061,799.429,925.2835,746.232,713.4863,517.5398,431.7673,759.6752,324.349,639.7209,1668.6876,661.6567,601.7095,658.7549,538.8868,1164.5989,56,246
0,-2.2,0,2,81,9,52,4.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,191.4201,549.6872,2469.1511,3039.5463,1655.5987,1199.5701,824.9195,907.0188,698.9761,734.231,517.8935,438.3799,754.8039,314.2971,619.3514,1639.6134,666.1195,620.8738,629.731,534.7857,1183.6856,85,416
0,-2.2,0,2,83,8,54,4.84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,207.5685,566.1793,2445.8786,2979.8742,1677.396,1186.7689,872.3767,891.3126,687.7629,772.8655,530.9345,445.4824,734.9286,317.0563,582.732,1686.3704,683.126,641.7601,650.1473,537.8985,1176.5494,171,789
0,-1.9,0.3,1.4,82,8,38,3.61,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,211.2466,518.2788,2399.9479,2847.3887,1660.2613,1219.8663,834.134,880.3636,685.5117,776.3128,516.6764,456.9606,686.8144,373.4072,589.3282,1644.2672,719.6571,678.2829,630.4952,534.122,1159.131,188,1035
1,-0.8,0,0.7,81,7,46,0.64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,227.5877,575.6963,2348.6809,2849.6423,1654.5955,1245.1284,853.3559,971.919,739.2145,794.1095,530.3676,469.9947,732.5448,387.6929,632.6776,1647.9914,752.7486,708.6192,686.5591,529.7216,1192.8083,186,980
1,0,0,3.3,80,8,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,260.8058,637.0834,2428.9893,2874.238,1704.4265,1312.0558,943.8775,1014.5956,776.9283,785.4998,536.7211,427.9908,742.5658,359.1147,704.0107,1610.8288,803.0257,764.3561,649.8822,532.8006,1304.3411,220,1083
0,1.4,0,2.4,74,6,65,1.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,262.8889,774.3842,2553.8709,3096.9322,1808.7333,1358.0544,973.1295,1052.0858,842.0146,805.2971,529.9763,428.0588,693.9417,536.9017,848.3786,1666.6389,881.6837,743.7875,646.2579,541.7407,1288.6323,251,1307
0,1.4,0,3.6,67,3,59,1.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,376.4642,808.9133,2719.6056,3235.9751,1888.7752,1387.0997,1029.1762,1044.7225,869.0742,808.177,532.6915,408.0048,755.5868,818.0814,983.88,1715.4634,952.7356,777.4661,658.2622,533.556,1370.8558,343,1489
1,2.4,0,3.5,55,1,62,5.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,377.1347,1002.3004,2882.892,3349.7157,1954.7321,1497.7037,1062.4139,1137.1555,883.5678,804.7556,521.6277,408.1565,756.9006,878.6592,1331.7228,1794.8592,992.1802,833.2126,654.9396,603.1208,1245.7425,367,1618
0,2.5,0,3.3,46,0,46,6.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,399.0647,1297.0896,3120.7859,3486.664,2063.8073,1445.9994,1109.1937,1091.4846,853.4059,807.2075,519.9179,428.9827,773.9112,939.6766,1688.3151,1830.8999,994.0372,823.7659,629.5059,596.9327,1216.4534,388,2054
1,2.5,0,3,45,0,37,6.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,359.0176,1600.7282,3374.3148,3669.4364,2082.8798,1451.9756,1039.4907,1119.0707,863.2513,853.5617,554.4749,385.5774,799.1847,1007.2311,2171.2288,1920.2308,973.9869,864.8622,651.7925,562.35,1290.0584,465,2230
0,1.2,0,2.7,45,0,35,1.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,342.155,1846.4531,3887.7327,3893.5444,2206.5296,1526.3762,1053.9673,1098.6465,863.1784,859.1337,585.6299,408.6593,815.0186,830.7737,2424.7573,1925.9611,903.5491,836.6289,648.4771,538.1844,1274.2889,464,2283
0,-0.5,0,2.9,40,0,34,0.25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,300.1627,2041.3181,4151.5567,4015.2045,2201.5787,1517.6441,1041.9536,1046.2956,889.1927,811.1428,574.8783,423.7561,833.3295,637.631,2460.2036,1985.6483,920.1534,788.0574,676.5605,577.2871,1177.0982,406,2227
1,-1.6,0,2,41,0,28,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,299.1611,1931.3085,4383.8353,4121.813,2198.7499,1547.3232,1012.3337,1060.9019,871.3076,823.536,552.3845,427.686,829.5648,546.9288,2455.9861,1914.8314,870.9679,775.9222,648.6117,559.4414,1223.7716,371,2152
1,-2.6,0,1.6,46,0,27,6.76,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,267.7345,1639.9636,3990.1439,3996.4277,2047.8595,1432.3184,964.321,1073.7328,803.9074,808.785,540.6714,408.2072,788.7672,416.575,1915.152,1875.5813,809.7796,800.1316,691.6397,551.7985,1219.6571,469,3853
4,-2.9,0,2.7,48,0,20,8.41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,257.7822,906.2387,3147.1985,3656.7708,1917.7334,1363.413,942.9685,1028.2462,841.3478,811.96,547.0492,427.58,778.7249,419.1941,1058.0538,1843.4158,783.3676,765.0819,666.741,551.3256,1175.6434,642,4295
0,-3.8,0,2.1,49,0,33,14.44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,265.8909,642.8577,2838.5561,3555.0641,1884.5123,1342.2597,895.4819,1039.9894,800.7484,763.2258,558.7961,434.2469,793.1548,392.1807,767.9079,1842.3086,795.783,737.9257,683.2331,564.4722,1165.0347,290,1183
