"y","temp","rain","wind","wet","cloud","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m0","m10","m5","m25","m30","m35","m40","m45","m55","m60","m65","m70","f15","f20","f25","f30","f40","f45","f50","f55","f65","bus_passenger","sub_passenger"
0,-1.9,0,2.5,66,9,3.61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.7984,194.2145,574.8667,3031.7595,1690.2626,1212.6061,799.429,925.2835,713.4863,517.5398,431.7673,759.6752,639.7209,4248.1746,2973.5895,1668.6876,661.6567,746.2945,680.5979,601.7095,538.8868,56,246
1,-2.2,0,2,81,9,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.7436,191.4201,549.6872,3039.5463,1655.5987,1199.5701,824.9195,907.0188,734.231,517.8935,438.3799,754.8039,619.3514,4174.7932,2932.8963,1639.6134,666.1195,735.9822,680.5075,620.8738,534.7857,85,416
1,-2.2,0,2,83,8,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.7321,207.5685,566.1793,2979.8742,1677.396,1186.7689,872.3767,891.3126,772.8655,530.9345,445.4824,734.9286,582.732,4060.9573,2869.5038,1686.3704,683.126,738.8499,691.9868,641.7601,537.8985,171,789
0,-1.9,0.3,1.4,82,8,3.61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.7015,211.2466,518.2788,2847.3887,1660.2613,1219.8663,834.134,880.3636,776.3128,516.6764,456.9606,686.8144,589.3282,3916.1752,2790.5682,1644.2672,719.6571,762.4441,730.6254,678.2829,534.122,188,1035
1,-0.8,0,0.7,81,7,0.64,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,493.107,227.5877,575.6963,2849.6423,1654.5955,1245.1284,853.3559,971.919,794.1095,530.3676,469.9947,732.5448,632.6776,3896.1996,2789.9729,1647.9914,752.7486,785.2918,793.803,708.6192,529.7216,186,980
0,0,0,3.3,80,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,565.0802,260.8058,637.0834,2874.238,1704.4265,1312.0558,943.8775,1014.5956,785.4998,536.7211,427.9908,742.5658,704.0107,3902.4411,2823.5763,1610.8288,803.0257,816.1618,808.333,764.3561,532.8006,220,1083
1,1.4,0,2.4,74,6,1.96,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,569.5927,262.8889,774.3842,3096.9322,1808.7333,1358.0544,973.1295,1052.0858,805.2971,529.9763,428.0588,693.9417,848.3786,4098.2867,3010.0309,1666.6389,881.6837,866.4332,803.6848,743.7875,541.7407,251,1307
3,1.4,0,3.6,67,3,1.96,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,815.6734,376.4642,808.9133,3235.9751,1888.7752,1387.0997,1029.1762,1044.7225,808.177,532.6915,408.0048,755.5868,983.88,4258.0445,3205.7348,1715.4634,952.7356,935.6483,821.4102,777.4661,533.556,343,1489
0,2.4,0,3.5,55,1,5.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,817.1264,377.1347,1002.3004,3349.7157,1954.7321,1497.7037,1062.4139,1137.1555,804.7556,521.6277,408.1565,756.9006,1331.7228,4481.4933,3361.0543,1794.8592,992.1802,968.025,846.7926,833.2126,603.1208,367,1618
3,2.5,0,3.3,46,0,6.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,864.6418,399.0647,1297.0896,3486.664,2063.8073,1445.9994,1109.1937,1091.4846,807.2075,519.9179,428.9827,773.9112,1688.3151,4712.0271,3529.1173,1830.8999,994.0372,954.9945,846.7644,823.7659,596.9327,388,2054
