"y","past_rent","bus_passenger","sub_passenger","temp","f45","sunny","f15","f50","wet","f40","X17_18","m40","m25","most_use","m50","f0","f35","m20","f20","m55","f60","m35","m45","m0","m70","m5","cloud","m65","f25","wind","f55","dust","f65","m60","m30","f30","f70","semester","rain","X16_17","X19_20","X18_19","X8_9","X9_10","X7_8","X20_21"
0,1,642,4295,-2.9,847.5671,0,1058.0538,799.0475,48,783.3676,0,942.9685,3656.7708,21503.0803,841.3478,419.1941,1194.3992,3147.1985,4760.5238,811.96,666.741,1363.413,1028.2462,558.5282,778.7249,906.2387,0,427.58,3619.6258,2.7,765.0819,20,551.3256,547.0492,1917.7334,1843.4158,1175.6434,0,0,0,0,0,0,0,0,0
0,4,290,1183,-3.8,827.7268,0,767.9079,799.6374,49,795.783,0,895.4819,3555.0641,20915.2501,800.7484,392.1807,1203.7896,2838.5561,4706.2114,763.2258,683.2331,1342.2597,1039.9894,576.0977,793.1548,642.8577,0,434.2469,3542.5483,2.1,737.9257,33,564.4722,558.7961,1884.5123,1842.3086,1165.0347,0,0,0,0,0,0,0,0,0
0,0,116,296,-4.4,705.2005,0,635.5786,693.2796,48,711.2368,0,892.449,3454.4892,20523.4923,746.819,302.5978,1167.7962,2702.1775,4753.8475,704.2859,613.1592,1322.5,983.0021,454.4504,750.5164,412.8902,0,409.5073,3512.6591,2.9,641.8205,26,500.2525,527.5285,1756.178,1853.8448,1144.6911,0,0,0,0,0,0,0,0,0
1,0,54,0,-5.2,710.2858,0,630.3021,685.142,51,689.1734,0,898.57,3483.7838,20620.9137,731.7209,298.2608,1180.2811,2739.8139,4745.3337,702.5412,623.4963,1301.7749,991.3523,470.1789,760.0452,429.0108,1,412.3134,3556.0776,1.6,640.3266,27,494.7284,527.1577,1746.7593,1867.0894,1090.2994,0,0,0,0,0,0,0,0,0
1,1,28,0,-5.8,723.9464,0,650.0474,681.5611,52,663.4489,0,884.6295,3502.4904,20732.748,748.8319,288.5762,1171.9583,2757.503,4775.0704,699.2396,636.0671,1298.267,953.1996,451.7634,768.6048,434.1726,0,402.6155,3567.5378,2.1,647.3592,29,496.2779,519.202,1760.4701,1899.451,1091.5168,0,0,0,0,0,0,0,0,0
1,3,21,0,-6.4,722.0812,0,671.1149,681.0465,56,662.989,0,901.255,3491.2571,20799.6178,757.3202,285.7222,1184.0139,2772.7609,4815.8483,683.5991,631.7989,1314.0017,957.8903,464.014,754.1195,417.6675,5,407.4006,3579.102,1.7,640.2234,25,502.6214,507.8375,1754.8118,1887.8221,1121.5832,0,0,0,0,0,0,0,0,0
0,0,9,0,-7,724.244,0,687.2134,687.0972,59,675.5828,0,904.8807,3487.9432,20762.1849,749.408,302.9079,1176.7656,2780.6139,4798.7789,719.0592,633.0392,1299.2547,965.8599,494.9173,759.2225,438.2313,2,390.0664,3579.6345,1.6,632.5592,21,504.5646,493.8672,1754.4657,1884.7284,1092.3598,0,0,0,0,0,0,0,0,0
0,0,35,10,-7.2,723.0045,0,678.9458,698.4787,61,685.3887,0,894.8631,3518.3709,20826.7544,742.6971,307.4638,1212.531,2803.1913,4752.0265,708.5429,631.4011,1301.6667,970.6791,507.3804,770.3506,446.1406,3,397.9289,3579.2221,1.3,656.7043,30,478.4149,502.8778,1779.2022,1880.5437,1133.1607,0,0,0,0,0,0,0,0,0
0,0,64,565,-7.4,709.2058,0,675.2878,712.693,59,683.1681,0,915.6993,3487.6214,20835.7614,762.1957,291.5509,1226.4843,2795.1302,4772.6754,727.9901,659.0093,1292.5421,1008.9347,445.032,793.6769,440.6551,2,409.5458,3560.5171,0.3,666.4392,24,483.2726,530.6742,1789.8582,1910.9327,1113.8521,0,0,0,0,0,0,0,0,0
1,0,173,892,-7.8,731.2445,0,674.2249,696.985,55,683.3059,0,926.5137,3454.61,20757.2521,789.6308,301.4263,1238.8622,2756.9281,4694.4118,774.9457,642.1534,1361.1127,996.9741,460.1583,819.6501,459.447,1,434.1096,3569.0227,2.1,722.7125,22,523.1746,536.3459,1791.7569,1890.5477,1165.0858,0,0,0,0,0,0,0,0,0
