"y","temp","rain","wind","wet","snow","cloud","temp.sqr","sunny","semester","past_rent","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m5","m25","m35","m50","m65","f20","f25","f30","f45","f55","f65","f70","bus_passenger","sub_passenger"
1,-1.9,0,2.5,66,0.1,9,3.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420.7984,574.8667,3031.7595,1212.6061,746.232,431.7673,4248.1746,2973.5895,1668.6876,746.2945,601.7095,538.8868,1164.5989,56,246
0,-2.2,0,2,81,0.5,9,4.84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,414.7436,549.6872,3039.5463,1199.5701,698.9761,438.3799,4174.7932,2932.8963,1639.6134,735.9822,620.8738,534.7857,1183.6856,85,416
1,-2.2,0,2,83,0.5,8,4.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,449.7321,566.1793,2979.8742,1186.7689,687.7629,445.4824,4060.9573,2869.5038,1686.3704,738.8499,641.7601,537.8985,1176.5494,171,789
0,-1.9,0.3,1.4,82,0.4,8,3.61,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,457.7015,518.2788,2847.3887,1219.8663,685.5117,456.9606,3916.1752,2790.5682,1644.2672,762.4441,678.2829,534.122,1159.131,188,1035
2,-0.8,0,0.7,81,0.3,7,0.64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,493.107,575.6963,2849.6423,1245.1284,739.2145,469.9947,3896.1996,2789.9729,1647.9914,785.2918,708.6192,529.7216,1192.8083,186,980
0,0,0,3.3,80,0.2,8,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,565.0802,637.0834,2874.238,1312.0558,776.9283,427.9908,3902.4411,2823.5763,1610.8288,816.1618,764.3561,532.8006,1304.3411,220,1083
1,1.4,0,2.4,74,0,6,1.96,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,569.5927,774.3842,3096.9322,1358.0544,842.0146,428.0588,4098.2867,3010.0309,1666.6389,866.4332,743.7875,541.7407,1288.6323,251,1307
0,1.4,0,3.6,67,0,3,1.96,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,815.6734,808.9133,3235.9751,1387.0997,869.0742,408.0048,4258.0445,3205.7348,1715.4634,935.6483,777.4661,533.556,1370.8558,343,1489
2,2.4,0,3.5,55,0,1,5.76,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,817.1264,1002.3004,3349.7157,1497.7037,883.5678,408.1565,4481.4933,3361.0543,1794.8592,968.025,833.2126,603.1208,1245.7425,367,1618
2,2.5,0,3.3,46,0,0,6.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,864.6418,1297.0896,3486.664,1445.9994,853.4059,428.9827,4712.0271,3529.1173,1830.8999,954.9945,823.7659,596.9327,1216.4534,388,2054
1,2.5,0,3,45,0,0,6.25,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,777.8725,1600.7282,3669.4364,1451.9756,863.2513,385.5774,5063.1589,3639.9819,1920.2308,956.3247,864.8622,562.35,1290.0584,465,2230
1,1.2,0,2.7,45,0,0,1.44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,741.337,1846.4531,3893.5444,1526.3762,863.1784,408.6593,5532.0384,3886.1084,1925.9611,984.5096,836.6289,538.1844,1274.2889,464,2283
5,-0.5,0,2.9,40,0,0,0.25,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,650.3535,2041.3181,4015.2045,1517.6441,889.1927,423.7561,5673.6481,4022.5551,1985.6483,958.3552,788.0574,577.2871,1177.0982,406,2227
2,-1.6,0,2,41,0,0,2.56,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,648.1827,1931.3085,4121.813,1547.3232,871.3076,427.686,5723.259,3991.8154,1914.8314,902.1259,775.9222,559.4414,1223.7716,371,2152
0,-2.6,0,1.6,46,0,0,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,580.0914,1639.9636,3996.4277,1432.3184,803.9074,408.2072,5350.0875,3893.08,1875.5813,898.2168,800.1316,551.7985,1219.6571,469,3853
2,-2.9,0,2.7,48,0,0,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,558.5282,906.2387,3656.7708,1363.413,841.3478,427.58,4760.5238,3619.6258,1843.4158,847.5671,765.0819,551.3256,1175.6434,642,4295
1,-3.8,0,2.1,49,0,0,14.44,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,576.0977,642.8577,3555.0641,1342.2597,800.7484,434.2469,4706.2114,3542.5483,1842.3086,827.7268,737.9257,564.4722,1165.0347,290,1183
1,-4.4,0,2.9,48,0,0,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,454.4504,412.8902,3454.4892,1322.5,746.819,409.5073,4753.8475,3512.6591,1853.8448,705.2005,641.8205,500.2525,1144.6911,116,296
0,-5.2,0,1.6,51,0,1,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.1789,429.0108,3483.7838,1301.7749,731.7209,412.3134,4745.3337,3556.0776,1867.0894,710.2858,640.3266,494.7284,1090.2994,54,0
0,-5.8,0,2.1,52,0,0,33.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.7634,434.1726,3502.4904,1298.267,748.8319,402.6155,4775.0704,3567.5378,1899.451,723.9464,647.3592,496.2779,1091.5168,28,0
0,-6.4,0,1.7,56,0,5,40.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.014,417.6675,3491.2571,1314.0017,757.3202,407.4006,4815.8483,3579.102,1887.8221,722.0812,640.2234,502.6214,1121.5832,21,0
0,-7,0,1.6,59,0,2,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.9173,438.2313,3487.9432,1299.2547,749.408,390.0664,4798.7789,3579.6345,1884.7284,724.244,632.5592,504.5646,1092.3598,9,0
0,-7.2,0,1.3,61,0,3,51.84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.3804,446.1406,3518.3709,1301.6667,742.6971,397.9289,4752.0265,3579.2221,1880.5437,723.0045,656.7043,478.4149,1133.1607,35,10
0,-7.4,0,0.3,59,0,2,54.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.032,440.6551,3487.6214,1292.5421,762.1957,409.5458,4772.6754,3560.5171,1910.9327,709.2058,666.4392,483.2726,1113.8521,64,565
0,-7.8,0,2.1,55,0,1,60.84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.1583,459.447,3454.61,1361.1127,789.6308,434.1096,4694.4118,3569.0227,1890.5477,731.2445,722.7125,523.1746,1165.0858,173,892
