"y","m30","f20","f15","m25","temp","X10_11","sub_passenger","X9_10","m20","m50","bus_passenger","semester","f50","wet","rain","f45","m5","f70","f30","past_rent","f40","m45","f0","m35","m0","m55","m70","f35","m40","most_use","f55","f65","m65","m60","cloud","f60","f25","wind","X8_9","dust","sunny","X7_8","X11_12","X15_16","temp.sqr","X13_14","X16_17","X14_15"
0,1675.8869,4273.9491,588.4983,3066.2662,-2.6,0,0,0,2538.5105,744.1317,19,0,689.4129,57,0,754.7675,524.8589,1126.2161,1641.1874,0,660.4695,875.2236,344.1256,1256.0014,492.5551,726.8703,745.4565,1060.8378,817.9012,18521.2688,589.0645,484.6168,406.412,496.8338,8,622.665,3008.6295,1.9,0,51,0,0,0,0,6.76,0,0,0
0,1698.6529,4276.3212,605.8067,3082.9688,-2.1,0,0,0,2514.5834,750.5879,8,0,697.1884,56,0,739.2058,526.9761,1136.0043,1675.377,0,659.0926,904.0857,355.3955,1213.0688,445.0988,716.3295,737.3836,1080.4464,803.6301,18543.7858,595.6035,487.8129,417.9578,500.0517,9,619.0804,3002.3673,2.5,0,38,0,0,0,0,4.41,0,0,0
0,1704.6129,4266.5884,637.0526,3061.9827,-1.9,0,5,0,2554.3603,728.445,12,0,679.593,55,0,754.1053,544.9547,1123.3199,1678.664,0,660.6537,899.1318,338.3259,1205.585,434.6023,714.0956,748.4007,1103.7989,796.9997,18543.7955,581.9424,482.6152,414.0992,501.2277,8,635.7418,2968.2033,2,0,41,0,0,0,0,3.61,0,0,0
0,1695.6564,4218.3895,665.0012,3049.3064,-1.9,0,161,0,2545.7365,731.1179,37,0,675.7104,56,0,731.9394,548.4396,1157.4969,1659.9689,0,647.9535,906.7302,324.6109,1224.7163,412.9007,713.7302,747.7826,1075.489,821.4094,18453.4719,595.7291,511.8701,426.0584,510.728,9,635.9868,2984.2089,2.3,0,43,0,0,0,0,3.61,0,0,0
0,1690.2626,4248.1746,639.7209,3031.7595,-1.9,0,246,0,2542.303,746.232,56,0,680.5979,66,0,746.2945,574.8667,1164.5989,1668.6876,0,661.6567,925.2835,324.349,1212.6061,420.7984,713.4863,759.6752,1073.0664,799.429,18440.4493,601.7095,538.8868,431.7673,517.5398,9,658.7549,2973.5895,2.5,0,43,0,0,0,0,3.61,0,0,0
0,1655.5987,4174.7932,619.3514,3039.5463,-2.2,0,416,0,2469.1511,698.9761,85,0,680.5075,81,0,735.9822,549.6872,1183.6856,1639.6134,0,666.1195,907.0188,314.2971,1199.5701,414.7436,734.231,754.8039,1086.8994,824.9195,18198.0685,620.8738,534.7857,438.3799,517.8935,9,629.731,2932.8963,2,0,52,0,1,0,0,4.84,0,0,0
0,1677.396,4060.9573,582.732,2979.8742,-2.2,0,789,0,2445.8786,687.7629,171,0,691.9868,83,0,738.8499,566.1793,1176.5494,1686.3704,0,683.126,891.3126,317.0563,1186.7689,449.7321,772.8655,734.9286,1089.1511,872.3767,17995.9003,641.7601,537.8985,445.4824,530.9345,8,650.1473,2869.5038,2,1,54,0,0,0,0,4.84,0,0,0
1,1660.2613,3916.1752,589.3282,2847.3887,-1.9,0,1035,1,2399.9479,685.5117,188,0,730.6254,82,0.3,762.4441,518.2788,1159.131,1644.2672,1,719.6571,880.3636,373.4072,1219.8663,457.7015,776.3128,686.8144,1116.403,834.134,17594.8778,678.2829,534.122,456.9606,516.6764,8,630.4952,2790.5682,1.4,0,38,0,0,0,0,3.61,0,0,0
0,1654.5955,3896.1996,632.6776,2849.6423,-0.8,1,980,0,2348.6809,739.2145,186,0,793.803,81,0,785.2918,575.6963,1192.8083,1647.9914,0,752.7486,971.919,387.6929,1245.1284,493.107,794.1095,732.5448,1119.7084,853.3559,17551.9194,708.6192,529.7216,469.9947,530.3676,7,686.5591,2789.9729,0.7,0,46,0,0,0,0,0.64,0,0,0
0,1704.4265,3902.4411,704.0107,2874.238,0,0,1083,0,2428.9893,776.9283,220,0,808.333,80,0,816.1618,637.0834,1304.3411,1610.8288,0,803.0257,1014.5956,359.1147,1312.0558,565.0802,785.4998,742.5658,1237.3767,943.8775,17893.9325,764.3561,532.8006,427.9908,536.7211,8,649.8822,2823.5763,3.3,0,52,0,0,1,0,0,0,0,0
