"y","temp","rain","wind","wet","cloud","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X19_20","X20_21","X21_22","X23_24","weekend","m5","m20","m25","m35","m45","m55","m60","m65","m70","f20","f25","f30","f40","f50","f60","f65","bus_passenger","sub_passenger"
0,-1.6,0,2,41,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1931.3085,4383.8353,4121.813,1547.3232,1060.9019,823.536,552.3845,427.686,829.5648,5723.259,3991.8154,1914.8314,870.9679,810.5095,648.6117,559.4414,371,2152
0,-2.6,0,1.6,46,0,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1639.9636,3990.1439,3996.4277,1432.3184,1073.7328,808.785,540.6714,408.2072,788.7672,5350.0875,3893.08,1875.5813,809.7796,785.26,691.6397,551.7985,469,3853
1,-2.9,0,2.7,48,0,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,906.2387,3147.1985,3656.7708,1363.413,1028.2462,811.96,547.0492,427.58,778.7249,4760.5238,3619.6258,1843.4158,783.3676,799.0475,666.741,551.3256,642,4295
0,-3.8,0,2.1,49,0,14.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,642.8577,2838.5561,3555.0641,1342.2597,1039.9894,763.2258,558.7961,434.2469,793.1548,4706.2114,3542.5483,1842.3086,795.783,799.6374,683.2331,564.4722,290,1183
0,-4.4,0,2.9,48,0,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,412.8902,2702.1775,3454.4892,1322.5,983.0021,704.2859,527.5285,409.5073,750.5164,4753.8475,3512.6591,1853.8448,711.2368,693.2796,613.1592,500.2525,116,296
0,-5.2,0,1.6,51,1,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.0108,2739.8139,3483.7838,1301.7749,991.3523,702.5412,527.1577,412.3134,760.0452,4745.3337,3556.0776,1867.0894,689.1734,685.142,623.4963,494.7284,54,0
0,-5.8,0,2.1,52,0,33.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.1726,2757.503,3502.4904,1298.267,953.1996,699.2396,519.202,402.6155,768.6048,4775.0704,3567.5378,1899.451,663.4489,681.5611,636.0671,496.2779,28,0
0,-6.4,0,1.7,56,5,40.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.6675,2772.7609,3491.2571,1314.0017,957.8903,683.5991,507.8375,407.4006,754.1195,4815.8483,3579.102,1887.8221,662.989,681.0465,631.7989,502.6214,21,0
0,-7,0,1.6,59,2,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.2313,2780.6139,3487.9432,1299.2547,965.8599,719.0592,493.8672,390.0664,759.2225,4798.7789,3579.6345,1884.7284,675.5828,687.0972,633.0392,504.5646,9,0
0,-7.2,0,1.3,61,3,51.84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.1406,2803.1913,3518.3709,1301.6667,970.6791,708.5429,502.8778,397.9289,770.3506,4752.0265,3579.2221,1880.5437,685.3887,698.4787,631.4011,478.4149,35,10
0,-7.4,0,0.3,59,2,54.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.6551,2795.1302,3487.6214,1292.5421,1008.9347,727.9901,530.6742,409.5458,793.6769,4772.6754,3560.5171,1910.9327,683.1681,712.693,659.0093,483.2726,64,565
0,-7.8,0,2.1,55,1,60.84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.447,2756.9281,3454.61,1361.1127,996.9741,774.9457,536.3459,434.1096,819.6501,4694.4118,3569.0227,1890.5477,683.3059,696.985,642.1534,523.1746,173,892
0,-7.7,0,2,54,0,59.29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.9352,2652.1441,3324.0483,1453.0328,1149.7792,844.6391,598.5327,484.3968,858.7583,4636.7636,3455.4277,1902.6712,743.9412,772.7932,697.5645,534.9,344,2435
2,-7.6,0,1.6,55,1,57.76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644.902,2519.3405,2847.9055,1426.351,1208.1979,913.6478,643.2286,517.2983,869.331,4270.768,3084.5751,1705.8362,925.8083,936.5414,728.622,533.7396,712,4472
