"y","past_rent","station_dist","bus_passenger","temp","m60","X18_19","f30","wet","m20","f25","f65","m35","sub_passenger","m5","m0","f40","m55","f60","m25","dust","f0","m45","m65","station_type","f55","m30","m50","f15","m70","wind","f70","f35","f45","f50","f20","m40","X9_10","m10","semester","X19_20","weekend","most_use","X10_11","f10","cloud","X17_18","X8_9","X7_8","rain","X22_23"
1,2,71,443,0.1,575.8657,0,899.6458,28,748.4073,937.6288,632.302,861.8817,0,596.7123,955.2194,978.6601,618.3792,803.7215,820.1234,30,929.4585,851.7819,457.4329,0,998.0037,697.3607,688.8991,687.1241,839.3792,2.2,1221.509,1009.3051,992.2475,984.2572,979.0797,872.4364,0,493.0827,0,0,0,6953.4325,0,494.0434,3,1,0,0,0,0
1,5,160,144,3.8,597.0266,0,857.4211,43,759.075,866.0348,610.8147,1069.5473,0,624.7803,964.1435,911.9764,883.6428,781.9797,824.6054,24,794.0808,934.4577,493.2558,0,1103.7409,674.5273,846.761,641.6558,908.1314,1.9,1359.8101,1112.205,940.2147,905.4453,823.5415,891.4677,0,497.6893,1,0,0,6986.9574,0,422.0846,0,0,0,0,0,0
3,8,118,450,21.7,873.6657,0,1218.9472,68,1144.0551,1403.2943,728.5838,1309.3469,1665,1274.0617,1091.1771,1230.8495,1120.4243,1049.1496,1205.6395,41,1543.7637,1344.2218,571.1158,0,1204.4592,1086.0403,1362.7866,1310.4183,1029.1115,2.2,1605.2687,1318.4076,1531.1652,1308.3009,1305.232,1208.4987,0,593.4828,1,0,1,9990.9629,0,806.9055,2,0,0,0,0,0
2,2,29,205,25.3,430.8416,0,605.7921,57,394.1766,703.0114,351.2062,670.225,0,131.8211,175.8207,523.672,700.6674,476.5983,556.5015,44,265.5425,590.9856,349.234,1,591.7469,577.9366,552.6985,124.0879,540.5701,0.6,832.9037,606.1183,584.4737,599.2194,513.2012,681.8194,0,61.8498,1,0,0,4626.9627,0,104.5349,8,0,0,0,0,0
0,0,61,236,9.4,466.3149,1,658.1667,71,448.8278,543.7956,506.8768,776.2244,326,191.2426,416.4821,511.0675,675.5252,615.1182,583.9407,10,319.6362,661.9533,361.2743,1,747.2459,657.7276,611.0369,236.6031,651.0159,5.6,1242.8402,692.9985,676.4751,656.4756,498.3001,619.3303,0,205.9448,1,0,0,4859.9814,0,155.1082,6,0,0,0,0,0
5,2,36,181,-6.4,757.4424,0,1258.6654,50,1094.9098,1606.4644,641.255,1174.8788,0,677.7275,561.0773,934.6346,982.1005,849.874,1202.2551,22,479.4975,1117.9982,474.4637,0,1192.6002,1132.9083,833.9094,603.7719,860.2608,1.3,1457.8913,1109.3647,931.6797,855.3338,1322.7895,1023.6601,0,342.1809,0,0,0,9902.236,0,277.3569,9,0,0,0,0,1
1,2,69,5,11,704.5451,0,1284.4729,77,1319.9238,1818.5958,621.7813,1207.8385,0,857.261,579.7863,1004.4931,942.9848,874.3354,1421.3103,42,526.6186,1100.2605,429.6699,1,1114.3115,1303.694,862.009,688.4265,803.5892,1.6,1310.4775,1253.1129,980.2006,901.0912,1590.2849,940.9872,0,353.5911,1,0,0,11199.2331,0,304.6135,7,0,0,0,0,0
1,0,225,322,22.5,851.793,0,1115.0075,34,966.1641,1255.366,781.3082,1353.9265,1439,532.8514,1008.2902,1269.751,977.456,1086.7362,1114.2119,41,1351.4809,1347.9867,588.2856,0,1255.3804,1032.4354,1212.111,413.2134,1043.1146,5.8,1616.4341,1461.0263,1540.7356,1373.9046,955.1129,1232.3906,0,548.4009,1,0,0,9253.2506,0,706.4011,4,0,0,0,0,0
1,0,128,333,15.2,473.2985,0,512.302,55,592.4548,622.1954,473.2304,591.2495,614,317.7464,623.5855,779.3312,605.5842,684.1266,502.0686,60,1253.4098,734.0786,369.5686,0,746.44,456.2066,547.7584,939.6348,819.3028,2.5,1272.1336,714.8004,796.7969,725.0619,525.3343,588.4313,0,344.7302,1,0,0,4516.6116,0,727.652,0,0,0,0,0,0
0,2,41,260,25.7,758.7465,0,888.171,85,944.7975,1135.5186,720.9011,1130.3435,807,1359.7176,1515.7269,1873.8866,1157.7348,884.606,870.0721,13,1673.5087,1820.4464,638.537,0,1304.1826,822.4555,1455.7716,1471.3956,1292.0574,0.6,1587.5866,1432.5313,2127.3401,1470.5632,1127.1556,1449.4531,0,1281.3542,1,0,1,8351.0451,0,1401.8218,9,0,0,0,0,0
7,1,183,294,11.3,672.6276,0,985.1303,88,810.203,1001.7127,617.9095,1068.5389,0,666.3455,1041.5815,1021.5454,756.4656,815.5997,884.9861,39,946.2245,925.5681,469.2648,0,1021.6835,786.2973,851.3879,814.6735,839.1616,2.5,1308.235,1118.4349,970.0458,964.5714,1046.159,871.0902,0,537.6625,1,0,0,7701.4622,0,502.9551,9,0,0,0,0,1
