"y","temp","rain","wind","wet","cloud","dust","sunny","semester","past_rent","X4_5","X5_6","X6_7","X7_8","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X22_23","X23_24","m10","m5","m35","m45","m55","m70","f25","f30","f60","f65","bus_passenger","sub_passenger","weekend"
1,2.5,0,3,45,0,37,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,359.0176,1600.7282,1451.9756,1119.0707,853.5617,799.1847,3639.9819,1920.2308,651.7925,562.35,465,2230,1
1,1.2,0,2.7,45,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,342.155,1846.4531,1526.3762,1098.6465,859.1337,815.0186,3886.1084,1925.9611,648.4771,538.1844,464,2283,1
0,-0.5,0,2.9,40,0,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,300.1627,2041.3181,1517.6441,1046.2956,811.1428,833.3295,4022.5551,1985.6483,676.5605,577.2871,406,2227,1
0,-1.6,0,2,41,0,28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,299.1611,1931.3085,1547.3232,1060.9019,823.536,829.5648,3991.8154,1914.8314,648.6117,559.4414,371,2152,1
0,-2.6,0,1.6,46,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,267.7345,1639.9636,1432.3184,1073.7328,808.785,788.7672,3893.08,1875.5813,691.6397,551.7985,469,3853,1
2,-2.9,0,2.7,48,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.7822,906.2387,1363.413,1028.2462,811.96,778.7249,3619.6258,1843.4158,666.741,551.3256,642,4295,1
0,-3.8,0,2.1,49,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,265.8909,642.8577,1342.2597,1039.9894,763.2258,793.1548,3542.5483,1842.3086,683.2331,564.4722,290,1183,1
0,-4.4,0,2.9,48,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,209.7458,412.8902,1322.5,983.0021,704.2859,750.5164,3512.6591,1853.8448,613.1592,500.2525,116,296,1
0,-5.2,0,1.6,51,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.0054,429.0108,1301.7749,991.3523,702.5412,760.0452,3556.0776,1867.0894,623.4963,494.7284,54,0,0
0,-5.8,0,2.1,52,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.5059,434.1726,1298.267,953.1996,699.2396,768.6048,3567.5378,1899.451,636.0671,496.2779,28,0,0
1,-6.4,0,1.7,56,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.1603,417.6675,1314.0017,957.8903,683.5991,754.1195,3579.102,1887.8221,631.7989,502.6214,21,0,0
0,-7,0,1.6,59,2,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.423,438.2313,1299.2547,965.8599,719.0592,759.2225,3579.6345,1884.7284,633.0392,504.5646,9,0,0
0,-7.2,0,1.3,61,3,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.1749,446.1406,1301.6667,970.6791,708.5429,770.3506,3579.2221,1880.5437,631.4011,478.4149,35,10,0
