"y","temp","rain","wind","wet","snow","cloud","temp.sqr","sunny","past_rent","X5_6","X6_7","X7_8","X8_9","X9_10","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m10","m5","m20","m25","m30","m35","m45","m50","m65","m70","f0","f15","f20","f25","f30","f35","f40","f50","f60","f65","sub_passenger","f70"
0,-0.8,0,0.7,81,0.3,7,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.5877,575.6963,2348.6809,2849.6423,1654.5955,1245.1284,971.919,739.2145,469.9947,732.5448,387.6929,632.6776,3896.1996,2789.9729,1647.9914,1119.7084,752.7486,793.803,686.5591,529.7216,980,1192.8083
0,0,0,3.3,80,0.2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,260.8058,637.0834,2428.9893,2874.238,1704.4265,1312.0558,1014.5956,776.9283,427.9908,742.5658,359.1147,704.0107,3902.4411,2823.5763,1610.8288,1237.3767,803.0257,808.333,649.8822,532.8006,1083,1304.3411
0,1.4,0,2.4,74,0,6,1.96,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,262.8889,774.3842,2553.8709,3096.9322,1808.7333,1358.0544,1052.0858,842.0146,428.0588,693.9417,536.9017,848.3786,4098.2867,3010.0309,1666.6389,1245.0799,881.6837,803.6848,646.2579,541.7407,1307,1288.6323
0,1.4,0,3.6,67,0,3,1.96,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,376.4642,808.9133,2719.6056,3235.9751,1888.7752,1387.0997,1044.7225,869.0742,408.0048,755.5868,818.0814,983.88,4258.0445,3205.7348,1715.4634,1306.1918,952.7356,821.4102,658.2622,533.556,1489,1370.8558
0,2.4,0,3.5,55,0,1,5.76,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,377.1347,1002.3004,2882.892,3349.7157,1954.7321,1497.7037,1137.1555,883.5678,408.1565,756.9006,878.6592,1331.7228,4481.4933,3361.0543,1794.8592,1320.17,992.1802,846.7926,654.9396,603.1208,1618,1245.7425
0,2.5,0,3.3,46,0,0,6.25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,399.0647,1297.0896,3120.7859,3486.664,2063.8073,1445.9994,1091.4846,853.4059,428.9827,773.9112,939.6766,1688.3151,4712.0271,3529.1173,1830.8999,1303.2258,994.0372,846.7644,629.5059,596.9327,2054,1216.4534
0,2.5,0,3,45,0,0,6.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,359.0176,1600.7282,3374.3148,3669.4364,2082.8798,1451.9756,1119.0707,863.2513,385.5774,799.1847,1007.2311,2171.2288,5063.1589,3639.9819,1920.2308,1317.1841,973.9869,899.8927,651.7925,562.35,2230,1290.0584
0,1.2,0,2.7,45,0,0,1.44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,342.155,1846.4531,3887.7327,3893.5444,2206.5296,1526.3762,1098.6465,863.1784,408.6593,815.0186,830.7737,2424.7573,5532.0384,3886.1084,1925.9611,1307.3212,903.5491,860.2495,648.4771,538.1844,2283,1274.2889
0,-0.5,0,2.9,40,0,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,300.1627,2041.3181,4151.5567,4015.2045,2201.5787,1517.6441,1046.2956,889.1927,423.7561,833.3295,637.631,2460.2036,5673.6481,4022.5551,1985.6483,1222.7737,920.1534,852.6026,676.5605,577.2871,2227,1177.0982
0,-1.6,0,2,41,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,299.1611,1931.3085,4383.8353,4121.813,2198.7499,1547.3232,1060.9019,871.3076,427.686,829.5648,546.9288,2455.9861,5723.259,3991.8154,1914.8314,1315.8114,870.9679,810.5095,648.6117,559.4414,2152,1223.7716
0,-2.6,0,1.6,46,0,0,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,267.7345,1639.9636,3990.1439,3996.4277,2047.8595,1432.3184,1073.7328,803.9074,408.2072,788.7672,416.575,1915.152,5350.0875,3893.08,1875.5813,1295.8298,809.7796,785.26,691.6397,551.7985,3853,1219.6571
