"y","past_rent","station_dist","sub_passenger","bus_passenger","temp","station_type","m50","m30","f45","m20","f70","m45","f0","wet","f15","f50","f40","m40","m0","X8_9","m55","m5","f20","semester","m60","f30","wind","m35","f65","f60","f55","m65","f25","m70","m25","f35","dust","X17_18","cloud","most_use","X9_10","sunny","X10_11","rain","temp.sqr","X19_20","X13_14","X18_19"
5,2,116,1679,375,7.2,1,1025.3336,1725.1255,1090.4398,3716.5926,1370.6385,1346.2546,880.0807,30,1913.1004,949.006,1148.2672,1206.4822,600.8723,0,1076.5803,1585.6055,5274.5464,0,746.0792,1821.7357,4,1448.1426,580.1556,826.2087,961.2522,473.955,3166.0891,990.5393,2917.2789,1458.7994,36,0,0,21528.3102,0,1,0,0,51.84,0,0,0
0,1,611,0,48,10.4,0,789.5841,1943.4133,814.7214,3969.1842,1188.4305,1006.4783,405.0525,61,1104.8655,714.7014,713.3857,872.311,374.0198,0,756.2706,760.9816,6394.3661,1,557.8882,1929.3803,1.2,1279.2237,460.1763,631.5252,608.3562,390.1119,4105.8386,797.4649,3890.867,1318.8985,16,0,0,24831.1717,0,1,0,0,108.16,0,0,0
8,5,546,2032,507,7.9,0,1092.799,1648.5552,1376.7201,4773.5796,1337.9746,1302.0779,416.8691,67,1787.703,1137.2105,1207.1976,1210.1695,587.7486,0,1074.4681,1499.0139,6379.4728,1,740.2986,1816.0377,3.2,1532.8973,618.8146,839.7352,1032.6549,511.2443,3186.4895,972.4297,3062.4524,1486.7785,37,0,9,23886.263,0,1,0,0,62.41,0,1,0
3,5,232,2528,605,28.4,0,1124.2676,1698.3476,1163.3907,4302.9455,1426.3531,1379.6748,566.3635,38,2322.8114,1067.4626,1137.3744,1159.6376,566.1704,0,1042.0039,1595.2316,5927.9808,1,813.1538,1730.2534,4.8,1590.4714,663.5192,825.7527,1112.0859,519.7286,3259.7202,987.9379,2991.5445,1446.7991,67,0,7,22948.0625,0,1,0,0,806.56,0,0,0
2,3,17,2718,523,5.9,1,934.5713,2052.4282,1154.0985,3754.8715,1175.4304,1274.7064,807.3067,74,1672.6955,991.3888,1072.5615,1160.5038,611.8704,0,898.0763,1221.5329,5772.4912,1,652.6223,2099.8347,1.9,1669.4041,554.2788,776.2633,895.1554,459.598,4048.9604,868.0439,3533.574,1498.8074,33,0,4,24430.3715,0,1,0,0,34.81,0,1,0
2,1,113,4071,908,19.3,0,1234.2216,1765.1518,1271.7086,4702.2759,1284.3898,1354.1766,573.1388,59,1959.5388,1098.781,1112.3411,1241.7994,504.9975,0,1133.9268,1492.3283,6654.9277,1,694.1614,1968.3446,2.9,1603.6445,586.6863,768.1023,1001.6951,461.1562,3267.8871,930.997,3172.0698,1485.1183,35,1,5,24619.4197,0,1,0,0,372.49,0,0,0
1,1,51,2686,394,5.3,0,923.6408,2418.1015,933.3313,5719.0959,1200.6045,1149.6218,528.3091,77,2411.957,821.6992,908.8597,1101.7317,578.6035,0,862.5034,2274.3261,7253.1818,1,586.7833,2099.8585,1.1,1691.2888,607.5671,658.6308,779.41,443.9994,4583.8539,876.0076,5036.9033,1372.1559,6,0,9,30174.4396,0,1,0,0,28.09,0,0,0
1,5,17,3257,815,14.1,1,1022.4765,2352.5892,1212.9856,5292.8724,1214.6272,1356.2546,517.7668,50,2100.5323,1039.8513,1070.661,1301.6463,546.2848,0,1071.288,1464.0551,7749.2051,1,671.9877,2557.4217,4,1819.1544,576.7896,742.9661,1003.536,421.2394,5076.3338,932.8976,4154.7462,1691.6887,43,0,6,30694.0115,0,1,0,0,198.81,1,0,0
0,0,611,0,61,2.4,0,779.8808,1795.0466,718.8791,2964.1239,1193.7145,960.1322,303.4942,60,769.9707,728.2715,748.6388,858.4593,415.8793,0,768.9778,515.6786,4997.4425,0,502.9386,1952.6534,1.2,1285.2133,499.8063,615.1343,605.3865,389.0778,3782.4621,779.3745,3584.5441,1240.4557,44,0,0,21601.9416,0,1,0,0,5.76,0,0,0
0,0,546,3195,518,20.7,0,879.5361,2198.132,901.4193,4969.5282,1339.4291,1120.4555,498.2784,73,1965.323,869.1696,888.7821,1042.1885,566.8999,0,924.7018,1825.6523,7216.1312,1,598.9392,2008.671,2.5,1592.8944,604.073,664.2558,852.1955,467.1664,4498.8827,871.7374,4496.9303,1389.3418,24,0,0,28370.5116,0,1,0,0,428.49,0,0,0
