"y","station_dist","station_type","rain","cloud","temp.sqr","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X7_8","X8_9","X9_10","X10_11","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","m0","m10","m20","m25","m35","m55","f0","f10","f15","f20","f25","f30","f40","f55","f65","f70"
2,21,1,0,2,18.49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,362.477,120.8256,405.4251,625.5859,668.3455,478.9293,478.3803,171.0405,204.6164,552.9423,772.0083,690.9423,486.7726,492.9115,352.9768,816.2515
0,59,0,1,10,384.16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,976.1825,530.9378,989.6019,1003.1335,1223.4006,1098.5406,1212.2486,633.627,540.6984,937.2438,1109.1133,1125.9613,1271.5657,1271.2915,813.3243,1684.779
0,283,0,0,4,268.96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.2156,200.9849,1306.6229,1470.9319,940.4783,492.1677,355.6308,174.2402,355.8887,1581.1999,1427.5744,954.45,606.6547,460.1833,310.7686,884.2696
1,71,0,0,3,0.01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,955.2194,493.0827,748.4073,820.1234,861.8817,618.3792,929.4585,494.0434,687.1241,979.0797,937.6288,899.6458,978.6601,998.0037,632.302,1221.509
1,160,0,0,0,14.44,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964.1435,497.6893,759.075,824.6054,1069.5473,883.6428,794.0808,422.0846,641.6558,823.5415,866.0348,857.4211,911.9764,1103.7409,610.8147,1359.8101
3,118,0,0,2,470.89,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1091.1771,593.4828,1144.0551,1205.6395,1309.3469,1120.4243,1543.7637,806.9055,1310.4183,1305.232,1403.2943,1218.9472,1230.8495,1204.4592,728.5838,1605.2687
2,29,1,0,8,640.09,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.8207,61.8498,394.1766,556.5015,670.225,700.6674,265.5425,104.5349,124.0879,513.2012,703.0114,605.7921,523.672,591.7469,351.2062,832.9037
0,61,1,0,6,88.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,416.4821,205.9448,448.8278,583.9407,776.2244,675.5252,319.6362,155.1082,236.6031,498.3001,543.7956,658.1667,511.0675,747.2459,506.8768,1242.8402
5,36,0,0,9,40.96,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,561.0773,342.1809,1094.9098,1202.2551,1174.8788,982.1005,479.4975,277.3569,603.7719,1322.7895,1606.4644,1258.6654,934.6346,1192.6002,641.255,1457.8913
1,69,1,0,7,121,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.7863,353.5911,1319.9238,1421.3103,1207.8385,942.9848,526.6186,304.6135,688.4265,1590.2849,1818.5958,1284.4729,1004.4931,1114.3115,621.7813,1310.4775
1,225,0,0,4,506.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1008.2902,548.4009,966.1641,1114.2119,1353.9265,977.456,1351.4809,706.4011,413.2134,955.1129,1255.366,1115.0075,1269.751,1255.3804,781.3082,1616.4341
1,128,0,0,0,231.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.5855,344.7302,592.4548,502.0686,591.2495,605.5842,1253.4098,727.652,939.6348,525.3343,622.1954,512.302,779.3312,746.44,473.2304,1272.1336
0,41,0,0,9,660.49,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515.7269,1281.3542,944.7975,870.0721,1130.3435,1157.7348,1673.5087,1401.8218,1471.3956,1127.1556,1135.5186,888.171,1873.8866,1304.1826,720.9011,1587.5866
7,183,0,0,9,127.69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1041.5815,537.6625,810.203,884.9861,1068.5389,756.4656,946.2245,502.9551,814.6735,1046.159,1001.7127,985.1303,1021.5454,1021.6835,617.9095,1308.235
4,100,0,0,0,148.84,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,720.3347,335.4671,747.2057,1173.7034,947.5686,875.8239,521.808,277.9296,687.5764,866.6881,1245.8367,1050.7986,932.3356,951.6148,516.1983,1274.6597
2,43,0,0,10,552.25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1218.8509,662.9237,1143.8269,1099.8065,1295.1986,1065.9489,1619.9184,846.7106,982.0306,1058.8067,1190.4416,1094.6195,1236.156,1216.7687,752.5621,1660.6691
1,73,0,0,0,47.61,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,685.0143,240.973,460.8606,696.0262,757.2579,612.6278,518.6514,204.1749,278.238,547.9115,912.1454,801.913,520.6757,531.4602,406.8725,842.0322
3,19,1,0,0,3.61,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1404.3163,1187.1711,778.8793,708.0064,1011.2057,1157.6646,1694.8471,1419.6956,1471.2884,951.2272,895.988,795.4269,1835.313,1410.7799,811.3335,1731.0919
0,86,0,0,6,44.89,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,413.2151,137.7384,622.8873,730.6861,669.9196,528.1433,608.9781,217.7348,372.4685,743.8811,806.4607,695.0419,592.4132,595.9451,377.7665,875.4974
0,42,0,0,3,5.76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,471.4656,197.3231,786.7604,1117.8751,922.2346,589.1348,332.8769,163.0918,291.5811,1069.2017,1094.1824,753.3834,564.5516,583.4746,339.1411,960.1012
6,36,0,0,0,470.89,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,591.3932,360.6694,924.0648,1241.5071,952.3914,853.6984,495.8799,286.8331,632.5165,1122.7443,1281.9559,1065.9461,877.0395,962.2778,615.7151,1306.2406
0,43,0,0,0,23.04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031.1463,560.8324,781.0575,935.2324,1282.944,1111.6615,1213.5365,634.3003,1021.5319,863.6631,1207.8341,1097.0946,1153.066,1117.9038,672.4503,1465.5278
0,43,0,0,10,161.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994.7829,541.0541,632.6682,889.4461,1169.3972,1158.6772,1252.6263,654.7316,1050.6034,949.3881,1109.5961,1044.0045,1121.6188,1146.6926,679.5145,1497.6747
7,90,0,0,1,201.64,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,610.5321,372.3418,975.1219,1114.1742,972.1741,874.1827,474.3026,274.352,597.1524,1082.4059,1269.9648,1040.1403,1037.8878,1093.0706,673.027,1545.7103
2,118,0,0,2,50.41,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,919.0432,499.8605,849.5434,930.1524,1056.2916,1038.0105,893.7532,467.1537,829.5455,790.5226,1126.6271,1040.3576,1056.2775,1156.9347,730.378,1552.8499
3,127,0,0,7,104.04,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,909.5898,494.719,973.4513,940.6652,1066.3927,1059.0815,960.2029,501.8863,536.9452,891.2331,1071.9427,1024.2651,1179.7058,1242.5664,778.0467,1588.4116
2,109,0,0,10,457.96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,506.4352,250.4254,357.8844,475.5985,550.6447,608.8748,461.2485,223.8278,290.4061,455.3525,466.1177,561.9004,556.8831,717.6383,494.3731,1218.6803
1,109,0,0,8,462.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489.5812,242.0912,507.7727,672.484,757.7534,631.7856,490.2452,237.899,311.6312,540.1077,665.2124,828.7129,481.3508,805.9622,459.0317,1132.5507
3,40,0,0,10,992.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,308.5413,129.134,1229.938,1383.8573,919.0337,694.5475,350.868,171.9066,394.015,1481.6014,1085.0046,878.6224,742.4569,588.3579,460.7895,1082.8512
1,47,0,0,0,114.49,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900.6593,421.3417,595.9189,880.39,997.7317,753.5073,745.511,323.8298,496.1951,711.5518,984.6563,971.9826,940.5677,967.6515,624.6066,1288.8317
2,38,1,0,7,1.96,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,701.0119,387.5328,629.171,742.0991,811.0053,728.5551,938.7321,544.97,807.5642,696.7481,918.3882,806.006,910.2706,807.3418,617.1617,1284.3771
8,57,0,0,6,645.16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514.64,313.8605,975.3772,1299.0586,1042.4722,831.0858,534.2228,309.0119,527.8493,1341.8541,1500.8443,1178.8305,995.4419,1054.8477,595.3939,1391.7104
2,183,0,0,10,640.09,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,899.2731,464.2031,725.0213,813.4202,1076.6483,773.7617,794.2774,422.1892,624.2564,889.8451,933.5576,874.6084,1010.4615,1044.4866,607.7755,1324.0256
5,88,0,0,0,141.61,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.6626,127.8875,551.7929,758.6379,786.187,373.4161,341.3118,122.0331,293.8177,703.6867,967.5877,911.1343,546.358,467.8935,302.6562,699.8741
4,69,1,0,0,380.25,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551.0934,336.092,1382.6433,1333.0786,1172.7454,836.5956,479.459,277.3344,778.6254,1567.2259,1770.5382,1235.4176,979.306,1041.5578,581.9528,1300.6384
4,34,0,0,7,676,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,506.5036,211.9878,1099.7219,1466.3682,1080.3078,636.5525,384.5506,188.4095,403.1774,1417.0605,1521.0334,1183.5542,693.0338,610.1061,417.4854,1041.9164
2,34,0,0,0,12.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8407,181.576,1162.501,1463.6611,996.5058,547.7092,265.7232,130.1901,432.3631,1507.5772,1346.3182,967.6401,612.0499,589.358,392.2648,914.7876
0,59,0,0.7,10,739.84,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1221.006,664.0954,1200.8826,1184.176,1323.1625,1182.1612,1402.6427,733.1437,1237.3889,1091.4929,1097.6612,1101.3144,1264.0043,1282.7835,829.9638,1706.633
4,183,0,0,0,408.04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.8538,490.8298,780.309,836.638,1183.2844,838.4269,974.8294,518.1599,715.0009,858.4739,906.1133,878.9075,971.8295,1104.8608,635.9456,1432.2642
2,428,0,0,7,32.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.15,131.8997,2213.7551,1613.7809,1085.7945,733.5887,322.2084,157.8651,729.4117,2704.0671,1435.8671,1017.0469,835.9129,718.5773,430.4944,962.6894
3,100,0,0,9,538.24,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1034.8696,484.1271,551.4303,562.8932,711.3368,619.0387,932.0745,404.8679,438.189,530.2381,635.1638,638.8668,671.5545,734.9622,540.9272,1108.6719
7,92,0,0,2,992.25,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,792.9387,370.9484,631.3471,734.8691,836.8228,683.231,619.1529,268.9429,424.6219,600.093,765.2702,755.9658,777.7037,789.2811,476.4905,1099.5362
8,116,1,0,9,112.36,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,857.0905,395.5801,3670.9648,3740.2308,1664.7712,790.2653,1065.1042,494.6313,1519.3271,6284.6139,3805.4562,1980.1064,997.5384,848.8527,557.5588,1216.6952
0,128,0,0,0,166.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.3255,154.3039,3679.1882,3554.5366,1352.9321,774.5387,342.2292,158.9302,1076.3721,5557.1651,3532.7375,1829.6854,747.1719,670.2003,540.0001,1134.0949
1,405,0,0,4,272.25,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884.8332,413.9375,621.2331,820.2457,1017.4606,784.0601,832.1294,361.4544,547.5014,718.8142,1049.0386,1027.399,1048.0919,896.44,598.9752,1404.1352
1,41,0,0,6,10.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,716.5679,349.8729,590.062,790.5987,921.8136,1100.2953,729.0153,338.0614,473.8157,660.7288,806.9819,852.6445,902.6642,1247.4081,838.63,2224.7488
4,69,1,0,10,0.09,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,604.7726,368.829,861.8579,1088.141,1207.142,888.1681,590.3796,341.4948,486.7772,1130.6503,1380.1153,1125.5072,920.9337,1146.6842,623.8943,1480.4405
1,225,0,0,0,34.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1227.485,667.6195,969.5477,1149.0688,1403.1883,1126.4496,1702.9254,890.0974,1109.796,1162.8075,1275.537,1216.4633,1283.5463,1266.7427,766.1067,1741.6821
4,73,0,0,0,620.01,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,468.0066,164.6347,406.4893,595.3319,636.0039,645.4479,403.6077,158.8862,166.3083,483.3177,676.5028,576.8673,516.5429,565.1525,357.4525,865.3675
0,29,1,0,10,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,558.1291,196.3377,407.0625,674.0423,823.8326,693.526,370.4898,145.8489,193.9955,607.4072,859.5397,842.9756,545.9228,627.7443,416.1364,834.4038
6,221,0,0,0,77.44,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,465.3678,163.7065,487.7922,707.3613,723.0348,619.5055,364.4801,143.483,223.0201,618.1245,924.7401,862.3989,526.7742,590.0867,408.2508,981.3508
0,59,0,0,9,102.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129.3419,614.2402,1004.7328,1152.9061,1414.9618,994.0119,1474.3715,770.6354,1316.895,1125.0183,1391.8571,1257.7668,1316.5142,1254.3376,781.1247,1626.957
